"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"638","T","MedI-G",0.04,29,0,1,30,26
"639","T","MedI-G",0.05,24,0,0,24,29
"636","T","MedI-G",0.02,21,0,0,21,16
"637","T","MedI-G",0.03,21,0,0,21,16
"640","T","MedI-G",0.06,11,0,0,11,40
"642","T","MedI-G",0.08,10,0,1,11,52
"225","QM","TI-G",0.05,0,2,7,9,28
"226","QM","TI-G",0.06,0,2,7,9,28
"227","QM","TI-G",0.07,0,2,7,9,28
"228","QM","TI-G",0.08,0,2,7,9,28
"229","QM","TI-G",0.09,0,1,7,8,30
"230","QM","TI-G",0.1,0,1,7,8,30
"643","T","MedI-G",0.09,7,0,1,8,54
"266","QM","MedI-G",0.009,0,0,7,7,31
"316","QM","AI-G",0.04,0,2,5,7,27
"317","QM","AI-G",0.05,0,0,7,7,29
"224","QM","TI-G",0.04,0,2,4,6,27
"641","T","MedI-G",0.07,6,0,0,6,49
"644","T","MedI-G",0.1,6,0,0,6,58
"103","QM","RLR-G",2e-05,5,0,0,5,49
"221","QM","TI-G",0.01,0,2,3,5,20
"308","QM","AI-G",0.005,0,2,3,5,20
"309","QM","AI-G",0.006,0,2,3,5,20
"310","QM","AI-G",0.007,0,2,3,5,20
"633","T","MedI-G",0.008,0,0,5,5,8
"634","T","MedI-G",0.009,0,0,5,5,8
"635","T","MedI-G",0.01,0,0,5,5,8
"104","QM","RLR-G",3e-05,0,3,0,3,51
"130","QM","RLR-G",0.02,3,0,0,3,84
"131","QM","RLR-G",0.03,3,0,0,3,84
"132","QM","RLR-G",0.04,3,0,0,3,85
"133","QM","RLR-G",0.05,3,0,0,3,87
"134","QM","RLR-G",0.06,3,0,0,3,89
"135","QM","RLR-G",0.07,3,0,0,3,90
"136","QM","RLR-G",0.08,3,0,0,3,90
"137","QM","RLR-G",0.09,3,0,0,3,91
"138","QM","RLR-G",0.1,3,0,0,3,92
"176","QM","VSN-G",0.02,0,2,1,3,26
"177","QM","VSN-G",0.03,0,2,1,3,30
"305","QM","AI-G",0.002,0,3,0,3,17
"367","QM","Quantile",0.09,3,0,0,3,55
"95","QM","RLR-G",3e-06,1,0,1,2,39
"222","QM","TI-G",0.02,0,2,0,2,25
"223","QM","TI-G",0.03,0,2,0,2,25
"311","QM","AI-G",0.008,0,2,0,2,23
"312","QM","AI-G",0.009,0,2,0,2,23
"313","QM","AI-G",0.01,0,2,0,2,23
"314","QM","AI-G",0.02,0,2,0,2,26
"315","QM","AI-G",0.03,0,2,0,2,26
"366","QM","Quantile",0.08,2,0,0,2,51
"368","QM","Quantile",0.1,2,0,0,2,59
"85","QM","Loess-G",0.03,0,0,1,1,28
"94","QM","RLR-G",2e-06,0,0,1,1,37
"96","QM","RLR-G",4e-06,0,0,1,1,41
"97","QM","RLR-G",5e-06,0,0,1,1,42
"105","QM","RLR-G",4e-05,0,0,1,1,53
"106","QM","RLR-G",5e-05,0,0,1,1,54
"108","QM","RLR-G",7e-05,0,0,1,1,57
"109","QM","RLR-G",8e-05,0,0,1,1,58
"110","QM","RLR-G",9e-05,0,0,1,1,58
"111","QM","RLR-G",1e-04,0,0,1,1,58
"112","QM","RLR-G",2e-04,0,0,1,1,58
"113","QM","RLR-G",3e-04,0,0,1,1,61
"114","QM","RLR-G",4e-04,0,0,1,1,62
"115","QM","RLR-G",5e-04,0,0,1,1,63
"116","QM","RLR-G",6e-04,0,0,1,1,64
"117","QM","RLR-G",7e-04,0,0,1,1,65
"118","QM","RLR-G",8e-04,0,0,1,1,65
"119","QM","RLR-G",9e-04,0,0,1,1,65
"120","QM","RLR-G",0.001,0,0,1,1,67
"121","QM","RLR-G",0.002,0,0,1,1,68
"156","QM","VSN-G",9e-05,0,1,0,1,9
"157","QM","VSN-G",1e-04,0,1,0,1,9
"158","QM","VSN-G",2e-04,0,1,0,1,11
"159","QM","VSN-G",3e-04,0,1,0,1,11
"175","QM","VSN-G",0.01,0,1,0,1,24
"178","QM","VSN-G",0.04,0,1,0,1,32
"179","QM","VSN-G",0.05,0,1,0,1,35
"180","QM","VSN-G",0.06,0,1,0,1,38
"181","QM","VSN-G",0.07,0,1,0,1,44
"182","QM","VSN-G",0.08,0,1,0,1,45
"203","QM","TI-G",1e-04,0,1,0,1,12
"204","QM","TI-G",2e-04,0,1,0,1,12
"205","QM","TI-G",3e-04,0,1,0,1,12
"206","QM","TI-G",4e-04,0,1,0,1,12
"207","QM","TI-G",5e-04,0,1,0,1,12
"217","QM","TI-G",0.006,0,1,0,1,18
"218","QM","TI-G",0.007,0,1,0,1,18
"219","QM","TI-G",0.008,0,1,0,1,18
"220","QM","TI-G",0.009,0,1,0,1,18
"289","QM","AI-G",4e-05,0,1,0,1,11
"290","QM","AI-G",5e-05,0,1,0,1,11
"291","QM","AI-G",6e-05,0,1,0,1,12
"292","QM","AI-G",7e-05,0,1,0,1,12
"293","QM","AI-G",8e-05,0,1,0,1,12
"294","QM","AI-G",9e-05,0,1,0,1,12
"295","QM","AI-G",1e-04,0,1,0,1,12
"296","QM","AI-G",2e-04,0,1,0,1,12
"306","QM","AI-G",0.003,0,1,0,1,18
"307","QM","AI-G",0.004,0,1,0,1,18
"318","QM","AI-G",0.06,0,1,0,1,32
"498","T","RLR-G",0.02,0,1,0,1,19
"499","T","RLR-G",0.03,0,1,0,1,22
"549","T","VSN-G",0.07,0,0,1,1,29
"550","T","VSN-G",0.08,1,0,0,1,37
"552","T","VSN-G",0.1,1,0,0,1,44
"1","QM","None",1e-06,0,0,0,0,0
"2","QM","None",2e-06,0,0,0,0,0
"3","QM","None",3e-06,0,0,0,0,0
"4","QM","None",4e-06,0,0,0,0,0
"5","QM","None",5e-06,0,0,0,0,0
"6","QM","None",6e-06,0,0,0,0,0
"7","QM","None",7e-06,0,0,0,0,0
"8","QM","None",8e-06,0,0,0,0,0
"9","QM","None",9e-06,0,0,0,0,0
"10","QM","None",1e-05,0,0,0,0,0
"11","QM","None",2e-05,0,0,0,0,1
"12","QM","None",3e-05,0,0,0,0,1
"13","QM","None",4e-05,0,0,0,0,1
"14","QM","None",5e-05,0,0,0,0,1
"15","QM","None",6e-05,0,0,0,0,1
"16","QM","None",7e-05,0,0,0,0,1
"17","QM","None",8e-05,0,0,0,0,1
"18","QM","None",9e-05,0,0,0,0,1
"19","QM","None",1e-04,0,0,0,0,1
"20","QM","None",2e-04,0,0,0,0,1
"21","QM","None",3e-04,0,0,0,0,1
"22","QM","None",4e-04,0,0,0,0,1
"23","QM","None",5e-04,0,0,0,0,1
"24","QM","None",6e-04,0,0,0,0,1
"25","QM","None",7e-04,0,0,0,0,1
"26","QM","None",8e-04,0,0,0,0,1
"27","QM","None",9e-04,0,0,0,0,1
"28","QM","None",0.001,0,0,0,0,2
"29","QM","None",0.002,0,0,0,0,3
"30","QM","None",0.003,0,0,0,0,3
"31","QM","None",0.004,0,0,0,0,5
"32","QM","None",0.005,0,0,0,0,5
"33","QM","None",0.006,0,0,0,0,5
"34","QM","None",0.007,0,0,0,0,5
"35","QM","None",0.008,0,0,0,0,6
"36","QM","None",0.009,0,0,0,0,6
"37","QM","None",0.01,0,0,0,0,6
"38","QM","None",0.02,0,0,0,0,11
"39","QM","None",0.03,0,0,0,0,14
"40","QM","None",0.04,0,0,0,0,17
"41","QM","None",0.05,0,0,0,0,18
"42","QM","None",0.06,0,0,0,0,23
"43","QM","None",0.07,0,0,0,0,24
"44","QM","None",0.08,0,0,0,0,25
"45","QM","None",0.09,0,0,0,0,28
"46","QM","None",0.1,0,0,0,0,30
"47","QM","Loess-G",1e-06,0,0,0,0,0
"48","QM","Loess-G",2e-06,0,0,0,0,0
"49","QM","Loess-G",3e-06,0,0,0,0,1
"50","QM","Loess-G",4e-06,0,0,0,0,1
"51","QM","Loess-G",5e-06,0,0,0,0,1
"52","QM","Loess-G",6e-06,0,0,0,0,1
"53","QM","Loess-G",7e-06,0,0,0,0,1
"54","QM","Loess-G",8e-06,0,0,0,0,1
"55","QM","Loess-G",9e-06,0,0,0,0,1
"56","QM","Loess-G",1e-05,0,0,0,0,1
"57","QM","Loess-G",2e-05,0,0,0,0,1
"58","QM","Loess-G",3e-05,0,0,0,0,1
"59","QM","Loess-G",4e-05,0,0,0,0,1
"60","QM","Loess-G",5e-05,0,0,0,0,1
"61","QM","Loess-G",6e-05,0,0,0,0,1
"62","QM","Loess-G",7e-05,0,0,0,0,1
"63","QM","Loess-G",8e-05,0,0,0,0,1
"64","QM","Loess-G",9e-05,0,0,0,0,1
"65","QM","Loess-G",1e-04,0,0,0,0,1
"66","QM","Loess-G",2e-04,0,0,0,0,3
"67","QM","Loess-G",3e-04,0,0,0,0,4
"68","QM","Loess-G",4e-04,0,0,0,0,5
"69","QM","Loess-G",5e-04,0,0,0,0,5
"70","QM","Loess-G",6e-04,0,0,0,0,6
"71","QM","Loess-G",7e-04,0,0,0,0,9
"72","QM","Loess-G",8e-04,0,0,0,0,9
"73","QM","Loess-G",9e-04,0,0,0,0,9
"74","QM","Loess-G",0.001,0,0,0,0,9
"75","QM","Loess-G",0.002,0,0,0,0,10
"76","QM","Loess-G",0.003,0,0,0,0,12
"77","QM","Loess-G",0.004,0,0,0,0,15
"78","QM","Loess-G",0.005,0,0,0,0,16
