"","Protein","S0","S0.1","S0.2","S0.3","S0.4","S0.5","S0.6","S1","S1.1","S1.2","S1.3","S1.4","S1.5","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"1","sp|Q15149|PLEC_HUMAN",26700118.2548,25982736.9791,25397168.077,25394283.8384,37850317.0533,37609325.1157,13248809.2133,52668445.6213,52558298.1815,43471569.7421,42525537.0397,40381726.9429,42096011.8637,0.265,2.0349,0.747992,0.193608,0.375944,0.770960082351565,0.767088880336889,0.384525151014759
"2","sp|P35579|MYH9_HUMAN",46078156.1253,42425251.7573,38693186.2276,40491705.1561,58383128.2493,59760992.1238,23237048.416,84423821.1306,83728969.2627,86520775.1536,88804381.0739,80221575.5618,81784098.7888,0.361,2.8205,0.269133,0.056523,0.390234,0.301541211891324,0.299736336094382,0.401143983852207
"3","sp|Q09666|AHNK_HUMAN",31976710.7204,31045597.3154,46951186.187,47631643.8331,57845187.4018,59098110.516,19443794.5867,30268235.6016,27217964.8684,27801275.9425,28666291.8183,30889819.049,30821372.2497,-0.607,-4.6614,0,0.350418,0,3.88613652806524e-08,3.80822154121383e-08,2.37865999290749e-09
"4","sp|P35749|MYH11_HUMAN",36030551.7518,29982935.4329,28013140.2022,29533426.1601,53396257.6617,53577748.8008,19669019.663,8463141.7257,8272592.5202,21650091.9997,22260926.7572,31536745.1216,31326678.8008,-0.901,-3.5447,6e-06,0.368286,0,1.4567841352199e-05,1.43987430014789e-05,1.17017886749636e-06
"5","sp|P21333|FLNA_HUMAN",113788954.8968,110531629.1299,117336269.2503,121428315.2125,182352451.5303,184235443.8959,68922409.6328,92506278.5437,93255678.3269,131032848.7015,137091860.3818,88099144.6477,92256729.4722,-0.293,-1.6299,0.013596,0.438316,0.001575,0.0185454643155928,0.018443605817969,0.00228555257904863
"6","sp|P35580|MYH10_HUMAN",19822819.613,19149383.5246,29299246.134,27040199.3121,32791010.6966,35257898.0328,10876778.0512,14451040.578,14917836.1887,17360328.8227,18251432.1204,11992932.4724,12186600.7976,-0.725,-4.2628,0,0.355223,0,3.86482860891697e-07,3.79955982204464e-07,2.56722026276449e-08
"7","sp|Q9Y490|TLN1_HUMAN",35923870.3181,32403043.3751,43544691.3138,41869848.7763,66520977.1699,66873913.7774,22165322.9743,38838356.5348,38981622.7977,51701372.6176,50914798.6671,44633410.0206,44258745.9978,-0.237,-1.6811,0.011785,0.435203,0.001336,0.0162462636818318,0.0161546777928545,0.00196172314714284
"8","sp|P12111|CO6A3_HUMAN",54898695.3488,49756713.9015,73666245.315,71260480.0956,88054019.1562,85091552.7963,60581559.5945,43997540.2192,44821241.5273,108167580.5263,109399600.0639,88184135.0894,89180900.2026,-0.143,-0.7053,0.150368,0.500171,0.019604,0.172187122497423,0.171361138607466,0.0238627378594635
"9","sp|Q01082|SPTB2_HUMAN",12670234.4661,12790448.344,18566502.8361,20052687.4311,28618251.2816,29319135.9995,9083986.1763,8726439.3957,8774677.5127,9362516.1264,10135409.6808,11679588.4805,11131209.0588,-0.816,-5.007,0,0.346757,0,3.97682698558318e-09,3.89662597722491e-09,2.65061767135729e-10
"10","sp|P01024|CO3_HUMAN",62225599.3247,57235163.32,73156526.8795,74384713.4815,67071452.4109,64612129.864,75325289.9025,18747398.6435,18569886.5467,46423833.4241,46835862.09,39250858.7837,40202296.4037,-0.969,-4.9623,0,0.347231,0,5.4510468727832e-09,5.33978469145078e-09,3.54104047394147e-10
