,Protein,S0,S0.1,S0.2,S0.3,S0.4,S0.5,S0.6,S1,S1.1,S1.2,S1.3,S1.4,S1.5,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
1525,sp|O95833|CLIC3_HUMAN,287680.7998,266658.0375,231903.2182,426426.44,378715.9087,381912.8509,275946.8382,54168.6911,58878.9949,70423.2799,75215.4158,68650.3838,61710.9231,-1.91,-16.6463,0,0.284859,0
2193,sp|P11686|PSPC_HUMAN,1078535.877,714582.124,628455.1274,1289280.637,1385791.588,985093.4974,1162572.074,35490.1076,46640.9232,91959.6757,102050.829,56558.8925,52635.7781,-3.077,-16.2998,0,0.284985,0
2300,sp|P08174|DAF_HUMAN,129645.6402,127173.4003,138951.5862,211500.9143,192636.9858,108197.6403,130954.1124,42091.6451,38089.6394,42387.1598,55533.4758,43331.1103,43351.5782,-1.575,-16.2101,0,0.285022,0
1296,sp|Q15847|ADIRF_HUMAN,1788718.661,1996266.593,1973317.387,1972931.428,2109330.773,1550350.892,1799022.353,347294.5973,348456.0504,290509.6736,339998.0078,584969.4285,506805.3143,-1.694,-13.1356,0,0.285167,0
118,sp|P35241|RADI_HUMAN,555576.2476,695807.9978,746062.7203,951655.4379,860304.5594,541565.5395,566658.5547,265387.0016,269178.8596,264277.6277,258122.959,244737.0464,286689.9083,-1.163,-12.6528,0,0.285279,0
2663,sp|P22748|CAH4_HUMAN,133537.1378,79734.2843,73524.4669,162287.0982,181377.3035,117009.2697,109336.9055,12816.3472,18295.2039,12106.885,11739.1621,27262.9664,28124.6129,-2.392,-12.3036,0,0.285421,0
156,sp|Q13228|SBP1_HUMAN,28949773.7,26742088.02,24625958.88,30799372.09,30670356.55,30397747.3,27886429.38,4953936.77,4716800.397,8183126.994,7572199.699,5351926.068,5651789.756,-1.514,-12.2772,0,0.285434,0
948,sp|P33993|MCM7_HUMAN,75844.4756,77315.7164,86635.3509,83638.2555,89534.3788,71710.2448,57341.9688,455076.8357,428315.5043,370467.6511,381250.7189,444908.4897,428825.2393,1.335,11.9864,0,0,0.284853
2256,sp|Q8NFJ5|RAI3_HUMAN,800416.1519,1674164.419,1790149.67,1616261.461,1773532.658,387417.1503,742697.2378,105502.1562,107286.6885,111359.0852,128218.5971,107190.7798,116442.399,-2.528,-11.9056,0,0.285578,0
548,sp|Q15084|PDIA6_HUMAN,7032955.561,5862738.983,5813457.724,9705182.354,10715888.49,5230115.119,7138206.229,24807064.78,22573554.02,19688259.83,19755982.43,23212950.78,23406818.75,1.204,10.9626,0,0,0.284976
40,sp|Q9P2E9|RRBP1_HUMAN,2212012.09,2106730.701,2016407.403,2207760.351,2071104.501,1635497.403,2059423.912,4936148.746,4832548.451,7463063.678,6782067.74,7452487.693,7261795.216,1.08,10.6529,0,0,0.28514
