"","Threshold","Go_BP","Go_MF","Go_CC","Kegg_Path","Total","DEs"
"1",0.001,0,0,0,0,0,729
"2",0.002,0,0,0,0,0,808
"3",0.003,0,0,0,0,0,859
"4",0.004,0,0,0,0,0,916
"5",0.005,0,0,0,0,0,949
"6",0.006,0,0,0,0,0,981
"7",0.007,0,0,0,0,0,998
"8",0.008,0,0,0,0,0,1016
"9",0.009,0,0,0,0,0,1036
"10",0.01,0,0,0,0,0,1059
"11",0.02,0,1,0,0,1,1184
"12",0.03,0,0,0,0,0,1259
"13",0.04,0,0,0,0,0,1346
"14",0.05,2,0,0,0,2,1387
"15",0.06,2,0,0,0,2,1442
"16",0.07,2,0,0,0,2,1469
"17",0.08,2,0,0,0,2,1513
"18",0.09,2,0,0,0,2,1552
"19",0.1,0,0,0,0,0,1582
