"","Threshold","Go_BP","Go_MF","Go_CC","Kegg_Path","Total","DEs"
"1",0.001,8,2,12,1,23,792
"2",0.002,3,6,13,1,23,873
"3",0.003,3,0,10,0,13,938
"4",0.004,3,1,10,0,14,981
"5",0.005,3,2,4,0,9,1015
"6",0.006,4,5,0,0,9,1044
"7",0.007,4,2,0,0,6,1070
"8",0.008,4,3,0,0,7,1089
"9",0.009,3,2,5,0,10,1112
"10",0.01,3,1,5,0,9,1137
"11",0.02,0,1,7,0,8,1303
"12",0.03,0,2,3,0,5,1420
"13",0.04,1,6,2,0,9,1519
"14",0.05,1,2,3,0,6,1614
"15",0.06,0,2,3,1,6,1705
"16",0.07,0,2,4,0,6,1762
"17",0.08,0,1,4,0,5,1821
"18",0.09,0,2,0,0,2,1874
"19",0.1,0,1,3,0,4,1927
