"","Threshold","Go_BP","Go_MF","Go_CC","Kegg_Path","Total","DEs"
"1",0.001,113,7,36,1,157,908
"2",0.002,114,7,31,1,153,972
"3",0.003,102,7,33,1,143,1012
"4",0.004,80,7,20,1,108,1040
"5",0.005,89,7,22,1,119,1067
"6",0.006,76,6,20,1,103,1091
"7",0.007,69,6,19,1,95,1112
"8",0.008,74,5,18,1,98,1127
"9",0.009,74,5,12,1,92,1141
"10",0.01,77,5,12,1,95,1155
"11",0.02,51,5,9,1,66,1257
"12",0.03,52,4,9,1,66,1322
"13",0.04,52,5,9,1,67,1367
"14",0.05,50,5,9,1,65,1412
"15",0.06,41,6,9,1,57,1440
"16",0.07,41,6,9,1,57,1465
"17",0.08,29,6,7,1,43,1490
"18",0.09,23,6,6,1,36,1515
"19",0.1,24,6,4,1,35,1535
