"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","","BHpVal"
"1","sp|P33993|MCM7_HUMAN","16.396285","16.568590","16.517407","16.665514","16.493000","16.596578","16.976820","18.851771","18.929414","18.488485","18.396637","18.709720","18.665123","2.44606593408055e-09","5.19183177580137e-06"
"2","sp|P14314|GLU2B_HUMAN","21.171959","21.317660","21.398558","21.236907","21.286183","21.245591","21.438981","22.370982","22.372864","22.235523","22.285406","22.193817","22.121122","3.69000126211896e-09","5.19183177580137e-06"
"3","sp|Q9NRV9|HEBP1_HUMAN","19.563664","19.524950","19.274640","19.301274","19.326369","19.086617","19.622298","17.901158","18.127504","17.696410","17.722700","18.015024","18.058941","2.21565094279029e-08","1.93918388841611e-05"
"4","sp|P00338|LDHA_HUMAN;sp|Q6ZMR3|LDH6A_HUMAN","22.519114","22.524899","22.246461","22.453074","22.585199","22.600341","22.979661","24.215539","24.188540","23.952571","23.799130","24.097242","23.997597","2.92475303380173e-08","1.93918388841611e-05"
"5","sp|Q07065|CKAP4_HUMAN","20.795764","20.843210","20.875673","20.642809","20.873266","20.843293","21.429804","22.392775","22.334777","22.727822","22.740616","22.572813","22.403282","3.63604355106741e-08","1.93918388841611e-05"
"6","sp|O95833|CLIC3_HUMAN","19.022922","19.075485","18.658894","18.745476","18.962757","18.959396","20.027690","15.747999","15.807967","16.383558","16.456532","16.255773","16.110508","4.19884836966601e-08","1.93918388841611e-05"
"7","sp|P01023|A2MG_HUMAN","26.887445","26.906018","26.711147","26.623469","26.353617","26.303324","26.615263","24.505856","24.443673","24.969528","25.003367","24.947137","24.843630","4.93262797992219e-08","1.93918388841611e-05"
"8","sp|P13639|EF2_HUMAN","23.204649","23.340617","22.980124","23.116689","23.399512","23.372426","22.786789","24.665166","24.620581","24.457320","24.390883","24.745076","24.774453","5.51296059251205e-08","1.93918388841611e-05"
"9","sp|P00441|SODC_HUMAN","22.208114","22.223726","21.723691","21.818964","22.200216","22.281751","22.480902","20.678935","20.375120","20.764988","20.449821","20.178494","20.217121","1.15524007715735e-07","3.24505697641928e-05"
"10","sp|P22748|CAH4_HUMAN","17.155992","17.595069","16.904174","16.817854","17.288072","17.425107","17.665754","13.497608","14.131827","13.361442","13.271159","14.201335","14.301604","1.2274769508237e-07","3.24505697641928e-05"
"11","sp|P55327|TPD52_HUMAN","19.215800","18.965828","18.387885","18.586725","18.768046","18.673396","18.919153","20.665683","20.489156","20.152121","20.119747","20.380592","20.427932","1.43172473925813e-07","3.24505697641928e-05"
"12","sp|Q9UBS4|DJB11_HUMAN","17.761003","18.144464","18.316403","18.236469","18.187403","18.069290","17.442093","19.730215","19.836322","20.187312","20.071968","19.683496","19.534666","1.5165092455094e-07","3.24505697641928e-05"
"13","sp|P08174|DAF_HUMAN","17.052033","17.061216","17.286858","17.551981","17.593473","17.501545","16.621796","15.511156","15.373155","14.970296","15.248340","15.090224","15.030866","1.56594035920887e-07","3.24505697641928e-05"
"14","sp|P20700|LMNB1_HUMAN","20.933366","20.826542","20.632611","20.547577","20.842357","20.874073","20.680614","22.057042","22.058440","21.668173","21.757645","21.867768","21.757645","1.61644606975564e-07","3.24505697641928e-05"
"15","sp|Q03135|CAV1_HUMAN;sp|P56539|CAV3_HUMAN","22.023248","22.672136","21.878706","21.963758","21.962668","22.117963","21.958999","19.257562","18.905366","19.433394","19.541902","19.950784","19.775707","1.8073458858599e-07","3.24505697641928e-05"
"16","sp|O95232|LC7L3_HUMAN","15.935222","15.560577","15.835295","16.083552","15.713762","16.277769","16.061167","17.712556","17.447356","17.283893","17.280189","17.156472","17.203035","1.8450928081986e-07","3.24505697641928e-05"
"17","sp|Q7KZF4|SND1_HUMAN","21.016561","21.136450","21.165827","21.091715","21.279731","21.197697","21.082854","22.200975","22.166144","22.410896","22.460616","22.533909","22.487121","2.32385875345716e-07","3.84666972484027e-05"
"18","sp|Q13228|SBP1_HUMAN","25.099659","25.185107","24.649648","24.570350","24.904018","24.875133","25.117753","22.534505","22.522332","23.272456","23.123297","22.630899","22.707155","2.66580934393498e-07","3.99486090919309e-05"
