"","Protein","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X1","X1.1","X1.2","X1.3","X1.4","X1.5","pVal"
"1","sp|Q15149|PLEC_HUMAN",24.9831146602849,24.9977893919357,25.0825519079433,25.121883879788,25.1203410572866,25.1110094770428,24.7402065876286,25.219829539413,25.2321079903814,25.1036026348822,25.0359082451582,24.6625737859118,24.7017116167549,0.802714854911579
"2","sp|P35579|MYH9_HUMAN",25.7707004675623,25.7030398362226,25.6897842856321,25.7947148839107,25.7438989705317,25.7801854823469,25.5531259481624,25.8990710587616,25.9020329907634,26.0950568402941,26.0986862412751,25.6515456354313,25.6597538518494,0.101669917521187
"3","sp|Q09666|AHNK_HUMAN",25.2442125454953,25.2514199772877,25.9700194969664,26.0276887029332,25.7290041747019,25.7632028794204,25.2952304153651,24.4217350314578,24.2812543931835,24.457933964728,24.4697901146264,24.275995731532,24.2510019066073,3.09914559009492e-05
"4","sp|P35749|MYH11_HUMAN",25.4140623795882,25.2041361044927,25.2230765637208,25.3376725256665,25.6148071493766,25.6223193970811,25.3173533443976,22.5840516867021,22.5669106809553,24.1007480344998,24.1060428705922,24.303726919899,24.2742234904537,0.00350131361043716
"5","sp|P21333|FLNA_HUMAN",27.0766158805763,27.0911671932634,27.2855387471715,27.3734344032546,27.3835301640374,27.4014030717788,27.1229204426059,26.0312525234412,26.0586407094987,26.6937723865474,26.724127568805,25.7870603754906,25.8339548971616,0.00100499499082882
"6","sp|P35580|MYH10_HUMAN",24.5520578367461,24.5531325960726,25.2885184660764,25.2099730862032,24.9119331883309,25.019986558366,24.4643234567425,23.3594711548601,23.413989554791,23.7823699167618,23.8210974003199,22.9125641051086,22.915975674946,2.99350081498682e-05
"7","sp|Q9Y490|TLN1_HUMAN",25.4100509921627,25.3151172607237,25.8584086483121,25.8437284699844,25.9312370606848,25.9420036369499,25.4896005181172,24.7782725546147,24.8007443549895,25.3526779669537,25.2960101506283,24.8052100051132,24.7751736923528,0.000704562163043404
"8","sp|P12111|CO6A3_HUMAN",26.0226645837423,25.9350501139588,26.6188679766877,26.6105043478954,26.3369400960207,26.2890798704136,26.9377749145289,24.9596345982074,25.000656285094,26.4152696849139,26.3943285494679,25.7886967238848,25.7846757459614,0.0539113869379003
"9","sp|Q01082|SPTB2_HUMAN",23.9119968207592,23.9762269754566,24.6333160619898,24.7844364362112,24.7143552772284,24.7513581593856,24.201767437747,22.6281523667419,22.651682999948,22.8892451708308,22.9647608242633,22.8760860331605,22.7798220036717,7.75473643821913e-06
"10","sp|P01024|CO3_HUMAN",26.2027267275027,26.1348667389504,26.6090488742841,26.6718944433195,25.9441923995388,25.8915443573029,27.2510410915582,23.7260254536971,23.7335270680759,25.1966830579672,25.1748977530655,24.6227633196085,24.6351100967991,0.00026107954316973
"11","sp|ALBU_HUMAN|;sp|Q92985|IRF7_HUMAN",32.2967881201767,32.2873863259588,32.0361442158416,31.9612329570988,31.6853838845358,31.7388040745426,31.8379767399986,29.8327468256915,29.8698485872856,30.7370203066077,30.6343469788738,30.6810956555166,30.4728992239027,3.44271642731052e-05
"12","sp|Q13813|SPTN1_HUMAN",23.4395897159117,23.5753251600755,24.2643981619725,24.2630551436683,24.2962208856484,24.3447704837679,23.5988654611905,22.3674270876795,22.3877507016953,22.6074834902891,22.638554524346,22.6228894397746,22.6047661518052,3.79982977816734e-05
"13","sp|Q14204|DYHC1_HUMAN",23.1819541429134,23.0580270530097,23.4789525689926,23.515489685782,23.4862995817378,23.5349655906959,23.3130980829963,23.2350176333355,23.2285567027798,23.2103555162158,23.0612702982981,23.0607736998934,23.0075019403474,0.018284077176695
"14","sp|P15924|DESP_HUMAN",21.3210134028877,21.2677688956093,20.8387322172724,20.8474727959127,20.2397111961635,20.3921455200481,21.7928138633269,24.3232842344773,24.2759451967542,21.0182926452134,20.99374093662,22.9713832166391,23.0075019403474,0.0292727083436713
"15","sp|P98160|PGBM_HUMAN",23.0982298705356,23.0301001309499,23.7024743520784,23.6813193500035,23.7936059259778,23.8147378610214,23.4135822174364,22.6065982629543,22.6288125061977,23.878510476405,23.8752008823066,22.6357209478953,22.7667827684348,0.1666916288168
"16","sp|P02549|SPTA1_HUMAN",24.6907852628211,24.5455649722379,23.8762651889097,23.8346535675305,22.7054693865376,22.620369798263,25.8847884065794,20.2055322483709,20.0780110662995,20.4037673513397,20.394951800781,20.8587566487661,20.8386446708869,9.83420988529994e-05
"17","sp|P11277|SPTB1_HUMAN",24.6640864812019,24.7829020468885,23.8228950115494,23.7924763474993,22.7348902832451,22.7364851040836,25.8447306943345,21.3616324093574,21.5215813756434,20.3872163472581,20.2417179876996,20.9478717546832,21.0532743296165,0.000124240986612701
"18","sp|P04114|APOB_HUMAN",24.3822694537098,24.4020859663897,24.1169916138014,24.1451082083816,23.4382690126024,23.5119126512732,25.5343602868146,21.5293299489024,21.5549023701476,22.5198991304117,22.4377292904205,22.0290561182106,22.0317517316219,3.69102407956992e-05
"19","sp|P02751|FINC_HUMAN",24.8824792640995,24.9002887339332,25.3032080059047,25.2572574441009,25.1088807029183,25.0562911808829,25.7982949478423,24.4639367577532,24.5245146994002,25.7005176599866,25.8318068723038,24.2713215969428,24.2321517111607,0.313959357012099
"20","sp|P35555|FBN1_HUMAN;sp|P35556|FBN2_HUMAN",22.4598745730852,22.4335713788555,24.1713820129193,24.1782435944976,23.7151575067588,23.6660447415376,23.7172327015757,22.3235334117067,22.3356577315475,24.6426864015458,24.6312167874468,22.619533019654,22.6209091777992,0.613055711043365
"21","sp|TRFE_HUMAN|;sp|P02787|TRFE_HUMAN;sp|O95714|HERC2_HUMAN;sp|Q9Y4I1|MYO5A_HUMAN",27.8210781134629,27.7060787284703,27.222536642294,27.3493914130627,27.2680634598157,27.226586068736,27.9821394037336,25.6778724606182,25.6234881484924,26.3468917779827,26.4590237796868,26.133290931591,26.2481547368389,1.50033998012448e-05
"22","sp|P02545|LMNA_HUMAN",26.064098133504,26.5822309928818,25.7119720801393,25.9908616488215,25.5141442257382,25.7753536746799,26.9846089941843,24.8856673302784,24.8300211680493,25.2182788515723,25.1932692534432,24.837189108267,24.7588031914458,0.000717101458391497
"23","sp|P08670|VIME_HUMAN;sp|P41219|PERI_HUMAN",28.5923304859569,28.7060189603362,28.4037657693903,28.4374876335404,28.627206695818,28.5572493392007,28.2737130114912,27.7188318928312,27.654143347289,28.0907064035827,27.9524162102095,28.1427693022897,28.0024894497609,0.000198811706804234
"24","sp|P01023|A2MG_HUMAN",27.0766158805763,27.0781127046343,26.7989474510843,26.834882639471,26.2595886307405,26.2196365565797,26.9210170682846,24.2608185987318,24.2106624561794,24.6964343075983,24.7141330028291,24.7047860322893,24.6279171670096,7.66702156436702e-08
"25","sp|P78527|PRKDC_HUMAN",21.4377128359748,21.3780962005367,21.5497318236331,21.569157245028,21.4420335758095,21.4535130649161,21.3828670044754,22.8945384471775,22.8541136644764,22.2292823272017,22.2353501418532,22.6924817187104,22.6859711059832,0.000146031887960399
"26","sp|O43707|ACTN4_HUMAN;sp|Q9H254|SPTN4_HUMAN",25.5515112337151,25.4549895661531,25.8976556390677,26.0899571101739,26.0657484445782,26.2142910333753,25.2651953671984,25.4378395030767,25.3976901356604,25.9841775848087,25.9463546714841,25.2592030759567,25.0063095020792,0.201629103721714
"27","sp|P16157|ANK1_HUMAN",24.9280748220885,24.9469931440507,24.1925767170998,24.0408754204978,23.1026741065873,22.9578174896541,25.909271178588,20.5767545863701,20.5935586218296,20.6906430886921,20.7215042283836,21.1014979183114,21.0647578106084,7.94516083003156e-05
"28","sp|P18206|VINC_HUMAN",24.1709594682098,24.1854660083509,24.416261361107,24.4911373461182,24.6578038466094,24.7215253419718,23.9514094830604,23.1571313332149,23.1142107992602,23.8629254037463,23.882766945009,22.9713832166391,22.8921571552555,0.00093045613003606
"29","sp|P26038|MOES_HUMAN",23.5819620296336,23.3773417638089,23.386701224676,23.3404347895897,23.6948602741582,23.7668563067573,23.2807387549162,23.3191678560968,23.394524341648,23.4272129752364,23.1264554205352,23.1034742262601,23.0830850048841,0.0255854230587149
"30","sp|P12814|ACTN1_HUMAN;sp|Q08043|ACTN3_HUMAN",24.4773482054173,24.5606607311569,24.93944005892,25.3425526998309,25.1241410336893,25.3796794391006,24.7832297712389,24.8994010716055,24.770861095506,25.5626063206871,25.441430444393,24.6154055291854,24.1641661172077,0.893528128703081
"31","sp|P13647|K2C5_HUMAN;sp|O95678|K2C75_HUMAN",25.0309167493517,25.0360970293244,25.4902765829067,25.6368135989087,24.8490331312835,24.8603224812484,25.1133118240963,29.7757167515671,29.9344565333021,26.4805528795491,26.2245987626724,28.4447173717334,28.6870460455219,0.00446089640121556
"32","sp|P11021|GRP78_HUMAN",25.5910248219723,25.6824853913801,25.4816926576393,25.3762593654531,25.4152619122599,25.3764923328812,25.7118613623229,25.7741914754266,25.7760689668027,26.4018509149673,26.4964926386653,26.3593300050611,26.2481547368389,0.0026810401328215
"33","sp|Q7Z406|MYH14_HUMAN",22.6266381121689,22.0485639357858,22.4509595174087,22.9067208201063,23.0071246290993,22.9286109664803,21.9807021512067,21.5415692642383,21.4802991824694,21.9526811927519,21.9420736606972,21.618984656965,21.6065803508786,0.000925344136208918
"34","sp|P60709|ACTB_HUMAN",29.9917539311671,29.9241278299036,30.1632179966763,30.4013477673637,30.1633401092497,30.4284734999239,30.0957140553721,29.8983342073798,29.9238874738693,29.9594194002636,29.9251343878364,29.1945825224125,29.2856321412983,0.0220081169746166
"35","sp|O75369|FLNB_HUMAN",21.9282022520602,21.9476673315696,22.5136424249796,22.5710620875211,22.6129133232331,22.5584854471052,21.9631334517487,22.8235985151337,22.7898532006084,22.0655614403043,22.108143934275,22.1207802215124,22.1932247985523,0.796098177722618
"36","sp|Q00610|CLH1_HUMAN;sp|P53675|CLH2_HUMAN",24.2627940877741,24.2427457344502,24.5860464546725,24.4555406774054,24.3684826690846,24.606536329463,24.5786391998362,24.2923894688942,24.2272621687768,24.2278616328462,24.11249269246,24.3443491594732,24.4476541704584,0.0474060536501545
"37","sp|Q15063|POSTN_HUMAN",23.717973503666,23.5510660511453,23.2594415605621,23.4639329563464,21.9254856585596,22.1089252956264,21.931041765194,23.808404920198,23.8308737408008,25.8542427311117,25.8220016567036,24.0490503303621,24.1238286024429,0.00674279552294363
"38","sp|P02533|K1C14_HUMAN",22.6400789034035,22.6954251369998,22.8820156961219,22.8491798264926,22.251647882389,22.1750478473508,23.13934856075,26.7943680836401,26.7241543892498,22.7384826759845,21.9721062344361,23.8565263970028,23.9501553650278,0.0971847868608882
"39","sp|P68371|TBB4B_HUMAN",26.7751514780903,26.6839667516405,26.7299515134124,26.7944941471296,26.8644748452938,26.9331735500332,26.3131693588074,26.9006141711716,26.7531012045311,26.5430094013137,26.5209419485164,26.5255607376807,26.6275294443466,0.418520165242577
"40","sp|TRFL_HUMAN|;sp|Q86TE4|LUZP2_HUMAN;sp|P08582|TRFM_HUMAN",25.1797032434238,24.9584367679075,24.9826673792306,25.0461264899613,24.0547952636314,23.9834417142312,26.2608571179186,26.1863408895251,26.187229834757,23.7657046485991,23.8132000001345,24.3173951510034,24.1591851763367,0.743239929695188
"41","sp|Q9P2E9|RRBP1_HUMAN;sp|Q8N4C6|NIN_HUMAN",21.4397735719891,21.4130902242632,21.4275272325439,21.4648558062395,21.1490224962044,21.1223473425517,21.4948920484096,22.2609394294132,22.2354286870969,22.8121512371303,22.6138729414345,22.8883481583445,22.8308314582697,2.4376971603074e-05
"42","sp|P46940|IQGA1_HUMAN;sp|Q86VI3|IQGA3_HUMAN",23.5819620296336,23.5643423310766,23.3446077881542,23.3933891433878,23.4504273954596,23.4884853571497,23.0565018033071,22.7863114970136,22.8682946330805,22.9125532520919,23.1007337110074,23.4888746362861,23.402605541026,0.0491865379612831
"43","sp|P14625|ENPL_HUMAN;sp|Q58FF3|ENPLL_HUMAN",24.3322721649379,24.2705547494537,24.4693271868545,24.5344325392267,24.4188526056971,24.3512789038145,24.4376411563212,24.6582023009253,24.6447246134152,25.5480614310363,25.5260001636188,25.6261439900377,25.7235664884868,0.00682807719365919
"44","sp|P55072|TERA_HUMAN",23.1776655289448,23.2069461112949,23.1275996046719,23.2228291969159,23.4260072928872,23.4158306003381,23.412280377655,23.3792083005232,23.3747929027546,23.3171476795842,23.544103032216,23.6048750173338,23.5315440787551,0.0262024253469929
"45","sp|P02538|K2C6A_HUMAN;sp|O95678|K2C75_HUMAN",24.8051682639292,24.8272686908002,25.3225642524373,25.4993593241216,24.7928461651032,24.7997482766621,24.6958608511194,29.6670122506081,29.8364261933677,26.240853211235,25.9226938610841,28.4395186105087,28.6674472922022,0.00530066581210632
"46","sp|Q04695|K1C17_HUMAN",22.7618154995587,22.755985449248,22.7350051602882,22.7163152449123,22.4520448096533,22.3981291588709,23.2898169128093,25.2918867959243,24.6893389803721,22.9984751239561,22.5140902245458,25.3125002388213,25.4038060809258,0.02517038643255
"47","sp|P05787|K2C8_HUMAN;sp|O95678|K2C75_HUMAN",25.6397985715748,25.4305462494245,25.6897842856321,25.978374055273,25.9697592004039,26.0991360457071,25.2189368013783,28.7017410046468,28.6463890640749,26.2119264793557,25.8492900558777,27.2023482783623,27.3662454800926,0.0198674920515993
"48","sp|P11142|HSP7C_HUMAN",24.9992253178722,24.845873096838,24.8287295527914,24.7032918319877,24.8627444951717,24.8648783691716,24.9529877866833,25.2892812092606,25.1903874266986,25.607720937692,26.1403124036064,25.0730032941756,25.2054775220233,0.0182160369798804
"49","sp|P0C0L4|CO4A_HUMAN",23.0708016947148,23.1148368926033,24.1058630667014,24.1111938524846,23.0379748800918,22.6983935381182,24.4905212221847,20.9443669130016,21.0236821279791,22.5435723765607,22.5699646115763,21.4545209376932,21.4753366641163,0.000743922420893327
"50","sp|P24821|TENA_HUMAN",20.1015803346889,20.4853755078507,20.9746431026083,21.0908833967552,20.7810026582697,20.4649386236876,20.2218459971095,22.7103169884952,22.5737004205028,24.0465915022841,24.2533970132079,22.8883481583445,22.7269426901072,0.000100342816925177
"51","sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN",24.3322721649379,24.3246145492762,23.849826879118,24.0408754204978,24.2482771154798,24.3184391547034,24.0778071133161,25.0143016938386,24.9041602375672,24.6426864015458,24.6970685873261,24.7288512592076,24.6024556862292,6.7421020702007e-05
"52","sp|P02671|FIBA_HUMAN",24.3822694537098,24.483550983961,26.2906337572284,26.6105043478954,24.8853111005766,24.9358813564808,27.5098737100004,23.0002843602015,22.9236643821111,23.8392274963931,23.7566735511126,24.7691943927512,24.7017116167549,0.010356944062402
"53","sp|P07437|TBB5_HUMAN",27.2880940825036,27.2392479724629,27.3809472839981,27.4545630839803,27.4681853706887,27.4851640740453,26.9282228505502,27.6595386319146,27.5369699976347,27.3113474403798,27.2770867621238,27.1961964587301,27.2064254312757,0.690423013975969
"54","sp|P13639|EF2_HUMAN",23.5256775298622,23.5966312570273,23.2185695944668,23.256334963221,23.5327824917122,23.4646713491218,23.1195406494407,24.5049390029637,24.3933705402954,24.2459983437724,24.2239147492335,24.5318918824998,24.5115814073491,2.59743774990945e-07
"55","sp|P07900|HS90A_HUMAN;sp|Q58FF7|H90B3_HUMAN;sp|Q14568|HS902_HUMAN;sp|Q58FG0|HS905_HUMAN",24.5665464764098,24.4914500850203,24.0372264784687,24.2318321572177,24.3491311259443,24.331664891639,24.673166117369,24.8077018323914,24.8728516860719,24.1783518960911,24.1630787766246,24.6154055291854,24.4839611228992,0.379051317251132
