"Protein","1","1","1","2","2","2","LogFC","Zstatistic","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|P0DJI9|SAA2_HUMAN","29353448.3403257","8175314.30611908","27684956.4111554","3486494.85956008","4414035.64085364","5643004.93504054","9.83250510237553","0.0978467682153119",0.00316639881969238,0.00158319944585074,0.263618163665647
"sp|P20742|PZP_HUMAN","129908842.316982","148520753.698961","311066925.968038","49460803.90998","54099176.5838423","37466881.4525438","8.94327075875176","0.0891536110539313",0.00835529406754918,0.00417764706977913,0.272010392536946
"sp|P02462|CO4A1_HUMAN;sp|P29400|CO4A5_HUMAN","1047999.09052526","362597.09418486","632019.59720826","2926663.92474756","1319957.33044349","8794580.07929266","-7.70224835263252","-0.0789901719317398",0.0265860787613917,0.0132930394167004,0.00259297899514539
"sp|Q9H8L6|MMRN2_HUMAN","405560.55782711","961254.561060673","1347161.5568778","2309547.36801869","1475780.36177876","4289816.79998615","-7.78240672614987","-0.0772035280025984",0.0313156913181322,0.0156578456950706,0.00305778909879375
"sp|P04211|LV001_HUMAN","33220963.493274","25213988.4186607","35669007.5110017","73632613.6236869","318107343.935939","139962488.18479","7.68825994613557","0.0750535202094142",0.0333266077602786,0.0166633039161438,0.286122685517211
"sp|P01593|KV101_HUMAN","325267941.068474","222781130.548441","243669092.008296","1533589607.88644","1171974425.02715","1582652751.01262","-7.32506506070924","-0.0734856585022664",0.0434978551828611,0.0217489276274351,0.00426608545185011
"Int_P06396ups|GELS_HUMAN_UPS","1428005594.93476","1329778841.25814","1690130297.75967","3057022993.2041","3264785898.28991","3046875704.33043","-6.94452897957731","-0.0731316563298896",0.0448420046950376,0.0224210023835233,0.004400361329746
"sp|P80108|PHLD_HUMAN","60392736.619116","45247020.3129392","55784668.7236014","33413972.2513007","45727930.6907913","58353591.2278124","-7.29721526521365","-0.0702784796738352",0.0569978898830471,0.0284989449775281,0.00562364464904747
"sp|O14786|NRP1_HUMAN","9063102.62939222","8492106.93229693","8897026.79356216","25695243.0990245","36519560.2084352","38435852.5245923","6.97512341699436","0.0701606566153525",0.050977873899961,0.025488936985985,0.290936613780161
"sp|P01709|LV206_HUMAN","9.9167055203803e-06","8.63492754063724e-06","12744.5805551844","148945.062296199","3175585.14905055","479396.836294499","-6.65817366268147","-0.0694204288806365",0.0611460523316823,0.0305730262018457,0.00604465704607386
"sp|P05164|PERM_HUMAN","2535438.68093945","3900272.16551095","6437268.58323104","1133157.80247039","468983.527205879","6936913.84233469","-6.99428776636003","-0.0690858031966451",0.0628295615977983,0.0314147808349037,0.00621602326438006
"sp|P06702|S10A9_HUMAN","174534017.158693","49391785.532445","164865470.76306","21023380.7173837","16533210.6387758","98942712.8014015","6.78106163056284","0.0688645009477083",0.0567829283290086,0.0283914642005088,0.292179753358564
"sp|Q15166|PON3_HUMAN","103133737.411955","47060355.096473","43964125.536816","74445111.4291897","42588713.4808972","46187621.1009807","-6.95566849521086","-0.0681336710005487",0.0678284205536618,0.0339142103128354,0.00672665226376621
"sp|Q14112|NID2_HUMAN","3891833.9384878","6093726.40336618","5246669.87097178","4560572.05777474","6948516.72623245","9423882.48492423","-6.91175940420359","-0.0679968045270524",0.0685729182690202,0.0342864591705147,0.00680290898667099
"sp|P55285|CADH6_HUMAN","161429.186509719","454285.570661218","278003.942494762","2110847.93406635","6252702.64767452","3136472.82033806","-6.96012761702386","-0.0654213117559943",0.0838626367762871,0.0419313184241481,0.00838181752550362
"sp|Q86YZ3|HORN_HUMAN","1231078.09086325","300908.890940355","91661.1509166935","225970.422498513","751960.595681594","1038152.73746947","-6.68039310984823","-0.0634864151332281",0.0970503075883783,0.0485251538301937,0.00976266825175465
"sp|Q12860|CNTN1_HUMAN","5080028.94993488","3113024.87351601","1913996.38710711","7148672.93562824","5634679.68167775","8372801.2628766","-6.24957176253496","-0.0633337741025976",0.098156423624229,0.0490782118481191,0.00987926625444694
"sp|P31146|COR1A_HUMAN","37742.3978603652","175017.313119221","818487.786489912","143842.217359861","1.04640573663138e-05","2454708.89540167","6.0616538598114","0.0626355193163969",0.0927348444454288,0.0463674222587189,0.297830235897286
"sp|P03951|FA11_HUMAN","58012727.2942247","67266085.5415641","154496573.230792","61140459.8640821","61319376.1665989","57169293.2508642","-5.89692805767254","-0.0623567305361116",0.105472431262902,0.0527362156674556,0.0106536302382348
"sp|Q9BUD6|SPON2_HUMAN","5297791.68435562","4623290.15681837","9679183.43257916","6550863.60175197","5666565.74682033","10123263.5119344","6.08960380621604","0.0614242350061411",0.101472795597358,0.0507363978346836,0.298844512115556
"sp|P29279|CTGF_HUMAN","7248636.5288528","7664951.79170028","5943795.23763937","14320273.821986","48343945.0323698","23685959.5389644","-6.32368619075342","-0.0611938592587395",0.114724724584189,0.0573623623280989,0.0116404672086414
"sp|K2C1_HUMAN|","90242020.2354607","81945462.3606474","114057872.854947","133046515.651076","204049118.643119","253009113.25712","5.84026179617277","0.0610652615730358",0.104182363175269,0.0520911816236392,0.299138416770413
"sp|Q13508|NAR3_HUMAN","432692.15361887","156952.991254006","777283.365946573","1474199.35970142","5514773.50805316","2923250.79407204","5.97876440514515","0.0606090306718336",0.107706974143848,0.0538534871079285,0.299507273306829
"sp|P62987|RL40_HUMAN;Int_P62988ups|UBIQ_HUMAN_UPS;sp|P0CG47|UBB_HUMAN;sp|RS27A_HUMAN|","12693383.0660868","19946682.618872","64598231.6260292","60327962.0585793","365195602.084352","234706326.340648","-6.08682653094814","-0.0602598450761672",0.12259830079842,0.0612991504352143,0.0124869222214988
"sp|Q14315|FLNC_HUMAN","499870.502594891","717652.502236728","773471.515544619","884378.491248893","653942.680499758","312866.803074125","-6.18269047079606","-0.06015289398689",0.123525538187133,0.0617627691295712,0.0125869917427849
"sp|Q9UGM3|DMBT1_HUMAN","21618418.034429","2087107.06089378","1317254.9490756","974700.968927288","465082.999909032","1039805.83484807","6.26226689084411","0.0595731104571976",0.11605279944498,0.0580263997584945,0.30032437828404
"sp|P35443|TSP4_HUMAN","25485933.1873774","11052707.2520157","11716854.2114628","15335896.0788644","6494594.45112054","14319239.1758285","5.8586019492424","0.0595089269228772",0.116585792529639,0.058292896300824,0.300374022732091
"sp|P14618|KPYM_HUMAN;sp|P30613|KPYR_HUMAN","6711827.18385546","6959046.83914555","26544377.6826059","3254021.4711256","6947650.63503955","12919614.2939806","-5.81857645286109","-0.0591415199399403",0.132559269657105,0.0662796348645572,0.0135664587593798
"sp|P02671|FIBA_HUMAN","9748121526.53383","12693343484.7367","8678767234.50825","14320273821.986","12452228265.9134","12704287389.0809","5.94042511194808","0.0582651133890106",0.127289201940392,0.0636446010062006,0.301312302090402
"sp|P01871|IGHM_HUMAN","1318921834.21058","1062096087.49838","1451645654.51751","4763268384.75988","7387624500.61754","12381297031.7314","5.90265609715544","0.0580531432734771",0.129185272073387,0.0645926360726982,0.301467469568574
