"Protein","1","1","1","2","2","2","LogFC","Zstatistic","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|P02452|CO1A1_HUMAN","632209150.326797","646943894.389439","486595238.095238","556860215.053763","452883720.930233","424102003.642987","-10.614289567217","-0.105860874133822",0.00149555053574918,0.00074777542676098,0.000114729732102338
"sp|P04275|VWF_HUMAN","286732026.143791","336184818.481848","313357142.857143","205562724.014337","204046511.627907","198797814.20765","9.16213720203644","0.0939032627973628",0.00589935717421439,0.00294967874599358,0.245656405934429
"sp|P04075|ALDOA_HUMAN","4263327.18726797","9617287.82085809","11173269.4173333","1414304.172","2896460.63223256","3466505.98271038","8.82046741196684","0.0862967006949541",0.0130942719416157,0.00654713612969425,0.251830622750179
"sp|P35858|ALS_HUMAN","307712418.300654","406811881.188119","440738095.238095","67344802.8673835","97875968.9922481","70631693.989071","-7.60363638408901","-0.0783526644851624",0.0283801981587053,0.014190099238239,0.00220535055254334
"sp|P08185|CBG_HUMAN","1622483660.13072","1666798679.86799","975738095.238095","671146953.405018","811209302.325581","826375227.686703","-8.11301081306502","-0.077371912999669",0.0310123392674372,0.015506169792605,0.00241626758530273
"sp|P01709|LV206_HUMAN","1.39869281045752e-05","1.41254125412541e-05","15656.5999785714","112487.294346237","2517199.96915504","347134.905841894","-7.40325729954852","-0.075166614587398",0.0377028496634601,0.0188514249906165,0.00295671348547734
"sp|P55058|PLTP_HUMAN","600039215.686275","478851485.148515","527357142.857143","366637992.831541","524217054.263566","423322404.371585","7.09613334668586","0.0706890517350674",0.0544669923386565,0.0272334963282147,0.264398299781436
"sp|P19827|ITIH1_HUMAN","4391895424.8366","4816765676.56766","3808690476.19048","1541720430.10753","1708682170.54264","1294134790.52823","6.84416298391153","0.0692425584759332",0.0612743905323658,0.0306371954250693,0.265487193706822
"sp|Q8NBP7|PCSK9_HUMAN","222672.121313725","449201.622988779","381649.954127381","171460.447817921","1452849.31368217","43740.4586042987","6.62246504664355","0.0673195879042935",0.0713898458737094,0.0356949230957411,0.266893313879478
"sp|P00450|CERU_HUMAN","30771241830.0654","28250825082.5083","19616666666.6667","16107526881.7204","18413953488.3721","17774863387.9781","6.74715808465281","0.0664734284912263",0.0762507367052456,0.0381253685115092,0.267494752123328
"sp|P22105|TENX_HUMAN","53430065.3594771","42517491.7491749","59869047.6190476","85139784.9462366","59637984.496124","65486338.7978142","-6.69723535774468","-0.0662555040195109",0.0783765308363373,0.039188265577055,0.00636066868228209
"sp|P12821|ACE_HUMAN","1479113.73491503","372294.10650429","935352.630870238","1718106.53755556","1248230.63489922","1844197.94024772","-6.41833290722192","-0.0648105885200076",0.0874865263003086,0.0437432633090407,0.00714842193257655
"sp|P02745|C1QA_HUMAN","83082352.9411765","57207920.7920792","53882142.8571429","135763440.860215","119441860.465116","22140619.3078324","-6.18378713391277","-0.0632124661433445",0.0985217798716434,0.0492608900947081,0.00811420807190776
"sp|P02647|APOA1_HUMAN","80005228758.1699","84469966996.6997","73626190476.1905","32751971326.1649","43546511627.907","26818214936.2477","-6.56002145215016","-0.0624983805989636",0.103792932250083,0.0518964662839278,0.00857990547125749
"sp|P01700|LV102_HUMAN;sp|P04208|LV106_HUMAN","33149019.6078431","27120792.0792079","36558333.3333333","115053763.44086","103682170.542636","201916211.29326","-6.20169373172595","-0.0622966549764817",0.10532114496026,0.0526605726390163,0.00871542896519297
"sp|IGF2_HUMAN|;sp|Q99996|AKAP9_HUMAN;sp|P30533|AMRP_HUMAN","46576470.5882353","40398679.8679868","37704761.9047619","43490322.5806452","32597674.4186046","30950091.0746812","5.99411290541466","0.0622357696583325",0.104731117873187,0.0523655590954801,0.270309016958948
"sp|P07585|PGS2_HUMAN","4330730.17142484","9141039.91338614","5812645.95672619","8974193.5483871","13437209.3023256","7272695.18591621","-6.24026596037762","-0.0621194226663612",0.106678196713428,0.0533390985156005,0.00883598663027152
"sp|P01701|LV103_HUMAN;sp|P06888|LV109_HUMAN;sp|P01702|LV104_HUMAN","55108496.7320261","31358415.8415842","21145238.0952381","208630824.37276","141837209.302326","102907103.825137","-6.17579449793966","-0.0612304261764512",0.113690924568358,0.0568454624430655,0.00946190827748741
"sp|P05997|CO5A2_HUMAN","11034254.4984183","14119461.7747459","6961093.82323809","2752464.58750538","6458898.7974186","4685082.02510747","-5.8747502615825","-0.0607781229238044",0.117392533700862,0.0586962670093175,0.00979421351499909
"sp|Q6UWP8|SBSN_HUMAN","141928.262743791","514391.470171617","1560796.23005952","1243714.75311828","1920955.36472868","1384458.46748998","-6.15225652559797","-0.0606238302096957",0.118676168951912,0.0593380846348423,0.0099097909344672
"sp|P01625|KV402_HUMAN;sp|P06312|KV401_HUMAN","49233986.9281046","77266006.6006601","44201190.4761905","80537634.4086021","77720155.0387597","143446265.938069","6.33712628493672","0.0599840764916266",0.122920544864731,0.0614602725912516,0.271639334140869
"sp|P31946|1433B_HUMAN;sp|P27348|1433T_HUMAN;sp|P61981|1433G_HUMAN;sp|Q04917|1433F_HUMAN","62801307.1895425","52122772.2772277","47385714.2857143","7065998.49335484","16091472.8682171","42332240.4371585","-5.57802901802634","-0.059216749595421",0.130882312849987,0.0654411565838799,0.0110166887488043
"sp|P02747|C1QC_HUMAN","1468627450.98039","1454917491.74917","1999880952.38095","2508172043.01075","2272713178.29457","2011366120.21858","5.87844899657625","0.0590335239372892",0.131285300602802,0.0656426504602872,0.27215942981506
"sp|P37837|TALDO_HUMAN","3638405.7048366","4736651.21413861","7539523.32716667","1823213.74667383","1651354.27789147","4774864.56974135","6.08590361425864","0.058710352497009",0.134224826820067,0.0671124135689197,0.272330122830363
"sp|P02461|CO3A1_HUMAN","181830065.359477","234481848.184818","136297619.047619","142666666.666667","206534883.72093","187103825.136612","5.80558073983978","0.0586202037867489",0.135053561018225,0.0675267806679986,0.272377174228028
"sp|P06681|CO2_HUMAN","1636470588.23529","1638547854.78548","1115857142.85714","889749103.942652","846046511.627907","766346083.788707","5.80459933604632","0.0576595664718269",0.144124259954685,0.0720621301362291,0.272862600397818
