"Protein","1","1","1","2","2","2","LogFC","Zstatistic","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|P01714|LV301_HUMAN","23.9405573525514","23.9134212226139","23.9042612233284","27.1410219349531","26.8504318065988","27.0813156888289","3.11164616449356","14.9065915437396",3.53594817423256e-57,2.21094993071316e-57,0.326015547666967
"sp|Q13201|MMRN1_HUMAN","16.267942297032","17.0020841080001","17.2928786461377","22.9497055965013","22.5052180457403","22.606921665008","5.82677054264533","14.7930625397281",2.57144387218802e-56,1.40218472421501e-56,0.326192037810685
"sp|P17900|SAP3_HUMAN","21.2400804186261","21.5381661860579","21.6025722906823","23.7593875939415","24.1014935707665","23.828808994899","2.44794631069651","10.7353879099847",1.16642797552735e-29,5.34227447985027e-30,0.327004250485391
"sp|P06889|LV405_HUMAN","23.9494904773214","23.8480452137619","23.1288591812655","27.1213931282042","26.7129282828488","26.8857648797111","3.25636824525576","10.2447372953608",3.26628550229518e-27,1.87531169504649e-27,0.327786646324538
"sp|P01619|KV301_HUMAN","22.4148142727787","21.9680904250034","21.833946012092","25.0442687020735","24.598325161209","24.7389234913818","2.71578283203458","10.2311654128806",3.85483485145232e-27,2.21244685838165e-27,0.327811509167258
"sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN","31.9643030979109","31.6671245932357","32.1633897479816","34.3892059503159","34.175337601286","34.6415139495567","2.49184339017646","9.55064520093759",1.33182048051232e-23,7.13991674048665e-24,0.328771897743506
"sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN","31.2478501010704","31.008384166375","31.5202832049064","33.8042434495948","33.5061620966618","33.9932772739848","2.50680150657539","9.18649801851251",3.4246555899087e-22,2.47406548569013e-22,0.329672014569269
"sp|P01834|IGKC_HUMAN","31.5572774123886","31.4678157850123","31.7005798904212","34.3436090838758","33.8515491643731","34.5527046825988","2.67171433749562","9.06281319309097",1.0367076341558e-21,7.9541016820013e-22,0.330177183107482
"sp|P01608|KV116_HUMAN","28.2714185722088","27.9202532560963","27.7770586202685","30.4234216656538","29.9949636506127","30.4032437837162","2.28457345561645","8.965633142521",2.52724007266528e-21,2.00502629670722e-21,0.330658750619846
"sp|P01599|KV107_HUMAN;sp|P01610|KV118_HUMAN","28.2669589240181","27.9202532560963","27.7770586202685","30.4234216656538","29.9949636506127","30.3930480166103","2.28746987418316","8.78652575647336",1.38355872628481e-20,1.13933811869706e-20,0.331725491473209
"sp|P01620|KV302_HUMAN;sp|P18135|KV312_HUMAN","26.4186046493561","26.7259844356743","26.3745120651729","28.7162034148817","28.4194086031472","28.7612913044102","2.13338911626227","8.77429555261017",1.55547523460912e-20,1.28336983101226e-20,0.331805724811989
"sp|P01606|KV114_HUMAN","28.2669589240181","27.9202532560963","27.7770586202685","30.4234216656538","29.9949636506127","30.3930480166103","2.29951668312086","8.69846945017894",3.24488381365511e-20,2.70242437382484e-20,0.332321186776891
"sp|P01609|KV117_HUMAN","28.27586447724","27.925922006183","27.7770586202685","30.4433212230916","30.008384166375","30.4032437837162","2.29239090865366","8.68215535925773",3.79823866282989e-20,3.16941198358635e-20,0.332436001491615
"sp|P01621|KV303_HUMAN;sp|P18135|KV312_HUMAN","23.718164931215","23.2534966642115","22.5948680301485","26.2480763884273","26.1718828986579","26.3273168975032","3.07550757882434","8.61389948590165",7.37145076875686e-20,6.19237761233237e-20,0.332930206563366
"sp|P01768|HV307_HUMAN","21.0404210882621","19.7900787805247","20.2866909540172","24.9890188415081","24.2891205739423","25.2353493175013","4.44666877913857","8.37140670030572",7.46704056515101e-19,6.4093450309129e-19,0.334873025152741
"sp|Q99784|NOE1_HUMAN","22.5943778759455","22.215146506434","22.5924080978676","24.2606921656157","24.6152650236307","24.2820658164083","1.90936393463318","8.33031932956506",1.09968879096753e-18,9.46936963574808e-19,0.335232641060905
"sp|P04746|AMYP_HUMAN","14.474259032339","14.1548487928878","15.2221385254011","18.4561658673185","19.2047784370112","18.1269672247914","3.9605528719774","8.28292498973178",1.71787440897086e-18,1.48420501461167e-18,0.335658175322782
"sp|P01772|HV311_HUMAN","23.2302474686573","22.785174037653","22.9154520418597","26.3221674748766","26.0670213535093","27.2261893182158","3.54522324598313","8.27836231594709",1.7929692159418e-18,1.54958231225639e-18,0.335699746114589
"sp|P60900|PSA6_HUMAN","20.0851663109669","20.4475656795004","20.1122388079715","18.2171404971449","18.265032315069","18.4575350983027","-1.90194969500273","-8.20739586463019",1.54925410484252e-14,5.94318490748458e-15,1.23409963815687e-14
