"Protein","1","1","1","2","2","2","LogFC","Zstatistic","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|Q13201|MMRN1_HUMAN","16.9768897057156","17.6712952072765","17.4190530964841","22.7557493534759","21.9147203201257","21.9064600016855","4.82528961388578","12.96510375858",1.58413712677447e-53,9.42783745476291e-54,0.311301842000169
"sp|P60900|PSA6_HUMAN","20.6386096695948","20.9222404812844","20.4459316455064","17.8628124893926","17.8628124893926","17.5006584096377","-2.93770478362129","-11.9015295174343",5.27302420437204e-35,2.81367205868261e-35,3.7481591386897e-35
"sp|Q13790|APOF_HUMAN","27.1448303039516","27.2836317613563","27.2836317613563","24.9823678431069","24.7421465347686","24.6441622349298","-2.43703840063679","-11.196134624538",1.38466715894776e-30,7.38295060078914e-31,1.32527980248258e-31
"sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN","31.3714543002274","31.1493356383378","31.4108537737107","33.9746323873901","33.4573345191837","33.8638274982092","2.47879061804568","10.5378329814883",2.91281898126973e-36,2.04681930884876e-36,0.312039908079333
"sp|P01876|IGHA1_HUMAN","32.1154420956769","31.4497410972385","31.7385160793178","34.864671783977","34.3900990899035","34.7572661591235","2.91531819967409","10.3440323162662",4.56449373619786e-35,3.34351632542744e-35,0.31236995875904
"sp|A0M8Q6|LAC7_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN","31.5388993425948","31.2492827368274","31.4497410972385","33.6841306756218","33.6000118117709","33.9746323873901","2.33952257623518","10.1144891371778",1.58011703702981e-33,1.10090046347142e-33,0.312760214129032
"sp|P00739|HPTR_HUMAN","25.6721934380557","26.224417007938","26.2149396339949","23.2955596118525","23.7327870749897","23.558707439383","-2.52321398983407","-9.22253309636666",9.08778499793097e-20,4.90495591229561e-20,5.50017418515165e-21
"sp|P01714|LV301_HUMAN","24.3885563425181","24.5147788838333","24.2051660403284","26.991732396268","26.475275231899","26.6268812735698","2.35421541566267","8.91155217410359",2.48701235624116e-26,1.69606872538008e-26,0.313723404061122
"sp|Q16663|CCL15_HUMAN","13.04250541886","10.912344746005","12.7290026460451","18.8112767066254","20.0214961861681","20.0362982541525","7.37463092495868","8.85298431522541",5.1852307109113e-26,3.55789708853752e-26,0.313807321387044
"sp|P35858|ALS_HUMAN","28.0236822873526","28.5580597064071","28.5030969149663","26.2054622600519","26.4029811551964","25.9311370082495","-2.1766603471866","-8.56630522612665",1.14372958755373e-16,6.17259227113024e-17,5.11014128997677e-18
"sp|P01768|HV307_HUMAN","21.5451668582686","20.3667732144169","20.6386096695948","24.7513220295929","23.9732105745748","24.5967622816053","3.58047860016278","8.11760739332504",3.84300510440766e-22,2.77130387516164e-22,0.314795671606938
"sp|P01597|KV105_HUMAN","28.3527456925878","28.329180116492","27.808634505927","30.1249273144755","29.8191644732812","30.1500957804812","1.85529703449912","7.92971561852378",2.92738957333485e-21,2.20904109062784e-21,0.315153956339589
"sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN","31.9909941718575","31.6294181182106","32.1154420956769","34.490919721172","34.2172423371904","35.1473128695672","2.69471188167099","7.72694179466575",2.78934203567215e-20,2.14091210662417e-20,0.315588604326817
"sp|P01834|IGKC_HUMAN","31.662569906434","31.5058383258739","31.7901829696395","34.3900990899035","33.8638274982092","34.9352218525201","2.76082942033423","7.28028253981219",2.38695998015685e-18,2.00989450989614e-18,0.316807109534231
"sp|P01023|A2MG_HUMAN","35.1473128695672","35.1473128695672","35.1473128695672","36.5024052671857","36.5024052671857","36.5024052671857","1.36187456311461","7.22553405590024",3.95322406973679e-18,3.37027734972772e-18,0.317013717205642
