"Protein","1","1","1","2","2","2","LogFC","Zstatistic","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|Q13201|MMRN1_HUMAN","16.8766288062996","17.7196113578171","17.5861574621598","22.6772424974695","22.137105442519","22.0312504224304","4.8912845071135","12.8559738583057",1.9179050421279e-57,1.12839742511208e-57,0.29460675060887
"sp|Q13790|APOF_HUMAN","27.1269332744196","27.1565301954654","27.3584473224019","24.9536216241544","24.7764149039305","24.8299510547369","-2.3805372501153","-11.7260226555595",1.92463683667033e-35,9.97585274928457e-36,1.33668178144767e-35
"sp|P01714|LV301_HUMAN","24.3426158615773","24.3834129007635","24.2145483441809","26.9344706735742","26.5207431691227","26.7373073305931","2.43651849093195","10.9515644367639",2.36699185708029e-42,1.22405214169056e-42,0.295120658095709
"sp|P60900|PSA6_HUMAN","20.5910527502758","21.0416899992726","20.4127706511024","17.8702539861532","17.8594244906143","17.6670283148284","-2.88674562107544","-10.6533999469592",1.38064335342566e-28,7.16661677173726e-29,1.31628885202376e-29
"sp|P00739|HPTR_HUMAN","25.613160132652","26.2487466449348","26.1585355002215","23.3360621291717","23.6981544534559","23.4985150090462","-2.49605304199455","-8.48923156394389",5.75396916083993e-17,3.13063285741323e-17,3.94256485269228e-18
"sp|P01876|IGHA1_HUMAN","32.1735369121073","31.6147425385669","32.0100516292849","34.6171015889467","34.0257655247042","34.5465770425599","2.45831654438068","8.20265672456035",7.66961122094344e-25,5.26233517944511e-25,0.295809777930842
"sp|P01768|HV307_HUMAN","21.520581959049","20.4077515675041","20.587671589098","24.7486255918205","23.9367827089522","24.795765582644","3.67352765636284","8.0550707134069",4.54256260279554e-24,3.23060989529901e-24,0.296042688611003
"sp|P35858|ALS_HUMAN","28.0133946416291","28.4214857819978","28.687962600144","26.1693200230226","26.4842026924195","26.055433046602","-2.13302939346264","-7.89330616355712",2.79647200128913e-14,1.54563057016013e-14,1.46837803454656e-15
"sp|P06889|LV405_HUMAN","24.351308412085","24.3203783907352","23.4371515190081","26.9145331879713","26.3820237257478","26.531631828783","2.60213338651112","7.65925607710178",6.62433442722741e-22,4.64798619640793e-22,0.296686597202593
"sp|P01769|HV308_HUMAN","21.8788668609021","20.6941386723713","21.0291024342987","24.2063414503309","24.4909790050786","25.0915055916742","3.36739788909391","7.2912546859466",4.01226861135876e-20,3.04026946106612e-20,0.2973547560417
