"Protein","1","1","1","2","2","2","LogFC","Zstatistic","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|RETBP_HUMAN|","688079041.304627","662253632.235679","1131726601.96684","803672592.490609","1386851431.92406","873985490.34077","-10.6883813201065","-0.104835660209134",0.00206967488851702,0.001034837828005,0.00016727885123469
"sp|Q16610|ECM1_HUMAN","212608692.537947","296204928.268055","246554723.999919","437467100.838484","329377215.081964","384008030.569894","9.95399928215735","0.0971019740407103",0.0066023445359939,0.00330117265174343,0.251186304966747
"sp|P06744|G6PI_HUMAN","123696.148136556","936770.380959014","3130340.06216615","24605.6034566172","1.01974369994416e-05","402585.7629719","9.18109943075065","0.0900100406293045",0.0135141681268621,0.00675708444717754,0.257008661753854
"sp|P24592|IBP6_HUMAN","13529644.0705966","11023535.6827032","26171177.6704832","92838040.8566738","117270525.493579","85929665.8570337","8.030373975405","0.0806591315492509",0.0319439009867526,0.0159719508771228,0.264738002674118
"sp|P35555|FBN1_HUMAN","2138289.13354856","2337662.14767069","4036569.74157632","7566399.5546815","7098378.38686536","6884558.06594577","-7.94680682726712","-0.0789435942492803",0.0291770922458798,0.0145885465066864,0.00237312382989156
"sp|P19827|ITIH1_HUMAN","3034505884.40524","2869485242.59678","3021305839.17933","1989386589.78587","2100672021.88497","1741675767.06564","7.4008020439236","0.0745274211450721",0.0533066192485882,0.0266533100080406,0.269641966019083
"sp|Q13822|ENPP2_HUMAN","20584387.0502648","11865026.956192","14146582.5245855","47012867.1715566","49457569.4472919","58965167.5355958","7.24084887467383","0.0720795463049914",0.0646497673999051,0.032324884083699,0.271510132304284
"sp|O75874|IDHC_HUMAN","636808.331109578","445493.752717378","1212430.38669095","787495.043463638","786043.864189887","1188346.10821207","7.36269103888211","0.0717852769646183",0.0661374152931911,0.033068708030342,0.271729936358807
"sp|P36955|PEDF_HUMAN","1517252942.20262","1228577259.29364","1475286463.2782","2761387355.97143","3589497823.80345","2843338149.84812","-6.97661309255339","-0.0696314130639669",0.0631441730704636,0.0315720869189783,0.00527953130736811
"sp|P02766|TTHY_HUMAN","5199248935.7007","5537012579.55625","8487949514.7513","5483184929.06155","7097416151.61137","4700426166.5386","6.94461618048591","0.0692057442056943",0.0804067676874237,0.0402033842274584,0.273604435941006
"sp|P02790|HEMO_HUMAN","54118576282.3864","45103932258.9992","53453872539.3267","31275928476.2355","31102182848.297","24341492648.1463","7.10439860101149","0.0689283950981835",0.0820779646481657,0.0410389827078294,0.273799790494373
"sp|Q15063|POSTN_HUMAN","575976276.148255","553701257.955625","629522922.344055","148461685.804916","347732601.680959","204594442.516747","6.71584239500723","0.0683434610425697",0.0856936173395619,0.0428468090535275,0.274207473292896
"sp|CAH1_HUMAN|","13916205.3297565","5159432.22391323","86799388.4901353","68688273.2990742","13664565.5792518","20249603.7978114","6.90352849502034","0.0680155307072202",0.0877754908288867,0.0438877457981898,0.274433354597288
"sp|O75636|FCN3_HUMAN","2396419.65106398","2411756.9656197","4115514.21889981","3010460.5018607","4376846.08182797","3298717.00332137","6.57619524643308","0.066984154285133",0.0945859849057915,0.0472929928366422,0.275130541140173
"sp|Q02487|DSC2_HUMAN","234930.185380949","25022.2531881036","462932.165304779","2891777.59453846","1311812.5026774","1041321.49136886","6.68082489085768","0.0662843725905707",0.0994392955914926,0.0497196481794928,0.275591465381057
"sp|O95633|FSTL3_HUMAN","1698068.6101944","1353126.52321175","100588.988673816","4393992.28428366","8992035.81850531","16743.0769383702","6.64831359505578","0.0659578002970348",0.101769999263533,0.0508850000155128,0.275803023083762
"sp|Q03591|FHR1_HUMAN","250298415.306037","127065182.296807","97308278.3655417","151430919.521014","158060273.491345","141642306.357748","6.57338236813639","0.0657196629883718",0.103496297610416,0.0517481491889545,0.275955837706072
"sp|P48637|GSHB_HUMAN","110200.078071001","380894.845285236","768463.096371021","748927.747686343","1243753.79961661","1368728.60413407","6.58498090634947","0.0655296217761474",0.10489024777942,0.0524451242734563,0.276076861620478
"sp|Q10588|BST1_HUMAN","1682783.37883727","1296556.35849195","1368022.27585391","3524778.25395557","5987803.22357403","7884599.33760904","6.52086137464937","0.0651470377640024",0.107740767135272,0.0538703839513823,0.276318037003514
"sp|P01009|A1AT_HUMAN","88425888032.8278","62017906856.1239","54262248683.5887","2177438058.47209","8810585567.51756","12905187912.5948","6.68814238481649","0.0649710098201825",0.10907231761602,0.0545361591917564,0.276427868076026
"sp|P49913|CAMP_HUMAN","1487490.81193896","1086631.72257947","901605.538084069","825530.27324467","1339942.89336916","4209618.17398936","-6.46223256269368","-0.0634386578035705",0.100106342324836,0.0500531715461644,0.0085905809813502
"sp|Q9UEW3|MARCO_HUMAN","579869.093181749","238272.884309935","2343313.69874786","3660021.21213876","2054977.71356821","1683690.32152668","6.44172032030263","0.0630096305068936",0.124783198978256,0.0623915998728745,0.277599773047402
"sp|P80108|PHLD_HUMAN","58853951.7070952","44094142.7308127","54363295.7016214","32562596.4198781","44562799.6875599","56866762.9969625","-6.14826193857475","-0.0625472583736282",0.106602163403678,0.0533010820855853,0.00918710624327001
"sp|P54108|CRIS3_HUMAN","11693478.0895871","3002294.19776948","6739585.99423704","30187209.4469995","19681053.4089223","15213432.9050914","6.0186215385845","0.0620455316819396",0.13311024404964,0.0665551224085663,0.278138239020362
"sp|O43240|KLK10_HUMAN","191439.516871149","1080195.80966727","253633.306892452","2076.10638699603","1.01974369994416e-05","49716.1873988746","6.01276215753571","0.062023481211548",0.133305471871837,0.0666527363196651,0.278150243304758
"sp|Q9UJJ9|GNPTG_HUMAN","5381463.62300796","6245619.84526566","5919746.63972626","11382062.5783769","13664565.5792518","13639629.5011165","-6.27780575576112","-0.0619987876243679",0.110758816002484,0.0553794083849884,0.00957105486635477
"sp|P09486|SPRC_HUMAN","160422922.55136","103503426.639121","84475307.075382","65818014.0401792","120329756.593411","128002676.856631","6.03813422134619","0.0614560766096495",0.138403409533713,0.0692017051506028,0.278454237460548
"sp|P02042|HBD_HUMAN","13626284.3853866","9340553.13572558","638617153.967003","166277088.101505","15704052.9791401","11121544.0547565","6.17790629737773","0.0609672123318897",0.142911327207469,0.0714556639874812,0.278708317416931
"sp|P20742|PZP_HUMAN","126598812.374868","144736499.040072","303141054.098261","48200560.6579959","52720749.2871132","36512238.9722195","5.90784283981091","0.0609415525183037",0.14315092071708,0.0715754607422864,0.278721450809502
"sp|Q92626|PXDN_HUMAN","2289438.35195315","1068042.04938383","1472640.04995969","420793.840815946","1006590.72030207","748080.552618693","-6.02146408793569","-0.0607977698308688",0.120297122881528,0.0601485618245107,0.0104585943132007
"sp|Q02818|NUCB1_HUMAN","2946876.24588446","3564189.1976256","3077632.31777657","2832467.72313176","6824588.99472675","7816742.19867742","5.88334471920406","0.06048143519586",0.147497942257728,0.0737489715126104,0.278953373966467
"sp|A0M8Q6|LAC7_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN","2966857664.05226","1952259754.494","3182981068.03174","14351296294.4752","12848770619.2964","18885640847.6997","5.68095839154274","0.0602554486477469",0.149668359399233,0.0748341800833629,0.279064800488393
"sp|P02745|C1QA_HUMAN","57404346.9852456","34080396.576296","42742888.6278548","175184789.2498","146843092.791959","29797344.4485929","6.37591774365007","0.0602233047619015",0.149978977120815,0.0749894889441538,0.27908051480089
"sp|P19971|TYPH_HUMAN","391340.768670131","1256204.28622127","1443097.22734427","194158.852855298","319026.637562512","431819.730392966","5.88630477929865","0.0600701362632736",0.151465620741434,0.0757328107544635,0.279154923206549
"sp|P06310|KV206_HUMAN","383.620467128275","1289.73041269151","2491.59782815835","110769.268506678","135330.44614831","8190.50249022011","5.93804246265228","0.0596227193913764",0.155870200700398,0.0779351007339454,0.279367757432712
"sp|CAH2_HUMAN|","729026.622636658","1000583.1196992","7868317.83238493","2044013.87174012","1765725.82533811","1831457.54233239","-5.78689802634622","-0.0594211250815205",0.13198792811843,0.0659939644429614,0.0115585870681917
"sp|P01871|IGHM_HUMAN","1285316186.70668","1035034266.39121","1414658252.45855","4641902042.83369","7199390521.60579","12065826097.1415","-5.97741827129707","-0.0591795213956386",0.13412514952237,0.0670625751449313,0.0117610916299754
"sp|P01596|KV104_HUMAN","56045.5464889038","8.41491273488791e-06","39119.7957772855","9.8974457203277e-06","2100.99002079985","1446102.3370979","5.60368218101412","0.0585361715289027",0.166954785448506,0.0834773931079995,0.279855790533756
"sp|P01700|LV102_HUMAN;sp|P04208|LV106_HUMAN","22903754.6052243","16156632.4509848","29000494.1754003","148461685.804916","127467962.49302","271743387.753013","5.86489405370874","0.0584728402381947",0.167617968872219,0.083808984819856,0.279882930607726
"sp|P02654|APOC1_HUMAN","1092035557.12673","700120739.542675","456732521.508046","370164469.940256","399739530.378112","549781989.121925","5.54880363700867","0.0581646005318729",0.170872832048969,0.0854364164082311,0.280012933641925
"sp|P00742|FA10_HUMAN","37013240.5645607","28526554.17127","19097886.4081904","35135932.3071633","97793420.8246452","94323284.0115669","5.69399252757283","0.0573958524178956",0.179187195804472,0.0895935982859823,0.280321536708541
"sp|P04211|LV001_HUMAN","32374505.4546419","24571545.1858727","34760174.2032672","71756481.4723758","310002084.783025","136396295.011165","-5.62123902255322","-0.0566357691848665",0.15822390491386,0.0791119528406767,0.0140752540541373
"sp|Q6UX71|PXDC2_HUMAN","7561844.42246961","3674796.28995462","3293567.849147","7927043.29152146","10911257.5894025","7857403.3926114","-5.70195747179485","-0.0560543244821966",0.164150760432195,0.082075380599844,0.0146528910851568
"sp|P10645|CMGA_HUMAN","1530178.06728009","242332.683362128","685963.904693859","31968749.6766585","7954919.59867067","9271538.90671115","5.46646282486909","0.0547726871901652",0.20969992916211,0.104849964964802,0.281194221730819
"sp|P00740|FA9_HUMAN","52475690.9309568","75145170.7225491","38701007.9065446","34641060.021147","67914930.4162812","42702532.3611877","5.71565732774712","0.0546201232658326",0.211577442804097,0.105788721785795,0.281235819214796
"sp|P83593|KV405_HUMAN;sp|P06312|KV401_HUMAN","2038438.14047952","2431219.12473691","2123103.15400753","25139512.1296324","13052719.3592853","54138837.0967392","-5.49492946876968","-0.0530782653286286",0.197001057668473,0.0985005292179831,0.0179152367467701
"sp|Q9UBR2|CATZ_HUMAN","3239881.01942266","1694549.38897654","2121523.40210559","8448082.0971329","13358642.4692685","18151199.2591781","5.3499103509477","0.0523283257653155",0.24115006247631,0.120575031621901,0.281727894463309
"sp|P05109|S10A8_HUMAN","321812248.250619","92564040.0837671","285963061.032693","33354392.0775044","26717284.9385371","227676892.441713","5.26341398885394","0.0521608513962435",0.243411666751338,0.121705833759416,0.281753648069608
"sp|P13591|NCAM1_HUMAN","3563928.1387354","4739861.04223389","4880053.75777832","4896440.94227063","14072463.0592294","11646145.1894148","5.12161457303588","0.0517996953755503",0.248335256056675,0.124167628412084,0.281804271831702
"sp|P32119|PRDX2_HUMAN","644036.17680094","3299134.22642935","26171177.6704832","6327027.46004002","1751059.09847979","2723998.61547098","-5.02077743663096","-0.0517919601013474",0.212523405428877,0.106261703098185,0.01949245765899
"sp|P05090|APOD_HUMAN","1981126453.1945","1093938655.53543","2031045062.45835","2098258492.70947","1641787356.9101","2192832742.8718","5.15363637092666","0.0512779544166196",0.25555995964019,0.127779980203842,0.281865232217679
"sp|P01714|LV301_HUMAN","15559090.6811861","13295562.1211229","15864381.8311423","146482196.66085","123388987.693244","148986722.242964","5.23632656383273","0.0512527657954199",0.255912092715633,0.127956046741563,0.281867808498793
"sp|P02647|APOA1_HUMAN","55278260059.8661","50321178154.6297","58405176422.9316","42262093225.7993","53536544247.0685","36092558064.4928","-5.24223698726156","-0.0510736932229637",0.221542334922004,0.110771167844749,0.0204194396692085
"sp|P29622|KAIN_HUMAN","370132405.645607","413172215.282997","501193209.442458","302861839.042028","353851063.880624","296924242.216612","-5.06033550037594","-0.0508947557524004",0.223828408926039,0.111914204846766,0.0206556296491237
"sp|ANT3_HUMAN|","137229247.001766","18765255.3988","9421566.74248951","87394445.7104936","140724630.592294","95582326.7347469","4.90898474835775","0.0504973797599658",0.26661462225846,0.133307311512976,0.281928945706568
"sp|P01621|KV303_HUMAN;sp|P18135|KV312_HUMAN","13336363.4410167","8414912.73488791","6401128.22422194","78882642.3910118","77092623.7157787","88342831.076462","4.85991947294316","0.0504519598960783",0.267266900520851,0.133633450644172,0.281931619084718
"sp|P54289|CA2D1_HUMAN","167099.736764627","109638.897546189","260550.802649777","828063.487757264","1352571.78889136","634370.064693437","-5.0764583529532","-0.0499672115515549",0.235929410942966,0.11796470585523,0.0219142930626023
"sp|Q9NR99|MXRA5_HUMAN","24449999.6418639","16577378.0877292","17582181.1376991","19893865.8978587","25799515.6085873","36092558.0644928","4.9751868317487","0.04983658915932",0.276201646294228,0.138100823530861,0.281956311483458
"sp|P07195|LDHB_HUMAN;sp|P07864|LDHC_HUMAN;sp|Q9BYZ2|LDH6B_HUMAN","62139722.4099544","55959169.6870046","98217701.5278365","59978521.0651859","84128855.2453934","118559856.432782","-5.18472143778509","-0.049817877415499",0.237916945412232,0.118958473089863,0.0221223812389971
"sp|Q15582|BGH3_HUMAN","201978257.911049","191018519.081956","186936983.360594","124707816.076129","210067202.188497","169970767.629297","4.85616181143951","0.0492470964661595",0.28492974877544,0.142464874771466,0.281959529757626
"sp|P04080|CYTB_HUMAN","1245588.25398425","811509.747919201","4572869.97618474","3497309.59373997","5340793.17752339","4840332.20157017","-4.97490913894442","-0.0485805023909478",0.254803413419831,0.127401707093662,0.0239057446534347
"sp|P08107|HSP71_HUMAN;sp|P17066|HSP76_HUMAN","3459782.42495062","1891258.45156239","1789406.51839857","722511.886393053","425582.519394192","523605.534349304","4.83198963207608","0.0485234126116392",0.295868654570425,0.147934327668959,0.281935361188648
"sp|O00187|MASP2_HUMAN","8882243.24877704","5940032.21777145","13136112.344258","4766651.25596629","10911257.5894025","16577395.8552031","4.96412075426854","0.0483182253170226",0.299014683911355,0.149507342339424,0.281922754969318
"Int_P01008ups|ANT3_HUMAN_UPS","3517707458.35512","3517433523.18315","3233504577.04811","1791437675.37931","3151008032.82746","2150864652.09913","4.97429812612155","0.0482777147533479",0.29963812028572,0.149819060526607,0.281919961682543
"sp|Q76M96|CCD80_HUMAN","1778057.69920654","1738388.02382154","1312675.43293944","467414.289506758","66698.2695782414","555021.197755755","4.61870664576777","0.0479631628052423",0.304504716585261,0.152252358676377,0.281894785009775
"sp|P05451|REG1A_HUMAN","10050592.7381575","3390380.1478504","7956572.57379309","17023606.6389636","37016696.3079731","43646814.4035727","4.82859915171339","0.0479340165824258",0.304957961004718,0.152478980886106,0.281892141953483
"sp|Q99784|NOE1_HUMAN","6119892.73122527","4097085.93359621","6390222.99156488","19893865.8978587","26207413.088565","21403726.2940597","4.49803125840744","0.0476397570802692",0.309555724052175,0.154777862409834,0.281862490127635
"sp|Q92954|PRG4_HUMAN","135296440.705966","95088513.9042334","154601937.590113","373133703.656354","246777975.386487","311613073.987045","-4.61357697918366","-0.0472511490663486",0.273770656183163,0.136885328475328,0.0259421598248141
"sp|Q13421|MSLN_HUMAN","12080039.348747","14473649.9040072","23847096.2557298","20982584.9270947","17539591.6390396","8272619.82297466","-4.38191153767123","-0.0470157173085947",0.277218104954359,0.138609052860926,0.0263161210945319
"sp|P07737|PROF1_HUMAN","8467815.78383953","4891215.99552215","29303635.2294985","25535409.9584455","17029719.7890675","53509315.7351492","4.6424493847688","0.0470153872429213",0.319441899473754,0.159720950120624,0.281781341873914
"sp|P43652|AFAM_HUMAN","1671877445.86658","1582003594.15893","1990626255.24525","2543643550.12422","2406595131.86822","2371197128.65563","-4.6057800775696","-0.046621258931136",0.283053237893335,0.141526619330414,0.02695178376993
"sp|P02649|APOE_HUMAN","4329486102.59091","2011164143.63821","2708060083.2778","5225851340.33303","6118462199.66497","5067646960.79943","-4.69766936196109","-0.0464282917602358",0.285934579237275,0.142967290002384,0.0272669191260553
"sp|P06889|LV405_HUMAN","15655730.9959761","12706518.2296808","9268381.05363192","144502707.516784","112171806.993858","130101081.395265","4.44409449638503","0.0461263025173695",0.333820694863576,0.166910347815535,0.281622060019415
"sp|P09871|C1S_HUMAN","528622521.901167","536029941.21236","820501786.425959","1385642400.84588","1346061683.92629","1384946995.49798","-4.64926942047509","-0.0458518699380891",0.294645825186616,0.147322912977054,0.028224789714159
"sp|Q99715|COCA1_HUMAN","31891303.880692","9172254.88102783","18895792.3721249","5399951.70010657","13460616.8392629","9964063.00223958","4.54840728556748","0.0458289713028389",0.338706842306941,0.169353421537217,0.281557029227971
"sp|P02652|APOA2_HUMAN","9480414880.89662","7287314428.41293","7608840457.86635","6383852489.61137","5853328837.67949","4333205372.27777","-4.55524355825481","-0.0457322673247797",0.296472795446453,0.148236398106973,0.0284266510810794
"sp|P13598|ICAM2_HUMAN","8711385.89555243","3670909.96432846","6037697.29705545","20388738.1838751","10707308.8494137","13115028.3664581","-4.5276875345791","-0.0456850595988707",0.297195741387447,0.14859787107747,0.0285066251628592
"sp|P35542|SAA4_HUMAN","485134380.245678","571372574.698889","114183130.377012","225661762.423472","277370286.384812","305317860.371145","4.47597779159591","0.0455213049765002",0.343803071869843,0.171901536318668,0.281483454532804
"sp|Q9Y5Y7|LYVE1_HUMAN","26576086.5672433","27096019.0063391","34254939.1131035","115800114.927834","89635471.2250919","114363047.355515","-4.53572638114396","-0.0452702586599855",0.30359246636545,0.151796233566472,0.0292165666759379
"sp|P24043|LAMA2_HUMAN","16332213.1995059","13379711.2484718","26373271.7065487","46419020.4283369","48845723.2273254","49627267.3386776","-4.20294629844242","-0.045125220856841",0.305847852789589,0.152923926778541,0.0294678661460199
"sp|P01024|CO3_HUMAN","97606717937.8755","74640275958.4558","89830799031.118","85810854395.2412","81783444735.5218","84985383814.6487","-4.53380677801093","-0.0449046531034601",0.309296247002221,0.154648123884857,0.0298531247557818
"sp|P27169|PON1_HUMAN","719970345.185319","594934330.356575","532517785.032611","406785019.105469","371186706.779675","332597119.373378","4.48545669608858","0.044816683831888",0.35562628908666,0.177813144927076,0.281290338685576
"sp|Q9BUN1|MENT_HUMAN","2262897.232751","1338375.32424101","2592512.87272273","1456205.98277537","2922143.58909478","3440883.89087894","-4.64047029095935","-0.0447705562128795",0.311403603196253,0.155701801981873,0.0300891825247299
"sp|Q12860|CNTN1_HUMAN","4950591.66428762","3033706.13463648","1865228.45693833","6966527.3553792","5491110.09759152","8159465.33912274","-4.4340264517864","-0.0440238994315647",0.323286238227645,0.161643119497569,0.0314287339563551
"sp|P00738|HPT_HUMAN","17105335717.8257","25413036459.3615","16268569903.2733","2533746104.40389","7852026489.57005","2990226467.55246","-4.38412127544928","-0.0438484273346051",0.326115040856678,0.163057520812085,0.0317497880629655
