"Protein","1","1","1","2","2","2","LogFC","Zstatistic","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|Q13201|MMRN1_HUMAN","18.4569433928208","18.7721287939711","18.7400407774193","22.7813751240488","22.1974387346502","22.2357179047916","3.74566233986494","12.6999547172939",5.71640771906228e-59,3.16890852859861e-59,0.224358489134974
"sp|Q13790|APOF_HUMAN","27.1836033013753","27.1741543508329","27.3037149563663","24.9852014090959","24.7521698103365","24.8511831235498","-2.36335812378122","-12.3635314798131",1.4576509288353e-96,2.34752743079865e-60,7.59105095581923e-97
"sp|P01714|LV301_HUMAN","24.3373872646201","24.3146308518917","24.1844179531108","26.9278477055082","26.4726407459692","26.6584272090884","2.37638768859667","11.2152150578946",7.0892825720982e-44,3.63298518565363e-44,0.224749818497079
"sp|P00739|HPTR_HUMAN","25.6326441825502","26.235072109924","26.1096383717704","23.4129797649399","23.6967262277588","23.5974233736452","-2.43085880655254","-9.19046855517568",1.91363093316018e-57,9.91998560044219e-58,9.77359446800043e-59
"sp|P60900|PSA6_HUMAN","20.7002839591542","21.0291167488465","20.6130925099031","18.9198999634393","18.8774706966916","18.7803057050313","-1.92073073431885","-8.23685044447333",6.51776381396585e-48,4.36903396292353e-48,3.11939065733872e-49
"sp|P35858|ALS_HUMAN","28.0934593737505","28.4845247660487","28.6285348149657","26.1763506020979","26.4365149236477","26.011524664267","-2.1820917409275","-8.07550887269852",2.38599045817272e-46,1.60821093089934e-46,1.01192489696472e-47
"sp|P01768|HV307_HUMAN","21.546104179421","20.475436307372","20.7621972307799","24.7849007297685","23.9294131152487","24.8188781105642","3.56490912655214","7.96516081485395",5.91308913789026e-19,4.55202308183599e-19,0.225438083900042
"sp|P17900|SAP3_HUMAN","21.7300297433078","22.0172900631923","21.9538642556976","23.5708538021701","23.744788114275","23.426909845653","1.67638213668429","7.86919467825968",2.07517768943832e-18,1.63583335331024e-18,0.225597750336293
"sp|P01769|HV308_HUMAN","21.8867716271911","20.7206219380345","21.1492005978229","24.2562196909397","24.4718837685826","25.0984881698275","3.36937426007664","7.80462031972346",4.8843586980837e-18,3.88980762894798e-18,0.225713514720278
"sp|P01772|HV311_HUMAN","23.6381593389171","23.2088748185114","23.2137590197387","26.1110068582774","25.6919047763276","26.8030640221969","2.86763369473602","7.4283852668454",6.27348773129428e-16,5.21388038127852e-16,0.22648080656332
"sp|P0C0L5|CO4B_HUMAN","31.4142221873073","31.6962761793292","31.7630067884975","29.9921942344987","30.0719676317387","30.0378191430356","-1.57835588299954","-7.36480489395578",1.26854121904746e-39,7.79724566294359e-40,2.99275776232189e-41
"sp|P06889|LV405_HUMAN","24.3462124403404","24.2501406157506","23.4221583536926","26.9082550275722","26.3355083580589","26.4632361339695","2.57844611029214","7.21362606633046",7.80742169171962e-15,6.72826066576352e-15,0.227047928756597
