"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1","QPROTmodel","None",1e-06,0,0,0,0,101
"2","QPROTmodel","None",2e-06,0,5,0,5,107
"3","QPROTmodel","None",3e-06,0,3,0,3,112
"4","QPROTmodel","None",4e-06,0,3,0,3,115
"5","QPROTmodel","None",5e-06,0,3,0,3,115
"6","QPROTmodel","None",6e-06,0,4,0,4,119
"7","QPROTmodel","None",7e-06,0,4,0,4,119
"8","QPROTmodel","None",8e-06,0,5,0,5,123
"9","QPROTmodel","None",9e-06,0,5,0,5,124
"10","QPROTmodel","None",1e-05,0,5,0,5,127
"11","QPROTmodel","None",2e-05,0,5,0,5,132
"12","QPROTmodel","None",3e-05,0,5,0,5,135
"13","QPROTmodel","None",4e-05,0,0,0,0,137
"14","QPROTmodel","None",5e-05,0,0,0,0,139
"15","QPROTmodel","None",6e-05,0,0,0,0,139
"16","QPROTmodel","None",7e-05,0,0,0,0,141
"17","QPROTmodel","None",8e-05,0,0,0,0,141
"18","QPROTmodel","None",9e-05,0,0,0,0,142
"19","QPROTmodel","None",1e-04,0,0,0,0,143
"20","QPROTmodel","None",2e-04,0,6,0,6,153
"21","QPROTmodel","None",3e-04,0,6,0,6,157
"22","QPROTmodel","None",4e-04,0,5,0,5,161
"23","QPROTmodel","None",5e-04,0,0,0,0,166
"24","QPROTmodel","None",6e-04,0,0,0,0,169
"25","QPROTmodel","None",7e-04,0,0,0,0,170
"26","QPROTmodel","None",8e-04,0,0,0,0,173
"27","QPROTmodel","None",9e-04,0,0,0,0,173
"28","QPROTmodel","None",0.001,0,0,0,0,176
"29","QPROTmodel","None",0.002,0,0,0,0,181
"30","QPROTmodel","None",0.003,0,5,5,10,188
"31","QPROTmodel","None",0.004,0,5,4,9,193
"32","QPROTmodel","None",0.005,0,4,4,8,201
"33","QPROTmodel","None",0.006,0,0,4,4,205
"34","QPROTmodel","None",0.007,0,0,3,3,208
"35","QPROTmodel","None",0.008,0,0,3,3,209
"36","QPROTmodel","None",0.009,0,3,4,7,212
"37","QPROTmodel","None",0.01,0,3,4,7,216
"38","QPROTmodel","None",0.02,0,0,2,2,238
"39","QPROTmodel","None",0.03,0,0,3,3,249
"40","QPROTmodel","None",0.04,0,1,3,4,263
"41","QPROTmodel","None",0.05,0,0,3,3,267
"42","QPROTmodel","None",0.06,0,0,3,3,269
"43","QPROTmodel","None",0.07,0,0,2,2,275
"44","QPROTmodel","None",0.08,0,0,2,2,279
"45","QPROTmodel","None",0.09,0,0,2,2,281
"46","QPROTmodel","None",0.1,0,0,2,2,284
