"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1","QPROTmodel","Quantile",1e-06,0,0,0,0,75
"2","QPROTmodel","Quantile",2e-06,0,0,0,0,86
"3","QPROTmodel","Quantile",3e-06,0,0,0,0,90
"4","QPROTmodel","Quantile",4e-06,0,0,0,0,93
"5","QPROTmodel","Quantile",5e-06,0,0,0,0,98
"6","QPROTmodel","Quantile",6e-06,0,0,0,0,98
"7","QPROTmodel","Quantile",7e-06,0,0,0,0,98
"8","QPROTmodel","Quantile",8e-06,0,0,0,0,100
"9","QPROTmodel","Quantile",9e-06,0,0,0,0,100
"10","QPROTmodel","Quantile",1e-05,0,0,0,0,100
"11","QPROTmodel","Quantile",2e-05,0,0,0,0,103
"12","QPROTmodel","Quantile",3e-05,0,0,0,0,105
"13","QPROTmodel","Quantile",4e-05,0,0,0,0,111
"14","QPROTmodel","Quantile",5e-05,0,0,0,0,112
"15","QPROTmodel","Quantile",6e-05,0,0,0,0,113
"16","QPROTmodel","Quantile",7e-05,0,0,0,0,116
"17","QPROTmodel","Quantile",8e-05,0,0,0,0,117
"18","QPROTmodel","Quantile",9e-05,0,0,0,0,118
"19","QPROTmodel","Quantile",1e-04,0,0,0,0,118
"20","QPROTmodel","Quantile",2e-04,0,0,0,0,124
"21","QPROTmodel","Quantile",3e-04,0,0,0,0,131
"22","QPROTmodel","Quantile",4e-04,0,0,0,0,137
"23","QPROTmodel","Quantile",5e-04,0,0,0,0,141
"24","QPROTmodel","Quantile",6e-04,0,0,0,0,142
"25","QPROTmodel","Quantile",7e-04,0,0,0,0,143
"26","QPROTmodel","Quantile",8e-04,0,0,0,0,146
"27","QPROTmodel","Quantile",9e-04,0,0,0,0,147
"28","QPROTmodel","Quantile",0.001,0,0,0,0,150
"29","QPROTmodel","Quantile",0.002,0,1,0,1,165
"30","QPROTmodel","Quantile",0.003,0,1,0,1,174
"31","QPROTmodel","Quantile",0.004,0,0,0,0,178
"32","QPROTmodel","Quantile",0.005,0,0,0,0,180
"33","QPROTmodel","Quantile",0.006,0,0,0,0,183
"34","QPROTmodel","Quantile",0.007,0,0,0,0,188
"35","QPROTmodel","Quantile",0.008,0,0,0,0,194
"36","QPROTmodel","Quantile",0.009,0,0,0,0,197
"37","QPROTmodel","Quantile",0.01,0,0,0,0,197
"38","QPROTmodel","Quantile",0.02,0,1,0,1,223
"39","QPROTmodel","Quantile",0.03,0,1,0,1,237
"40","QPROTmodel","Quantile",0.04,0,1,0,1,245
"41","QPROTmodel","Quantile",0.05,0,0,0,0,252
"42","QPROTmodel","Quantile",0.06,0,1,0,1,265
"43","QPROTmodel","Quantile",0.07,0,1,0,1,271
"44","QPROTmodel","Quantile",0.08,0,0,0,0,278
"45","QPROTmodel","Quantile",0.09,0,0,0,0,282
"46","QPROTmodel","Quantile",0.1,0,0,0,0,289
