"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"277","QM","VSN-G",1e-06,53,5,10,68,184
"1106","BT","VSN-G",1e-06,53,5,10,68,184
"289","QM","VSN-G",4e-05,43,3,12,58,239
"1316","BT","VSN-G",4e-05,43,3,12,58,239
"288","QM","VSN-G",3e-05,42,3,12,57,234
"1216","BT","VSN-G",3e-05,42,3,12,57,234
"282","QM","VSN-G",6e-06,42,3,10,55,210
"283","QM","VSN-G",7e-06,42,3,10,55,210
"616","BT","VSN-G",6e-06,42,3,10,55,210
"716","BT","VSN-G",7e-06,42,3,10,55,210
"287","QM","VSN-G",2e-05,41,2,11,54,228
"1116","BT","VSN-G",2e-05,41,2,11,54,228
"279","QM","VSN-G",3e-06,39,4,9,52,200
"293","QM","VSN-G",8e-05,39,2,11,52,249
"380","BT","VSN-G",3e-06,39,4,9,52,200
"1716","BT","VSN-G",8e-05,39,2,11,52,249
"280","QM","VSN-G",4e-06,38,3,10,51,205
"281","QM","VSN-G",5e-06,38,3,10,51,208
"284","QM","VSN-G",8e-06,39,2,10,51,214
"427","BT","VSN-G",4e-06,38,3,10,51,205
"516","BT","VSN-G",5e-06,38,3,10,51,208
"816","BT","VSN-G",8e-06,39,2,10,51,214
"294","QM","VSN-G",9e-05,35,3,12,50,251
"295","QM","VSN-G",1e-04,35,3,12,50,251
"1816","BT","VSN-G",9e-05,35,3,12,50,251
"1916","BT","VSN-G",1e-04,35,3,12,50,251
"292","QM","VSN-G",7e-05,35,3,11,49,248
"1616","BT","VSN-G",7e-05,35,3,11,49,248
"290","QM","VSN-G",5e-05,32,3,12,47,242
"1416","BT","VSN-G",5e-05,32,3,12,47,242
"285","QM","VSN-G",9e-06,35,2,8,45,217
"286","QM","VSN-G",1e-05,35,2,8,45,218
"916","BT","VSN-G",9e-06,35,2,8,45,217
"1016","BT","VSN-G",1e-05,35,2,8,45,218
"291","QM","VSN-G",6e-05,28,3,12,43,243
"1516","BT","VSN-G",6e-05,28,3,12,43,243
"278","QM","VSN-G",2e-06,22,4,8,34,189
"2106","BT","VSN-G",2e-06,22,4,8,34,189
"297","QM","VSN-G",3e-04,1,0,13,14,272
"2116","BT","VSN-G",3e-04,1,0,13,14,272
"296","QM","VSN-G",2e-04,1,0,12,13,261
"298","QM","VSN-G",4e-04,0,0,13,13,275
"2016","BT","VSN-G",2e-04,1,0,12,13,261
"2216","BT","VSN-G",4e-04,0,0,13,13,275
"306","QM","VSN-G",0.003,0,1,10,11,310
"3016","BT","VSN-G",0.003,0,1,10,11,310
"30","QM","None",0.003,0,5,5,10,188
"300","QM","VSN-G",6e-04,2,1,7,10,283
"301","QM","VSN-G",7e-04,2,0,8,10,286
"3010","BT","None",0.003,0,5,5,10,188
"2416","BT","VSN-G",6e-04,2,1,7,10,283
"2516","BT","VSN-G",7e-04,2,0,8,10,286
"31","QM","None",0.004,0,5,4,9,193
"305","QM","VSN-G",0.002,1,0,8,9,300
"307","QM","VSN-G",0.004,0,0,9,9,314
"3110","BT","None",0.004,0,5,4,9,193
"2916","BT","VSN-G",0.002,1,0,8,9,300
"3116","BT","VSN-G",0.004,0,0,9,9,314
"32","QM","None",0.005,0,4,4,8,201
"299","QM","VSN-G",5e-04,0,1,7,8,281
"303","QM","VSN-G",9e-04,0,0,8,8,290
"304","QM","VSN-G",0.001,0,0,8,8,290
"308","QM","VSN-G",0.005,0,0,8,8,320
"310","QM","VSN-G",0.007,0,0,8,8,326
"311","QM","VSN-G",0.008,0,0,8,8,328
"312","QM","VSN-G",0.009,0,0,8,8,329
"313","QM","VSN-G",0.01,0,0,8,8,330
