"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"0",1,1,1,2,2,2,"LogFC","Zstatistic"
"sp|P04114|APOB_HUMAN;sp|Q9ULK0|GRID1_HUMAN;sp|O75964|ATP5L_HUMAN;sp|Q7Z4Y8|AT5L2_HUMAN",34.3367991364503,33.9315285460235,34.4854581760102,34.1916463914053,34.0709558507603,34.6694117901744,"0.0804659343998088","0.268664221677562"
"sp|P01024|CO3_HUMAN",36.4746711164792,36.0790757463857,36.3298490205476,36.358857672124,36.2169514692614,36.5457566870701,"0.079076371452059","0.339382539303321"
"sp|P0C0L5|CO4B_HUMAN",31.2045609192831,31.466319148289,31.7223626273418,30.0869032638355,30.2346941299544,30.3777021147214,"-1.21048185227467","-5.11370893600609"
"sp|ALBU_HUMAN|;sp|Q8WY91|THAP4_HUMAN;sp|O75683|SURF6_HUMAN;sp|Q96JG6|CC132_HUMAN",37.7148451672817,38.1101391640971,37.8230172650639,37.82210584345,37.266731609953,37.941443325006,"-0.24647236102081","-0.758863203916094"
"sp|P0C0L4|CO4A_HUMAN",29.9258147826405,28.7175639638988,29.2670461915467,28.0430016680699,28.0229961145248,28.0280360441619,"-1.3063349031202","-3.2048869501859"
"sp|P01023|A2MG_HUMAN",35.3927525002807,35.055619352695,35.5418605839888,36.5242611641636,36.620594470779,36.8548600454131,"1.32412536061334","5.55414491489148"
"sp|P02751|FINC_HUMAN",32.7391798465831,32.6920371064061,32.617069022685,33.1234714692868,32.8426976916959,32.625878554345,"0.169197477444865","0.759595940534917"
"sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN",33.33930477474,33.2901430799838,33.3308128232757,33.6379996251453,33.5603365994681,33.622674405466,"0.288937393561867","1.62515707677248"
"sp|P98160|PGBM_HUMAN",28.5571823089789,28.1718008752228,27.2415342790278,27.8152081727167,28.1852189713519,27.9091499376405,"-0.0361320721319191","-0.0813147890752609"
"sp|P12111|CO6A3_HUMAN",28.651307357899,28.6970116118483,28.9215832482998,28.1365545606907,28.4324674960132,28.2329090549394,"-0.4759382730782","-2.08086207217107"
"sp|P01031|CO5_HUMAN",29.6892677402796,29.8211882112196,30.0370073120546,29.7073701878556,29.376014373039,29.2858926592043,"-0.395363274495858","-1.58566240510833"
"sp|Q9Y6R7|FCGBP_HUMAN",28.808457007372,28.9218124060364,28.8647970178679,29.7482193178354,29.6695790563463,29.0959830114567,"0.666236877869751","2.30262457687562"
"sp|P00450|CERU_HUMAN",34.3714636750554,34.1023710549099,33.9020911188486,34.2539396791907,34.2866871134706,34.5691847764248,"0.25094793748866","0.991520939234854"
"sp|P02671|FIBA_HUMAN",33.2454844971655,33.7239931900689,33.0611499250183,33.6578505144329,33.3559851009793,33.5606957396739,"0.172160228199767","0.614966412611417"
"sp|P04275|VWF_HUMAN",27.913078560897,28.2093083334903,28.2215861960576,27.7963351179407,27.5754139740011,27.6113199568526,"-0.45797572087306","-2.04662571424513"
