"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"0",1,1,1,2,2,2,"LogFC","Zstatistic"
"sp|P04114|APOB_HUMAN;sp|Q9ULK0|GRID1_HUMAN;sp|O75964|ATP5L_HUMAN;sp|Q7Z4Y8|AT5L2_HUMAN",30071895424.8366,25143234323.4323,2.9425e+10,15417204301.0753,15842635658.9147,19022222222.2222,"1.42354237767475","0.0144373386212487"
"sp|P01024|CO3_HUMAN",141267973856.209,125292409240.924,113241666666.667,66501075268.8172,66522480620.155,63147540983.6066,"-3.67841404953907","-0.0357506775675525"
"sp|P0C0L5|CO4B_HUMAN",3077124183.00654,3771485148.51485,3872380952.38095,951111111.111111,1219302325.5814,1153806921.67577,"3.74337709959449","0.0369132798591802"
"sp|ALBU_HUMAN|;sp|Q8WY91|THAP4_HUMAN;sp|O75683|SURF6_HUMAN;sp|Q96JG6|CC132_HUMAN",349673202614.379,556541254125.413,335011904761.905,177949820788.53,132713178294.574,155140255009.107,"0.73245121943169","0.00749562113155507"
"sp|P0C0L4|CO4A_HUMAN",1179098039.21569,498627062.706271,659833333.333333,240078853.046595,275379844.96124,254928961.748634,"0.68853721564814","0.00656794078106637"
"sp|P01023|A2MG_HUMAN",66018300653.5948,60456765676.5676,64836904761.9048,75091756272.4014,88751937984.4961,79519125683.0601,"-0.779948220776041","-0.00752205262202929"
"sp|P02751|FINC_HUMAN",9483137254.90196,9788910891.08911,7668333333.33333,7555197132.61649,7042093023.25581,4973843351.54827,"-4.21754720960804","-0.0422407323636572"
"sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN",14686274509.8039,15396699669.967,12865476190.4762,10661648745.5197,11363565891.4729,9589071038.25137,"-2.5156235373358","-0.0248990784425079"
"sp|P98160|PGBM_HUMAN",448980392.156863,329122112.211221,159226190.47619,207863799.283154,311046511.627907,243234972.677596,"-2.24428582649609","-0.0222864350754214"
"sp|P12111|CO6A3_HUMAN",485346405.228758,487326732.673267,517166666.666667,256953405.017921,366620155.03876,296247723.132969,"1.5277734729149","0.0150130812071634"
"sp|P01031|CO5_HUMAN",1033633986.9281,1132858085.80858,1159166666.66667,746315412.18638,690937984.496124,576903460.837887,"4.63348814564439","0.0466922382394142"
"sp|Q9Y6R7|FCGBP_HUMAN",552483660.130719,591854785.478548,506976190.47619,774695340.501792,854341085.271318,519213114.754098,"-1.41612522310075","-0.0140720420304817"
"sp|P00450|CERU_HUMAN",30771241830.0654,28250825082.5083,19616666666.6667,16107526881.7204,18413953488.3721,17774863387.9781,"6.74715808465281","0.0664734284912263"
"sp|P02671|FIBA_HUMAN",13749150326.7974,20764356435.6436,10661785714.2857,10815053763.4409,9870542635.65891,9199271402.55009,"1.82410032549323","0.0181648328000849"
"sp|P04275|VWF_HUMAN",286732026.143791,336184818.481848,313357142.857143,205562724.014337,204046511.627907,198797814.20765,"9.16213720203644","0.0939032627973628"
"sp|TRFE_HUMAN|",2713464052.28758,7557095709.57096,7655595238.09524,391949820.78853,335100775.193798,240116575.591985,"0.623842116247743","0.00611090082644683"
"sp|P00747|PLMN_HUMAN",6098300653.59477,13814653465.3465,4967857142.85714,2301075268.8172,3566666666.66667,2221857923.49727,"-3.67480822933426","-0.0390490489899288"
"sp|CO5_HUMAN|;Int_P01031ups|CO5_HUMAN_UPS",443385620.915033,501452145.214521,399976190.47619,217835125.448029,212341085.271318,180867030.965392,"-0.623976929292392","-0.00637733048901375"
"sp|P02774|VTDB_HUMAN",24057516339.8693,24436963696.3696,17960714285.7143,7823655913.97849,9621705426.35659,7312641165.75592,"-1.26754907455572","-0.0121948580146286"
"sp|Q14624|ITIH4_HUMAN",9329281045.75163,9774785478.54786,7337142857.14286,3267526881.72043,4844031007.75194,3804444444.44444,"4.31125006421268","0.0431521076827424"
"sp|P06727|APOA4_HUMAN;sp|Q9BT92|TCHP_HUMAN;sp|Q14980|NUMA1_HUMAN;sp|Q15020|SART3_HUMAN;sp|P61129|ZC3H6_HUMAN",6364052287.5817,9266270627.06271,20126190476.1905,10968458781.362,10119379844.9612,10056830601.0929,"0.271540606604262","0.00271594454775396"
