"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"0",1,1,1,2,2,2,"LogFC","Zstatistic"
"sp|P04114|APOB_HUMAN;sp|Q9ULK0|GRID1_HUMAN;sp|O75964|ATP5L_HUMAN;sp|Q7Z4Y8|AT5L2_HUMAN",34.3236176086884,34.0511581900653,34.427173800515,34.2264764502778,34.1528535871347,34.5061620966618,"0.0372515520011414","0.165863901961987"
"sp|P01024|CO3_HUMAN",36.5555643367381,36.3682150534,36.3714643679287,36.3353129423207,36.2228831855538,36.2372028568709,"-0.1644309868309","-0.868557080088765"
"sp|P0C0L5|CO4B_HUMAN",31.0348563777362,31.3141925958991,31.5014241776551,30.2076929745984,30.4531690090479,30.4629500298405,"-0.906609961905994","-3.78237485200706"
"sp|ALBU_HUMAN|;sp|Q8WY91|THAP4_HUMAN;sp|O75683|SURF6_HUMAN;sp|Q96JG6|CC132_HUMAN",37.8631371386483,38.5194046734426,37.9362718432786,37.7553338491138,37.2192809488736,37.5339774745299,"-0.584036588297465","-1.75304936296274"
"sp|P0C0L4|CO4A_HUMAN",29.6509573902663,28.3950929425954,28.9483768570107,28.2215874162568,28.3066080006711,28.2847153948223,"-0.698975988388993","-1.86202152611088"
"sp|P01023|A2MG_HUMAN",35.4580678084607,35.3168917455,35.5669466051746,36.5105898087026,36.6388198403874,36.5697781959578,"1.11252325140537","5.67136216196834"
"sp|P02751|FINC_HUMAN",32.6586381273479,32.6902082063487,32.4871163409712,33.1974765785553,32.9831174077646,32.5709092779764,"0.280575958530764","0.94740424201786"
"sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN",33.289670276765,33.3436090838758,33.2336362418507,33.6943658318224,33.6734568420594,33.5179392644381,"0.328602270195067","1.61476626145438"
"sp|P98160|PGBM_HUMAN",28.2579980564465,27.7957547139785,26.8973528539863,28.013717610678,28.4823153547074,28.2169707881864,"0.586386058417938","1.37124717752617"
"sp|P12111|CO6A3_HUMAN",28.3703604219024,28.3620211209897,28.5969044865093,28.3195858546693,28.7194711287156,28.5014241776551,"0.0782936195357467","0.367229123320463"
"sp|P01031|CO5_HUMAN",29.4609991234703,29.5790269957791,29.7612913044102,29.8578645641053,29.6337412546897,29.4629500298405,"0.0544753536546447","0.248670269467398"
"sp|Q9Y6R7|FCGBP_HUMAN",28.5572774123886,28.6423750030235,28.5681931898678,29.9117081469633,29.9399971913948,29.3109469363954,"1.13588698885471","4.32575550755514"
"sp|P00450|CERU_HUMAN",34.3567844726236,34.2192809488736,33.8422112997938,34.289670276765,34.369840625449,34.4083147732636,"0.208087539843494","0.878327969164451"
"sp|P02671|FIBA_HUMAN",33.1945442705521,33.7750971039353,32.9625804767619,33.7149761114977,33.4702425224068,33.4580678084607,"0.249131286927619","0.784362546503811"
"sp|P04275|VWF_HUMAN",27.6110486688296,27.8263863326321,27.8740830746634,27.9976577597819,27.8740830746634,27.925922006183,"0.169001313558633","0.839017606887518"
"sp|TRFE_HUMAN|",30.8534095063987,32.3168917455,32.4847178449227,28.9287480502618,28.589780052076,28.1983551100191,"-3.33082207505383","-5.66312793337449"
"sp|P00747|PLMN_HUMAN",32.0216809889885,33.1871873191638,31.8608269779611,31.4823153547074,32.001689513801,31.4083147732636,"-0.710936760247105","-1.46594592401993"
"sp|CO5_HUMAN|;Int_P01031ups|CO5_HUMAN_UPS",28.2399075994636,28.4032437837162,28.2261893182158,28.0813156888289,27.9315685693242,27.7895495644517,"-0.339892159113013","-1.43363298058459"
"sp|P02774|VTDB_HUMAN",34.001689513801,34.0100529867356,33.7149761114977,33.2478501010704,33.4334057542265,33.1269407767269,"-0.629721679282501","-2.97872560541249"
"sp|Q14624|ITIH4_HUMAN",32.6350396153961,32.6881248918483,32.4234216656538,31.9882062844374,32.4433212230916,32.1842340017744,"-0.378810046391515","-1.61447187885496"
"sp|P06727|APOA4_HUMAN;sp|Q9BT92|TCHP_HUMAN;sp|Q14980|NUMA1_HUMAN;sp|Q15020|SART3_HUMAN;sp|P61129|ZC3H6_HUMAN",32.0832193992976,32.6110486688296,33.879205507276,33.7352960958773,33.5061620966618,33.5866520145222,"0.744117660757202","1.2803619243706"
"sp|P10643|CO7_HUMAN",31.8534095063987,31.879205507276,31.6501014453934,33.6943658318224,33.4209148100433,33.0688799600251,"1.5924359630375","5.96812424262814"
"sp|P20742|PZP_HUMAN",26.9649915708616,27.3578333240263,28.1603872598201,25.5374184365192,25.6236609447517,25.0525839702855,"-2.10632672268526","-4.27503365548595"
"sp|P09486|SPRC_HUMAN",27.3066080006711,26.8740830746634,26.3169996065177,25.9868510048254,26.814211618686,26.8623059068871,"-0.262760609425588","-0.652711686230094"
"sp|P11047|LAMC1_HUMAN",22.431890338852,22.5263870247338,23.2678519571886,24.2678519571886,24.2095533166239,24.1642293261144,"1.49417092831035","4.61495545717189"
"sp|Q9NPY3|C1QR1_HUMAN",22.9282422466605,23.4800051940202,23.5754247590989,23.9671924790549,24.3031274319361,24.0772460245198,"0.788184065181783","2.84516886734488"
"sp|Q6UY14|ATL4_HUMAN",20.6018318196258,18.8219542870337,20.3553140584883,21.7853356280064,22.7615042487963,22.4227356625437,"2.39167172073325","3.45729820781965"
"sp|Q96KN2|CNDP1_HUMAN",22.8320074996086,23.4676214695644,23.2508701502958,21.3089203079058,22.7557451549427,22.6084863460507,"-0.973076918724601","-1.79717574848002"
"sp|ALDOA_RABIT|",25.7023976153567,25.8670283171295,25.0019578972156,23.7491918268356,26.7389234913818,26.4153843465884,"0.134733035372093","0.13016059454442"
"sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN",31.9643030979109,31.6671245932357,32.1633897479816,34.3892059503159,34.175337601286,34.6415139495567,"2.49184339017646","9.55064520093759"
"sp|P01861|IGHG4_HUMAN",19.9983377371159,20.0796924292172,19.8026225358463,21.932372533784,21.3974914029615,22.5300985362117,"2.0173789414536","5.5730247451185"
"sp|Q96IY4|CBPB2_HUMAN",26.2678519571886,26.5492196887515,26.4008033629918,25.8670283171295,26.337560929,26.010519910719,"-0.35268951583446","-1.54120638296408"
"sp|P80188|NGAL_HUMAN",27.6250555268235,25.8599388923431,27.8915705013923,25.8787671535862,27.7770586202685,27.3238859921029,"-0.163415998942818","-0.192778113461488"
"sp|O14786|NRP1_HUMAN",23.1236407708956,23.2294351303968,23.032629357942,24.5926340491311,25.0567237006465,25.0894207384659,"1.7684624610415","7.02182316471833"
"sp|P11597|CETP_HUMAN",21.966015973236,23.0102946636839,21.0811709263413,20.4510530165604,21.2051199658953,21.1459734374061,"-1.0968284347055","-1.88184612987517"
"sp|O14791|APOL1_HUMAN",26.3273168975032,25.9111366694194,24.7895495644517,25.6039939112957,25.9202532560963,24.8432601511965,"-0.276953554359897","-0.454567728564656"
