"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"0",1,1,1,2,2,2,"LogFC","Zstatistic"
"sp|P04114|APOB_HUMAN;sp|Q9ULK0|GRID1_HUMAN;sp|O75964|ATP5L_HUMAN;sp|Q7Z4Y8|AT5L2_HUMAN",34.2172423371904,34.1104764038767,34.490919721172,34.1104764038767,34.1104764038767,34.7572661591235,"0.0487919760175939","0.169675522383441"
"sp|P01024|CO3_HUMAN",36.5024052671857,36.5024052671857,36.5024052671857,36.1766246144682,36.1766246144682,36.1766246144682,"-0.317378217596413","-1.67220258357992"
"sp|P0C0L5|CO4B_HUMAN",31.2492827368274,31.3714543002274,31.3714543002274,29.8786211414583,30.3159147672094,30.4196147169684,"-1.12880490987007","-4.14016586410242"
"sp|ALBU_HUMAN|;sp|Q8WY91|THAP4_HUMAN;sp|O75683|SURF6_HUMAN;sp|Q96JG6|CC132_HUMAN",37.8045676546478,37.8045676546478,37.8045676546478,37.8045676546478,37.8045676546478,37.8045676546478,"-0.0121483662766646","-0.0682960130804889"
"sp|P0C0L4|CO4A_HUMAN",29.8786211414583,28.779507086229,29.0719677293381,27.965114513951,28.0316785612934,28.1405551423942,"-1.19148884579427","-3.15422615132724"
"sp|P01023|A2MG_HUMAN",35.1473128695672,35.1473128695672,35.1473128695672,36.5024052671857,36.5024052671857,36.5024052671857,"1.36187456311461","7.22553405590024"
"sp|P02751|FINC_HUMAN",33.0048593924069,32.6462002222724,32.5741436975645,33.0048593924069,32.6462002222724,32.5526161529879,"-0.00294064906071121","-0.0124659037392638"
"sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN",33.4918192699591,33.3981052394437,33.4573345191837,33.3431338847209,33.6841306756218,33.410477503926,"0.0298432420880119","0.140326702234879"
"sp|P98160|PGBM_HUMAN",28.2990535134525,28.1801067171725,27.1840155842823,27.7902949863551,28.3154780057368,27.992847220961,"0.12268025605236","0.307174195359478"
"sp|P12111|CO6A3_HUMAN",28.5917857522817,28.7285577680927,28.779507086229,28.0236822873526,28.4614479876796,28.2718606265454,"-0.423913456224112","-1.60394379841801"
"sp|P01031|CO5_HUMAN",29.6399221692788,29.8786211414583,30.020518518577,29.5578771178046,29.4186427643317,29.305874126272,"-0.423597659047462","-1.99870595108186"
"sp|Q9Y6R7|FCGBP_HUMAN",28.779507086229,28.967930979906,28.7533527716145,29.603802039592,29.7119543003506,29.092360436659,"0.646602795323516","2.43217093407153"
"sp|P00450|CERU_HUMAN",34.3900990899035,34.2172423371904,33.9746323873901,34.2172423371904,34.490919721172,34.3900990899035,"0.178286868807657","0.688900134089979"
"sp|P02671|FIBA_HUMAN",33.4228497684082,33.6000118117709,33.1648672822549,33.4573345191837,33.3981052394437,33.2881625299981,"-0.0124864139269587","-0.0572551885613006"
"sp|P04275|VWF_HUMAN",27.8546909188209,28.2479434640365,27.992847220961,27.7606347694337,27.3499678808263,27.5712922620576,"-0.462386933700703","-1.8237454918084"
"sp|TRFE_HUMAN|",31.0076158830513,32.2634552418331,32.5526161529879,28.691203431591,28.399757200991,27.938117874569,"-3.61337918737155","-6.82826356251398"
"sp|P00747|PLMN_HUMAN",32.1413280207644,33.2881625299981,32.0421710262279,31.5388993425948,31.7385160793178,31.5223688342344,"-0.878589596093198","-1.92381233318793"
"sp|CO5_HUMAN|;Int_P01031ups|CO5_HUMAN_UPS",28.2479434640365,28.8103621151038,28.399757200991,27.8546909188209,27.48161377901,27.2836317613563,"-0.948870941415763","-3.05589759181283"
"sp|P02774|VTDB_HUMAN",33.9746323873901,33.9746323873901,33.8638274982092,33.1648672822549,33.2881625299981,33.0623123241877,"-0.764251901857632","-4.16752197821269"
"sp|Q14624|ITIH4_HUMAN",32.9238600336119,32.5741436975645,32.4673475268411,31.942008759736,32.1413280207644,32.304609534162,"-0.546758469639737","-2.44443701151151"
"sp|P06727|APOA4_HUMAN;sp|Q9BT92|TCHP_HUMAN;sp|Q14980|NUMA1_HUMAN;sp|Q15020|SART3_HUMAN;sp|P61129|ZC3H6_HUMAN",32.304609534162,32.4327092124373,34.1104764038767,33.6000118117709,33.4573345191837,33.4918192699591,"0.491093302396264","0.792157148492629"
"sp|P10643|CO7_HUMAN",31.942008759736,31.942008759736,31.5962663299872,33.3431338847209,33.1648672822549,32.9238600336119,"1.3391532999421","5.77066059874793"
