"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"0",1,1,1,2,2,2,"LogFC","Zstatistic"
"sp|P04114|APOB_HUMAN;sp|Q9ULK0|GRID1_HUMAN;sp|O75964|ATP5L_HUMAN;sp|Q7Z4Y8|AT5L2_HUMAN",20777667679.8448,14978544668.1005,23341861165.5661,19893865897.8587,19477104668.9335,25600535371.3263,"-3.34322082259353","-0.0344210520729903"
"sp|P01024|CO3_HUMAN",97606717937.8755,74640275958.4558,89830799031.118,85810854395.2412,81783444735.5218,84985383814.6487,"-4.53380677801093","-0.0449046531034601"
"sp|P0C0L5|CO4B_HUMAN",2126086925.37947,2246781700.21507,3071829348.19571,1227283269.32064,1499023238.91792,1552819358.58864,"-1.05190211225935","-0.0106380242640932"
"sp|ALBU_HUMAN|;sp|Q8WY91|THAP4_HUMAN;sp|O75683|SURF6_HUMAN;sp|Q96JG6|CC132_HUMAN",241600786974.939,331547561754.584,265753657426.142,229620740711.603,163158991991.066,208791251594.014,"-2.14733400056857","-0.0222685983847797"
"sp|P0C0L4|CO4A_HUMAN",814677853.679496,297046419.541543,523423553.409664,309790051.046257,338554908.381462,343089142.066545,"-0.64626371241839","-0.00638045341852863"
"sp|P01023|A2MG_HUMAN",45614228580.8686,36015826505.3203,51432932178.6716,96895993602.0082,109112575894.025,107018631470.298,"-2.24434790384206","-0.0231409242481432"
"sp|P02751|FINC_HUMAN",6552213342.76036,5831534525.27732,6083030485.57177,9748984034.52279,8657624012.52594,6693910478.24023,"2.97209854270884","0.030248105214831"
"sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN",10147233052.9475,9172254881.02783,10205748821.3081,13757449551.2555,13970488689.235,12905187912.5948,"-1.65195668254321","-0.0169460890774773"
"sp|P98160|PGBM_HUMAN",310215410.475822,196067466.722888,126308772.540942,268220779.020881,382403887.479061,327351108.026795,"-4.08125831280779","-0.0420470437248957"
"sp|P12111|CO6A3_HUMAN",335341892.321216,290314489.353633,410250893.21298,331564431.630978,450726715.37532,398696862.340327,"2.93310978771936","0.0293920978022138"
"sp|P01031|CO5_HUMAN",714171926.297921,674876001.338011,919527864.098058,963021468.587885,849446502.053487,776409679.294322,"2.50631152088468","0.0243679710836871"
"sp|Q9Y6R7|FCGBP_HUMAN",381729243.420404,352584843.591804,402167131.770359,999642017.753098,1050336010.94249,698768711.36489,"-0.492589270197368","-0.00484927443348236"
"sp|P00450|CERU_HUMAN",21260869253.7947,16829825469.7758,15561240777.0441,20784636012.6882,22638310138.7604,23921811740.4196,"-1.72852150242209","-0.0182133325798118"
