"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|P06744|G6PI_HUMAN","126930.285537811","961263.012064257","3212185.37445934","25248.9371708705","1.04640573663138e-05","413111.698442446",-0.732326492749628,-0.00697443030348211
"sp|P29279|CTGF_HUMAN","7248636.5288528","7664951.79170028","5943795.23763937","14320273.821986","48343945.0323698","23685959.5389644",-6.32368619075342,-0.0611938592587395
"sp|P23470|PTPRG_HUMAN","1185350.96079574","382155.753555001","1690053.03599349","2393331.53133316","7400648.57182963","6386990.25642748",-1.4329007757531,-0.0141920998988074
"sp|P04070|PROC_HUMAN","5021939.00720479","4164430.50365208","2991898.2085997","3684339.02582243","4229416.32519306","2464408.81584735",-2.16290586989104,-0.022165226935226
"sp|P35916|VGFR3_HUMAN","139252.453392808","481575.179960158","183819.856720258","1626270.7379521","1688360.4748003","2358773.37463266",-2.23421962312949,-0.0222452132802694
"sp|Q76LX8|ATS13_HUMAN","1435421.71886618","3051406.8552216","953846.947272404","6586165.13234262","998419.005845979","2015026.86021031",-1.96490196427652,-0.0194828065949328
"sp|P03973|SLPI_HUMAN","8719824.77596913","3995256.38400083","7566023.14466404","24374934.1650826","14440399.165513","21317363.585068",1.53650221623006,0.0155483203431365
"sp|Q8NBJ4|GOLM1_HUMAN","51368534.5955699","26077481.1727245","49044885.3276273","59210777.5760131","83398537.209521","53508735.8675697",0.399468191380241,0.0039835589613874
"sp|Q15166|PON3_HUMAN","103133737.411955","47060355.096473","43964125.536816","74445111.4291897","42588713.4808972","46187621.1009807",-6.95566849521086,-0.0681336710005487
"sp|P10645|CMGA_HUMAN","1570185.82978947","248668.670428944","703898.994456175","32804598.8971736","8162907.50601959","9513950.90738468",4.40837287724907,0.0439702129332612
"sp|P00338|LDHA_HUMAN","59500233.1222818","55522584.0862975","98089770.6552545","60632648.7356429","81619647.4572476","117353163.170324",1.57099849059785,0.0151298753597821
"sp|P07195|LDHB_HUMAN;sp|P07864|LDHC_HUMAN;sp|Q9BYZ2|LDH6B_HUMAN","63764416.4960453","57422268.1452377","100785684.013644","61546708.7668335","86328473.2720889","121659701.268317",-0.762001238569712,-0.00741056736176331
"sp|P14207|FOLR2_HUMAN","2326511.67163713","1845699.25614722","1755531.4159332","12085904.8568534","8163092.88830629","13780921.9135793",-2.58559687734209,-0.0264542376043744
"sp|Q9HCB6|SPON1_HUMAN","5898626.69649759","9930166.67173283","13790633.7179163","10664033.6972236","10344178.7592019","11304662.507233",-0.317187409231093,-0.00317883693648411
"sp|P05164|PERM_HUMAN","2535438.68093945","3900272.16551095","6437268.58323104","1133157.80247039","468983.527205879","6936913.84233469",-6.99428776636003,-0.0690858031966451
"sp|A1L4H1|SRCRL_HUMAN","687107.309013191","2134547.51945615","1728539.33517739","1711351.79807625","5099987.0324685","1579828.82155572",-5.03308685342366,-0.050887278765186
"sp|P11717|MPRI_HUMAN","686877.911021075","158687.270253681","675287.853070564","1118186.00900186","3287811.59296674","976732.733711916",1.760435113183,0.0177405453473584
"sp|Q96S96|PEBP4_HUMAN","2746112.12819265","80821.2096382969","13272188.8413029","23460874.133892","44158322.0858442","33268006.8070001",2.20387270446504,0.0216358118924658
"sp|P17813|EGLN_HUMAN","1448698.08918308","1263878.89364722","1368438.54498292","4145425.07515018","4355322.4449075","5053049.78535758",-0.962563091760159,-0.010020853673258
"sp|P02794|FRIH_HUMAN","3728784.33700845","1954317.12546431","7547429.59094914","4920712.9542011","2043490.29723779","4844493.47000337",0.956621215352996,0.00949204075297625
"sp|P07237|PDIA1_HUMAN","249899.101583727","1583716.28421566","1319470.59272742","1069771.1060951","430079.473168953","1043992.23560601",1.63113064815618,0.0165772322674647
"sp|P05121|PAI1_HUMAN","4503055.62865817","7969349.74444813","2407702.64509649","1471641.09051737","3245972.22423712","4741090.22914457",4.49210103460701,0.0468677871694602
"sp|Q13308|PTK7_HUMAN","1904176.88583516","2386256.89206036","2679674.39155351","2266946.43636195","3151849.8301378","1850701.9500952",-0.354927714813169,-0.00363398513504938
