"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|Q02487|DSC2_HUMAN","241072.628057383","25676.4805518368","475035.907034907","2967385.49515219","1346110.91812733","1068547.69713761",2.1279762244769,0.0212121199410219
"sp|P14314|GLU2B_HUMAN","24397.4953435378","684576.026052008","266676.180126308","39201.9209739425","67853.6184696155","1.07663452449838e-05",-5.12053068297591,-0.0503776208471425
"sp|P15941|MUC1_HUMAN","2953181.33097441","10793659.4257966","640405.191019583","4716142.14704441","13917196.2971974","10601709.0001567",-3.74059755842327,-0.0394931114417451
"sp|O15394|NCAM2_HUMAN","9.9167055203803e-06","57377.6789164349","36711.8868371502","422216.549186429","566331.567861872","365218.066067568",2.56718297909251,0.026119818007406
"sp|Q06323|PSME1_HUMAN","150779.736907609","201694.419203236","551600.417220982","46569.5066121317","73886.5378820273","213490.423178217",-0.409431884867994,-0.00418261857654158
"sp|P80419|HV322_HUMAN","16675.4703705128","3703.25104697976","11217.7609742162","482811.695968674","158622.557827225","720835.571059817",-0.187306531904413,-0.00189867009985397
"sp|Q96RW7|HMCN1_HUMAN","56895.0374995259","8.63492754063724e-06","136616.363893414","11839.0935867539","49764.3309681726","128036.734815122",-3.72904016971527,-0.0364018566670799
"sp|P12277|KCRB_HUMAN","1054.84165105112","2564.81064389861","328302.751251021","12279.5341338749","303.257938357601","16959.6708341274",1.33859254596807,0.0137137353545444
"sp|P06748|NPM_HUMAN","20424.585037734","2317923.55106209","13907.5439915312","139238.687363972","4365.18055068625","20736.8153874271",-4.04126358956723,-0.039297460882938
"sp|Q99972|MYOC_HUMAN","51269367.5403661","14938424.6453024","6820290.306685","2689408.37329185","686442163.230185","524321013.430713",-4.16498900976654,-0.0422197543150381
"sp|Q9NS71|GKN1_HUMAN","369524.914584237","276450.723860125","153379.900617637","2176464.5652","2859335.94754457","1799542.60948142",1.10115185997618,0.0111096293721102
"sp|P41271|NBL1_HUMAN","4467429.21849867","1410118.21227718","4013681.1635061","12593715.9852927","19777068.4223331","14642229.533178",0.760081368713376,0.00804604690279772
"sp|P01769|HV308_HUMAN","2760608.11346301","961788.455176539","1799608.43802635","23359311.9082041","31392172.0989414","51678457.1759224",2.06072996866119,0.0194658776541478
"sp|O75874|IDHC_HUMAN","653458.208022472","457141.552825902","1244130.37508256","808084.748250222","806595.626702311","1219416.39335921",-0.964734588540721,-0.00948016242087595
"sp|O75636|FCN3_HUMAN","2459076.0113417","2474814.33258508","4223117.71877637","3089171.46457656","4491282.31792768","3384964.66905161",2.55254943225709,0.0247715499173632
"sp|Q01459|DIAC_HUMAN","3165830.29802604","2700386.20263523","3433127.14541044","7000019.99056649","1892324.84504281","3367194.0905731",-3.38473021150764,-0.0327135084214216
"sp|P19021|AMD_HUMAN","1600362.67904755","1143061.3146116","1364751.51329568","2508157.5541652","2218244.97231579","2571595.54206618",-2.29373342770164,-0.0225923717652766
"sp|Q8WWA0|ITLN1_HUMAN","590186.691854279","37953.0146853288","336318.596812438","4340256.7768146","7273.67541125743","2989118.42328353",-0.425350143963922,-0.00413901318221111
"sp|Q12864|CAD17_HUMAN","1652.90069171681","7932.89242066309","395519.246361423","534288.940377708","549855.285880792","527430.452582589",1.74623028657527,0.0165132715494014
"sp|O75023|LIRB5_HUMAN","565504.554257845","2014792.81624198","649876.187856084","603753.236728466","234025.41473127","2027885.8610572",0.97928061829137,0.00984043498347298
"sp|P04066|FUCO_HUMAN","275133.296523959","208395.473552829","245934.401020273","2239194.54295841","1002213.29659113","1718932.77553145",1.34712452404928,0.0132909213503992
"sp|Q08554|DSC1_HUMAN","100583.649744862","113373.603411251","795952.613028216","3310416.14044834","1062668.02026807","1138663.2679671",-0.166846908487004,-0.00172319760065437
"sp|Q13444|ADA15_HUMAN","477.913790927525","65879.4928405203","208822.258956915","1159822.15537379","1282985.52518614","746259.839508789",0.843744802406498,0.00864017034754658
