"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|P20851|C4BPB_HUMAN","111056209.150327","91532673.2673267","103688095.238095","60748387.0967742","39233333.3333333","39525683.0601093",1.84189507067387,0.0182902056266984
"sp|CAH1_HUMAN|","20141176.4705882","8660708.78421122","109420238.095238","53231541.218638","11114728.6821705","15046265.9380692",0.298937678035629,0.0029143769592473
"sp|Q6UXB8|PI16_HUMAN","39443137.254902","45766336.6336634","82160714.2857143","41496057.3476702","44458914.7286822","39213843.3515483",1.37644111999088,0.0137175718547582
"sp|Q9HDC9|APMAP_HUMAN","14266666.6666667","7914071.75667327","6921920.56913095","3015405.50849462","2945892.13639535","3482627.77912568",-2.7821935019961,-0.0275799373316829
"sp|P12830|CADH1_HUMAN","18742483.6601307","17515511.5511551","22164285.7142857","19865949.8207885","19326356.5891473","19100182.1493625",-5.56265048480145,-0.0547974813461472
"sp|P00488|F13A_HUMAN","12045231.997634","32488448.8448845","22291666.6666667","15800716.8458781","13934883.7209302","13409107.4681239",-0.651363649881849,-0.00696572088574071
"sp|Q6YHK3|CD109_HUMAN","5259518.64181699","1981792.06854125","5958456.998","3614193.93433692","3329948.12806202","3745164.15787978",-4.34065588803172,-0.0415989866050278
"sp|P20774|MIME_HUMAN","14406535.9477124","9247629.13085148","14648809.5238095","23777777.7777778","28782170.5426357","21516939.8907104",-0.736403637740692,-0.00736830820265478
"sp|Q6UWP8|SBSN_HUMAN","141928.262743791","514391.470171617","1560796.23005952","1243714.75311828","1920955.36472868","1384458.46748998",-6.15225652559797,-0.0606238302096957
"sp|P43121|MUC18_HUMAN","11477211.8899477","15114191.4191419","12685464.9111667","14266666.6666667","22975968.9922481","19100182.1493625",-5.6755087890036,-0.0572955487933721
"sp|P27918|PROP_HUMAN","65179084.9673203","69497029.7029703","117572619.047619","178716845.878136","240542635.658915","197238615.664845",1.24019119827254,0.0128574579218182
"sp|Q86UD1|OAF_HUMAN","13924509.7203137","29098349.8349835","18979761.9047619","16337634.4086022","20902325.5813953","14266666.6666667",-4.32140075259627,-0.0431511161572775
"sp|Q16853|AOC3_HUMAN","5149877.98252288","2494525.48578218","4765095.26241667","13806451.6129032","15179069.7674419","5299099.27830237",-4.04381610931658,-0.0414254111924714
"sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN","3566666666.66667","3051089108.91089","3923333333.33333","11505376344.086","10119379844.9612","13331147540.9836",-2.15864309438545,-0.0211889192855424
"sp|P02655|APOC2_HUMAN","756692810.457516","370085808.580858","166869047.619048","263089605.734767","117782945.736434","187103825.136612",-1.71326507954076,-0.0174430309129012
"sp|P02743|SAMP_HUMAN","651790849.673203","634231023.10231","453476190.47619","199426523.297491","207364341.085271","191781420.765027",3.8709991730007,0.0376681778102733
"sp|P02747|C1QC_HUMAN","1468627450.98039","1454917491.74917","1999880952.38095","2508172043.01075","2272713178.29457","2011366120.21858",5.87844899657625,0.0590335239372892
"sp|P02792|FRIL_HUMAN","48394771.2418301","34607260.7260726","62034523.8095238","33365591.3978495","10865891.4728682","11538069.2167577",2.72124415699261,0.0264970667278449
"sp|P0DJI9|SAA2_HUMAN","41401307.1895425","13373556.0240528","34010714.2857143","2633094.15873118","3498885.98714729","4086142.91644444",-1.10713150040614,-0.0116057611863123
"sp|Q14118|DAG1_HUMAN","14686274.5098039","15396699.669967","25476190.4761905","23087455.1971326","26957364.3410853","21906739.5264117",0.33394687227335,0.00318503859775095
"sp|P01767|HV306_HUMAN","40841830.0653595","57349174.9174917","44965476.1904762","45101075.2688172","41389922.4806202","48491074.6812386",2.25636454215159,0.0236439558712848
"sp|Q9Y5Y7|LYVE1_HUMAN","38464052.2875817","45483828.3828383","43182142.8571429","89741935.483871","72909302.3255814","84976320.5828779",-1.89741570126806,-0.0189228310644585
"sp|P62258|1433E_HUMAN;sp|P27348|1433T_HUMAN;sp|P61981|1433G_HUMAN;sp|Q04917|1433F_HUMAN;sp|P31947|1433S_HUMAN","93852287.5816993","82633663.3663366","67002380.9523809","12962724.0143369","24717829.4573643","53324590.1639344",-3.31439171304315,-0.0346380333251478
