"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|P35542|SAA4_HUMAN","702143790.849673","959115511.551155","143940476.190476","174881720.430108","225612403.100775","226863387.978142",-0.765899659380513,-0.0075345482265043
"sp|P10451|OSTP_HUMAN","110216993.464052","57066666.6666667","51971428.5714286","16797849.4623656","24634883.7209302","18866302.3679417",3.35074204363762,0.0348406141285234
"sp|Q9UGM5|FETUB_HUMAN","42800000","32347194.7194719","28915476.1904762","9894623.65591398","32431782.9457364","12473588.3424408",1.56914784568289,0.0160563967966916
"sp|P01781|HV320_HUMAN","32449673.2026144","41104950.4950495","26240476.1904762","90508960.5734767","66107751.9379845","69852094.7176685",0.336465643380675,0.00334502161446424
"sp|P01768|HV307_HUMAN","3016617.25933333","1280585.17558548","1629322.22477381","25541935.483871","17003875.9689922","30794171.2204007",-0.679734245803942,-0.00710542871025073
"sp|Q9UHG3|PCYOX_HUMAN","3072175.08613072","997458.587651485","144598.462372619","1352979.94311828","2909605.07377519","2438713.68216393",-0.532605488841268,-0.00528684992453752
"sp|Q9HCU0|CD248_HUMAN","6177032.66207843","6396281.88984818","10541931.2845714","4861248.57701792","5747121.75586046","5148191.32974863",-1.21038534865592,-0.0120012387256485
"sp|P05451|REG1A_HUMAN","14546405.2287582","5691148.53223762","10030140.5412024","13192831.5412186","30109302.3255814","32431329.6903461",4.65741288572227,0.0465000509888594
"sp|Q13093|PAFA_HUMAN","3328541.40044444","3804304.24077888","3100651.71048809","5294955.45921864","11861240.3100775","5162740.72042987",-1.91545153024381,-0.0193420597408716
"sp|P13598|ICAM2_HUMAN","12608146.8667712","6162050.55020462","7611185.83071429","15800716.8458781","8709302.32558139","9744990.89253188",-3.16557412332785,-0.0315998876607088
"sp|P32119|PRDX2_HUMAN","932125.244132026","5537981.61020462","32991666.6666667","4903273.97755556","1424307.7595969","2024039.97591985",-2.43599503901255,-0.0243005092609533
"sp|Q15848|ADIPO_HUMAN","112594771.24183","124868646.864686","51079761.9047619","165677419.354839","182480620.155039","339905282.331512",-0.852474822835083,-0.00893210832863716
"sp|P78324|SHPS1_HUMAN","4251929.1332549","4452900.68554456","6995659.76052381","5352154.67472401","16755038.7596899","7464731.60814572",3.07236710050574,0.0305614500758121
"sp|P09382|LEG1_HUMAN","1089578.83146667","2387667.84592739","2432056.4859881","2035722.26868817","2824743.39782946","4433025.71983971",1.29097552556718,0.0128569284451645
"sp|P09960|LKHA4_HUMAN","1753609.76416993","2905438.18611221","2376391.1550119","853428.887412186","2040327.57234109","2029055.27368306",1.21468874192513,0.0126682941141455
"sp|P29401|TKT_HUMAN","4579927.62420915","3519779.54493729","8285456.54794048","1454770.2818638","6300518.93357364","10212750.4553734",-1.84664049231185,-0.0179356672283845
"sp|P98095|FBLN2_HUMAN","3071744.09992157","4091033.14933333","6795431.33054762","4748137.95351971","9372868.21705426","6838656.52456102",2.47611440920996,0.0255124035908279
"sp|Q6UX71|PXDC2_HUMAN","10944394.6353987","6168574.20106931","4151906.87982143","6143242.67371326","8875193.79844961","5838365.14572677",1.13845664264339,0.0113434130754643
"sp|P62805|H4_HUMAN","1815359.16065359","68508250.8250825","14266666.6666667","746326.640436559","240586.640777519","2718738.30385428",3.9817541370417,0.0391924738336894
"sp|P15085|CBPA1_HUMAN","465433.123792157","126158.524420594","377866.38457619","1566856.72283871","9372868.21705426","7244172.18149362",-2.46167187487181,-0.0238626130145195
"sp|P17936|IBP3_HUMAN","24057516.3398693","52546534.6534653","51079761.9047619","18408602.1505376","9621705.42635659","21283060.1092896",4.49216844170031,0.0452285272571563
"sp|P16930|FAAA_HUMAN","3707319.69963399","2986827.24242904","3652141.09834524","7634835.72311111","9372868.21705426","9355191.2568306",-3.12067135318114,-0.0294108294658606
"sp|Q02818|NUCB1_HUMAN","4265067.45904575","5982907.29537954","3879696.23794048","2195085.3488172","5551106.22462016","5808152.25151912",-2.86820282204041,-0.028830350176225
