"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|Q02487|DSC2_HUMAN","234930.185380949","25022.2531881036","462932.165304779","2891777.59453846","1311812.5026774","1041321.49136886",6.68082489085768,0.0662843725905707
"sp|P14314|GLU2B_HUMAN","23775.8560566397","667133.278480167","259881.368277298","38203.0703191464","66124.7330080149","1.04920226931665e-05",-2.62875818366132,-0.0259154664542087
"sp|P15941|MUC1_HUMAN","2877935.34728559","10518640.9186099","624087.900221259","4595976.56447467","13562591.2092574","10331581.3198371",2.93082549035189,0.029847519672673
"sp|O15394|NCAM2_HUMAN","9.66403147899758e-06","55915.7165754961","35776.481344382","411458.625438229","551901.64597701","355912.442889626",0.417298139992829,0.00408279156137548
"sp|Q06323|PSME1_HUMAN","146937.924180109","196555.318932518","537545.839683998","45382.932561233","72003.9358331854","208050.765026617",4.56458705584197,0.043526488948306
"sp|P80419|HV322_HUMAN","16250.5854647529","3608.89356037575","10931.9365141881","470509.829971289","154580.912881905","702468.943500111",-0.254538172827941,-0.00262454005931197
"sp|Q96RW7|HMCN1_HUMAN","55445.3726859361","8.41491273488791e-06","133135.428746855","11537.437798274","48496.3539574009","124774.405489652",1.73205611583485,0.0174514750247349
"sp|P12277|KCRB_HUMAN","1027.96467033992","2499.46020373041","319937.7168366","11966.6560808232","295.531036645261","16527.544604164",-1.58688842124208,-0.0166887359797002
"sp|P06748|NPM_HUMAN","19904.1740570466","2258863.70401315","13553.1848408207","135690.936371389","4253.95734164366","20208.4488912575",0.644568587257064,0.00651719411984689
"sp|Q99972|MYOC_HUMAN","49963042.7464175","14557799.0313561","6646511.79610487","2620883.22840259","668951867.16337","510961505.157209",0.876633415622672,0.00876025049154965
"sp|Q9NS71|GKN1_HUMAN","360109.554476213","269406.860200227","149471.836666732","2121009.04153993","2786481.11001287","1753690.91984078",-0.98323732973863,-0.00938695001306215
"sp|P41271|NBL1_HUMAN","4353600.75067643","1374188.91430708","3911414.03070473","12272832.6932064","19273155.9289447","14269150.8627065",1.95307818583447,0.0195879142271953
"sp|P01769|HV308_HUMAN","2690268.82515108","937282.435972353","1753755.07109838","22764125.1567537","30592310.9983249","50361708.9271993",-3.29491579232691,-0.0339861062988736
"sp|O75874|IDHC_HUMAN","636808.331109578","445493.752717378","1212430.38669095","787495.043463638","786043.864189887","1188346.10821207",7.36269103888211,0.0717852769646183
"sp|O75636|FCN3_HUMAN","2396419.65106398","2411756.9656197","4115514.21889981","3010460.5018607","4376846.08182797","3298717.00332137",6.57619524643308,0.066984154285133
"sp|Q01459|DIAC_HUMAN","3085166.09618097","2631581.34665643","3345652.31734089","6821662.03316407","1844109.09786516","3281399.21270397",1.04408551349276,0.0105088996458519
"sp|P19021|AMD_HUMAN","1559586.02142048","1113936.52903462","1329978.14227655","2444250.61406972","2161724.89911405","2506072.2251662",2.29376357093089,0.0226779102004024
"sp|Q8WWA0|ITLN1_HUMAN","575148.950106817","36985.9857074599","327749.321575403","4229668.61644393","7088.3448135008","2912956.77558406",-2.09079407974389,-0.0210626522484587
"sp|Q12864|CAD17_HUMAN","1610.78538468041","7730.76521383378","385441.560156322","520675.452959545","535845.173654144","513991.716933086",3.5417290823809,0.0348825067215304
"sp|O75023|LIRB5_HUMAN","551095.704378113","1963456.62980562","633317.579511153","588369.824363486","228062.532481223","1976216.0686122",3.58385834824884,0.0347228794306931
"sp|P04066|FUCO_HUMAN","268123.0004323","203085.632860248","239668.082141173","2182140.68233417","976677.267165156","1675134.99507239",0.253697398881746,0.00247222798843781
"sp|Q08554|DSC1_HUMAN","98020.8150185688","110484.885328298","775672.030624145","3226067.94404918","1035591.62652244","1109650.54301525",1.22016690133053,0.0121275143107583
"sp|Q13444|ADA15_HUMAN","465.736721764987","64200.9073802535","203501.543927829","1130270.30968459","1250295.52173509","727245.410857783",-1.04353408671094,-0.0106173250736604
