"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|P01042|KNG1_HUMAN","6291284492.82742","7346218817.55715","8265646075.07924","5819698083.55269","6393792998.6499","6777846659.78557",0.660267025829613,0.00659606209506746
"sp|P00736|C1R_HUMAN","1961798390.23651","1144428131.94476","1889579237.21249","2899951596.05602","2539161812.86096","2906290286.00712",-0.187554431021775,-0.0017854154335012
"sp|P24821|TENA_HUMAN","54891698.8007062","39465940.7266243","59415646.6032591","39193885.0524977","50579287.5172305","59070087.7625275",3.15537857358242,0.0314049400595078
"sp|P01871|IGHM_HUMAN","1285316186.70668","1035034266.39121","1414658252.45855","4641902042.83369","7199390521.60579","12065826097.1415",-5.97741827129707,-0.0591795213956386
"sp|P04003|C4BPA_HUMAN","2725256877.07732","2558133471.40593","3678111456.39223","2345694635.71767","2131264332.8833","2748909945.60963",3.23114443635987,0.0331842943994438
"sp|P23142|FBLN1_HUMAN","307316201.032123","279375102.798279","293036352.294985","766062298.753364","682208535.262645","798442926.949972",-0.881534497539856,-0.00886971903961357
"sp|P04196|HRG_HUMAN","4068557252.65798","4283190582.05795","3253713980.65467","2474361430.08193","3222390091.82355","2465625332.89413",-1.16509320317716,-0.0125503254433017
"sp|P07358|CO8B_HUMAN","1034051368.25274","942470226.307446","801302852.999736","611662145.516252","740333926.159462","629521361.589991",0.863627393940963,0.00865821895617538
"sp|P05155|IC1_HUMAN","11403557145.2171","11107684810.052","10205748821.3081","13955398465.6621","19069207188.9558","15003592451.2281",-0.90025629510055,-0.00935389402930737
"sp|P05156|CFAI_HUMAN","1420612627.41264","1438950077.66583","1333820638.03235","1217385823.60031","1600997608.91233","1332486882.03215",-3.41020131147346,-0.033800858697378
"sp|P25311|ZA2G_HUMAN","5585810194.8606","5696895921.51912","6194182205.40779","5790005746.39171","9310259980.4902","5854548662.78691",-0.764699833655088,-0.0075740479525166
"sp|Q86VB7|C163A_HUMAN","81274504.7383696","71947503.8832917","140455355.065527","377092681.944485","558819547.569401","603291304.857074",-0.471909073823702,-0.00497115885563398
"sp|P02748|CO9_HUMAN","3720652119.41407","3037783497.29454","3435598613.11362","1989386589.78587","2528964375.86152","2675465786.75746",1.72680585477473,0.0169787440048956
"sp|Q15582|BGH3_HUMAN","201978257.911049","191018519.081956","186936983.360594","124707816.076129","210067202.188497","169970767.629297",4.85616181143951,0.0492470964661595
"sp|Q9NR99|MXRA5_HUMAN","24449999.6418639","16577378.0877292","17582181.1376991","19893865.8978587","25799515.6085873","36092558.0644928",4.9751868317487,0.04983658915932
"sp|P36955|PEDF_HUMAN","1517252942.20262","1228577259.29364","1475286463.2782","2761387355.97143","3589497823.80345","2843338149.84812",-6.97661309255339,-0.0696314130639669
"sp|P05546|HEP2_HUMAN","1391620532.97565","1481024641.34027","1394448848.852","788826423.910118","626122631.765716","701916318.17284",1.04720362095377,0.0105055558186036
"sp|K1C9_HUMAN|;sp|P35527|K1C9_HUMAN","69677666.9635725","36773168.6514602","26171177.6704832","63343652.6100973","53944441.7270462","98939773.9965602",-0.460885836129759,-0.00465184948118281
"sp|P01876|IGHA1_HUMAN","4116877410.05297","2406665042.17794","3476017420.32672","27712848016.9176","21414617698.8274","25600535371.3263",1.6614567171572,0.0166785875050301
"sp|Q12805|FBLN3_HUMAN","400090903.2305","318083701.378763","491088507.639182","1108513920.6767","971815746.046787","1259042723.17998",-3.93122141694365,-0.0394388653625006
"sp|P04264|K2C1_HUMAN","80114820.9608899","100978952.818655","109130779.475374","149451430.376948","320199521.782467","302170253.563196",0.00440051637149998,4.37715686679474e-05
"sp|Q08380|LG3BP_HUMAN","174918969.769856","106027900.459588","258680366.163849","331564431.630978","362009013.480178","293776635.408662",0.359655530541867,0.00363079036025029
"sp|P07225|PROS_HUMAN","305383394.736323","229727117.66244","392062429.967084","451323524.846943","319179778.082523","474239425.731126",-3.77443387942058,-0.0369063617922955
