"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"393","sp|Q9UBR2|CATZ_HUMAN",3324590.37002399,1738854.77471187,2176992.37414516,8668964.14310456,13707915.1498711,18625777.273822
"394","sp|P01619|KV301_HUMAN",5544965.65175976,3542524.50370979,3876191.77836072,35140530.087994,26578705.7104371,30145766.6859547
"395","sp|IGF2_HUMAN|;sp|Q99996|AKAP9_HUMAN;sp|P30533|AMRP_HUMAN",33022629.3828664,24695892.7662225,30691936.695513,57585781.9650075,41123745.4496132,42742390.6225858
"396","sp|Q9UGM3|DMBT1_HUMAN",21618418.034429,2087107.06089378,1317254.9490756,974700.968927288,465082.999909032,1039805.83484807
"397","sp|Q9UNN8|EPCR_HUMAN",10809209.0172145,8807626.09144999,20426728.1385678,33007723.3485493,41856229.4652552,33590997.1643496
"398","sp|P15086|CBPB1_HUMAN",969878.504290818,349549.391925299,538460.746934011,1000733.39079531,10777979.0873032,6101461.70527536
"399","sp|P37837|TALDO_HUMAN",2579622.74981124,2895535.96398729,6137224.0794476,2414127.62797692,2083273.55194333,6594136.54445706
"400","sp|Q8N2S1|LTBP4_HUMAN",622932.637021429,1033266.16704505,1557310.18063276,3410823.8494107,3373910.49005224,1709542.88814662
"401","sp|Q9BTY2|FUCO2_HUMAN",1087063.99634847,633904.450310029,2851782.86178935,1476316.67820145,3583627.03215585,2635137.73329531
"402","sp|Q9UBP4|DKK3_HUMAN",32824295.2724588,23918749.2875652,17212369.9035648,57077970.8365683,39030933.9763505,45972294.196081
"403","sp|GSTP1_HUMAN|",443843.233522204,10189214.4979519,4574478.95200078,3617632.88997521,1129996.02664573,2974438.42218132
"404","sp|PRDX1_HUMAN|",1546769.13422605,2349870.70453539,5283841.98601264,956513.859002469,995768.491088702,1596798.59927492
"405","sp|Q76M96|CCD80_HUMAN",1824546.4783094,1783839.60667544,1346996.41040992,479635.220055916,68442.150624593,569532.682884379
"406","sp|Q92743|HTRA1_HUMAN",1403787.08513816,719673.008705946,614070.011340206,824875.399001463,580647.968784719,1033418.59082243
"407","sp|P06331|HV209_HUMAN;sp|P01825|HV207_HUMAN",54839381.527703,25991131.8973181,45623149.1419789,352420923.136819,226023639.112378,412351022.882881
"408","sp|P28799|GRN_HUMAN",1928062.19730129,470626.109971977,1261043.49445579,3551165.42129586,2280469.88289313,3543201.37888567
"409","sp|P04206|KV307_HUMAN;sp|P18135|KV312_HUMAN;sp|P18136|KV313_HUMAN",74375291.4028522,88076260.9144999,78492554.3192682,404217658.237619,303457663.6231,418810830.029871
"410","sp|Q92520|FAM3C_HUMAN",3835896.96310139,2080604.0529248,4454972.539744,12187467.0825413,10408350.0085167,9163089.89728062
"411","sp|P18669|PGAM1_HUMAN;sp|Q8N0Y7|PGAM4_HUMAN",8005530.12688327,4244696.43202192,4085481.92272406,1364844.01357785,914251.784423638,2757879.20463481
"412","sp|Q14315|FLNC_HUMAN",499870.502594891,717652.502236728,773471.515544619,884378.491248893,653942.680499758,312866.803074125
"413","sp|P31946|1433B_HUMAN;sp|P27348|1433T_HUMAN;sp|P61981|1433G_HUMAN;sp|Q04917|1433F_HUMAN",44526007.7865075,31862882.6249514,38572298.8200367,9356128.54673306,20300271.2906488,58461254.6802622
"414","sp|P19801|AOC1_HUMAN",976507.839582928,385287.816285876,3194754.50077808,449109.784245077,367647.042440498,111865.450304474
"415","sp|Q13228|SBP1_HUMAN",1510422.58084502,262715.041865595,1054726.27373286,1606565.5597681,745787.147463284,1953724.68893362
