"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"277","BT","VSN-G",1e-06,53,5,10,68,184
"289","BT","VSN-G",4e-05,43,3,12,58,239
"288","BT","VSN-G",3e-05,42,3,12,57,234
"282","BT","VSN-G",6e-06,42,3,10,55,210
"283","BT","VSN-G",7e-06,42,3,10,55,210
"287","BT","VSN-G",2e-05,41,2,11,54,228
"279","BT","VSN-G",3e-06,39,4,9,52,200
"293","BT","VSN-G",8e-05,39,2,11,52,249
"280","BT","VSN-G",4e-06,38,3,10,51,205
"281","BT","VSN-G",5e-06,38,3,10,51,208
"284","BT","VSN-G",8e-06,39,2,10,51,214
"294","BT","VSN-G",9e-05,35,3,12,50,251
"295","BT","VSN-G",1e-04,35,3,12,50,251
"292","BT","VSN-G",7e-05,35,3,11,49,248
"290","BT","VSN-G",5e-05,32,3,12,47,242
"285","BT","VSN-G",9e-06,35,2,8,45,217
"286","BT","VSN-G",1e-05,35,2,8,45,218
"291","BT","VSN-G",6e-05,28,3,12,43,243
"278","BT","VSN-G",2e-06,22,4,8,34,189
"297","BT","VSN-G",3e-04,1,0,13,14,272
"296","BT","VSN-G",2e-04,1,0,12,13,261
"298","BT","VSN-G",4e-04,0,0,13,13,275
"306","BT","VSN-G",0.003,0,1,10,11,310
"30","BT","None",0.003,0,5,5,10,188
"300","BT","VSN-G",6e-04,2,1,7,10,283
"301","BT","VSN-G",7e-04,2,0,8,10,286
"31","BT","None",0.004,0,5,4,9,193
"305","BT","VSN-G",0.002,1,0,8,9,300
"307","BT","VSN-G",0.004,0,0,9,9,314
"32","BT","None",0.005,0,4,4,8,201
"299","BT","VSN-G",5e-04,0,1,7,8,281
"303","BT","VSN-G",9e-04,0,0,8,8,290
"304","BT","VSN-G",0.001,0,0,8,8,290
"308","BT","VSN-G",0.005,0,0,8,8,320
"310","BT","VSN-G",0.007,0,0,8,8,326
"311","BT","VSN-G",0.008,0,0,8,8,328
"312","BT","VSN-G",0.009,0,0,8,8,329
"313","BT","VSN-G",0.01,0,0,8,8,330
"36","BT","None",0.009,0,3,4,7,212
"37","BT","None",0.01,0,3,4,7,216
"302","BT","VSN-G",8e-04,0,0,7,7,288
"309","BT","VSN-G",0.006,0,0,7,7,324
"20","BT","None",2e-04,0,6,0,6,153
"21","BT","None",3e-04,0,6,0,6,157
"2","BT","None",2e-06,0,5,0,5,107
"8","BT","None",8e-06,0,5,0,5,123
"9","BT","None",9e-06,0,5,0,5,124
"10","BT","None",1e-05,0,5,0,5,127
"11","BT","None",2e-05,0,5,0,5,132
"12","BT","None",3e-05,0,5,0,5,135
