"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",0,"TI-G",1e-06,0,0,0,0,0
"2",0,"TI-G",2e-06,0,0,0,0,0
"3",0,"TI-G",3e-06,0,0,0,0,0
"4",0,"TI-G",4e-06,0,0,0,0,0
"5",0,"TI-G",5e-06,0,0,0,0,0
"6",0,"TI-G",6e-06,0,0,0,0,0
"7",0,"TI-G",7e-06,0,0,0,0,0
"8",0,"TI-G",8e-06,0,0,0,0,0
"9",0,"TI-G",9e-06,0,0,0,0,0
"10",0,"TI-G",1e-05,0,0,0,0,0
"11",0,"TI-G",2e-05,0,0,0,0,0
"12",0,"TI-G",3e-05,0,0,0,0,0
"13",0,"TI-G",4e-05,0,0,0,0,0
"14",0,"TI-G",5e-05,0,0,0,0,0
"15",0,"TI-G",6e-05,0,0,0,0,0
"16",0,"TI-G",7e-05,0,0,0,0,0
"17",0,"TI-G",8e-05,0,0,0,0,0
"18",0,"TI-G",9e-05,0,0,0,0,0
"19",0,"TI-G",1e-04,0,0,0,0,0
"20",0,"TI-G",2e-04,0,0,0,0,0
"21",0,"TI-G",3e-04,0,0,0,0,0
"22",0,"TI-G",4e-04,0,0,0,0,0
"23",0,"TI-G",5e-04,0,0,0,0,0
"24",0,"TI-G",6e-04,0,0,0,0,0
"25",0,"TI-G",7e-04,0,0,0,0,0
"26",0,"TI-G",8e-04,0,0,0,0,0
"27",0,"TI-G",9e-04,0,0,0,0,0
"28",0,"TI-G",0.001,0,0,0,0,0
"29",0,"TI-G",0.002,0,0,0,0,0
"30",0,"TI-G",0.003,0,0,0,0,0
"31",0,"TI-G",0.004,0,0,0,0,0
"32",0,"TI-G",0.005,0,0,0,0,0
"33",0,"TI-G",0.006,0,0,0,0,0
"34",0,"TI-G",0.007,0,0,0,0,0
"35",0,"TI-G",0.008,0,0,0,0,0
"36",0,"TI-G",0.009,0,0,0,0,0
"37",0,"TI-G",0.01,0,0,0,0,0
"38",0,"TI-G",0.02,0,0,0,0,0
"39",0,"TI-G",0.03,0,0,0,0,0
"40",17,"TI-G",0.04,0,0,0,0,17
"41",19,"TI-G",0.05,0,0,0,0,19
"42",22,"TI-G",0.06,0,0,0,0,22
"43",35,"TI-G",0.07,0,0,0,0,35
"44",51,"TI-G",0.08,0,0,0,0,51
"45",69,"TI-G",0.09,0,0,0,0,69
"46",84,"TI-G",0.1,0,0,0,0,84
