"","0","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"1","sp|P60900|PSA6_HUMAN","1.103075e+06","1.234779e+06","1.175222e+06","3.094838e+05","3.296269e+05","3.875610e+05","0.000180398193800028","0.0351530645747681"
"2","sp|P01621|KV303_HUMAN;sp|P18135|KV312_HUMAN","1.368505e+07","8.634928e+06","6.568491e+06","8.094509e+07","7.910827e+07","9.065263e+07","0.000241586906025035","0.0351530645747681"
"3","sp|Q12913|PTPRJ_HUMAN","2.871495e+06","2.221610e+06","3.812593e+06","1.137497e+07","1.224295e+07","1.205831e+07","0.000327004402345387","0.0351530645747681"
"4","sp|P28827|PTPRM_HUMAN","2.025078e+05","8.455643e+04","2.134729e+04","1.432805e+06","1.726771e+06","1.515461e+06","0.000451713171795935","0.0351530645747681"
"5","Int_P06396ups|GELS_HUMAN_UPS","1.428006e+09","1.329779e+09","1.690130e+09","3.057023e+09","3.264786e+09","3.046876e+09","0.00049563088407861","0.0351530645747681"
"6","sp|P05546|HEP2_HUMAN","1.428006e+09","1.519747e+09","1.430908e+09","8.094509e+08","6.424931e+08","7.202685e+08","0.000560489068236092","0.0351530645747681"
"7","sp|P05452|TETN_HUMAN","1.685840e+08","1.934224e+08","2.561118e+08","6.215608e+08","5.294813e+08","5.856892e+08","0.000568968328015634","0.0351530645747681"
"8","sp|P01023|A2MG_HUMAN","4.680685e+10","3.695749e+10","5.277769e+10","9.942942e+10","1.119654e+11","1.098167e+11","0.000599479488474661","0.0351530645747681"
"9","sp|P22897|MRC1_HUMAN","1.904007e+07","2.029208e+07","3.048456e+07","6.804669e+07","8.005004e+07","8.010161e+07","0.000646797595407961","0.0351530645747681"
"10","sp|P00533|EGFR_HUMAN","6.710400e+05","5.583939e+05","4.531509e+05","1.799519e+06","1.856902e+06","1.770820e+06","0.000746050553948911","0.0351530645747681"
"11","sp|Q9BWP8|COL11_HUMAN","1.006593e+06","2.574350e+06","1.908326e+06","8.796621e+06","7.917338e+06","8.536824e+06","0.000797878770578661","0.0351530645747681"
