"","0","  1.000000","  1.000000","  1.000000","  2.000000","  2.000000","  2.000000","pVal","BHpVal"
"1","sp|Q13790|APOF_HUMAN"," 27.183872"," 27.283686"," 27.445139"," 24.947385"," 24.742587"," 24.818409","2.23172446787004e-05","0.0128324156902527"
"2","sp|P51884|LUM_HUMAN"," 31.228691"," 31.138639"," 31.091900"," 32.038393"," 31.886895"," 32.002025","0.000190743938160243","0.0355715034552674"
"3","sp|Q13201|MMRN1_HUMAN"," 16.489533"," 17.306708"," 17.282924"," 22.287137"," 21.760502"," 21.623777","0.000210284759037981","0.0355715034552674"
"4","sp|P06276|CHLE_HUMAN"," 25.662189"," 25.698644"," 25.838122"," 24.839118"," 24.751017"," 24.960913","0.000439896687511352","0.0355715034552674"
"5","sp|P01876|IGHA1_HUMAN"," 32.053897"," 31.388765"," 31.794011"," 34.639110"," 34.162435"," 34.585004","0.000515150228852474","0.0355715034552674"
"6","sp|P17900|SAP3_HUMAN"," 21.753857"," 22.060151"," 21.935024"," 23.423750"," 23.577054"," 23.184822","0.000690680539707692","0.0355715034552674"
"7","sp|P24821|TENA_HUMAN"," 26.158859"," 25.985938"," 26.213711"," 25.000021"," 25.161151"," 25.270684","0.000794041816938852","0.0355715034552674"
"8","sp|P19827|ITIH1_HUMAN"," 31.700592"," 31.791586"," 31.681457"," 30.792327"," 30.735714"," 30.569995","0.000884020232750304","0.0355715034552674"
"9","sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"," 32.026889"," 31.636958"," 32.274344"," 34.325383"," 34.050845"," 34.725361","0.000911520425432596","0.0355715034552674"
"10","sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"," 31.339684"," 31.030143"," 31.662116"," 33.723922"," 33.355652"," 34.030158","0.00092425778050578","0.0355715034552674"
"11","sp|P02790|HEMO_HUMAN"," 35.677173"," 35.448158"," 35.637546"," 34.869217"," 34.779705"," 34.660586","0.00102632142748344","0.0355715034552674"
"12","sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN"," 33.339305"," 33.290143"," 33.330813"," 33.638000"," 33.560337"," 33.622674","0.00115524411302671","0.0355715034552674"
"13","sp|P01620|KV302_HUMAN;sp|P18135|KV312_HUMAN"," 26.730674"," 27.130456"," 26.733308"," 28.505050"," 28.114286"," 28.424768","0.00120314345084753","0.0355715034552674"
"14","sp|A0M8Q6|LAC7_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"," 31.603868"," 31.126957"," 31.690794"," 33.677002"," 33.405373"," 34.109858","0.0012398171488581","0.0355715034552674"
"15","sp|P01593|KV101_HUMAN"," 28.539372"," 28.220670"," 28.103839"," 30.328961"," 29.790942"," 30.239766","0.00125136601803011","0.0355715034552674"
"16","sp|P11142|HSP7C_HUMAN;sp|P34931|HS71L_HUMAN"," 22.067272"," 21.548380"," 22.129279"," 19.198794"," 19.774983"," 18.979521","0.00127892898471954","0.0355715034552674"
"17","sp|P05546|HEP2_HUMAN"," 30.636740"," 30.932110"," 30.624099"," 29.427395"," 28.944650"," 29.164333","0.00128444720579493","0.0355715034552674"
"18","sp|P01609|KV117_HUMAN"," 28.527822"," 28.206669"," 28.074375"," 30.279373"," 29.737540"," 30.186972","0.00135039595509808","0.0355715034552674"
"19","sp|P01597|KV105_HUMAN"," 28.519383"," 28.201788"," 28.074802"," 30.259198"," 29.723863"," 30.175991","0.00135374595789656","0.0355715034552674"
"20","sp|P01606|KV114_HUMAN"," 28.519383"," 28.201788"," 28.074802"," 30.259198"," 29.723863"," 30.175991","0.00135374595789656","0.0355715034552674"
"21","sp|P01599|KV107_HUMAN;sp|P01610|KV118_HUMAN"," 28.519383"," 28.201788"," 28.074802"," 30.259198"," 29.723863"," 30.175991","0.00135374595789656","0.0355715034552674"
"22","sp|P01608|KV116_HUMAN"," 28.523725"," 28.201589"," 28.074694"," 30.259267"," 29.723928"," 30.186385","0.00138543713316003","0.0355715034552674"
"23","sp|P01033|TIMP1_HUMAN"," 29.798347"," 29.613905"," 29.820778"," 30.582715"," 30.460940"," 30.462164","0.0014228601382107","0.0355715034552674"
"24","sp|P22891|PROZ_HUMAN"," 23.995662"," 23.901669"," 23.924466"," 22.401111"," 22.652972"," 22.381390","0.00167204703639798","0.0389276660581221"
"25","sp|Q12913|PTPRJ_HUMAN"," 21.979083"," 21.814550"," 22.129552"," 23.067275"," 22.943047"," 22.755246","0.00180080368468376","0.0389276660581221"
"26","sp|P35858|ALS_HUMAN"," 28.035664"," 28.526702"," 28.736498"," 26.166356"," 26.501483"," 26.074854","0.00188682946029542","0.0389276660581221"
