"","0","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"1","sp|P02790|HEMO_HUMAN","7.832680e+10","7.571221e+10","6.738452e+10","2.423799e+10","2.529845e+10","1.808670e+10","0.000435717721178606","0.0646931454719867"
"2","sp|Q12913|PTPRJ_HUMAN","4.050074e+06","3.634211e+06","4.683736e+06","8.590681e+06","9.704651e+06","8.731512e+06","0.000508439895818495","0.0646931454719867"
"3","sp|Q15063|POSTN_HUMAN","8.336209e+08","9.294521e+08","7.935833e+08","1.150538e+08","2.828450e+08","1.520219e+08","0.000648522540336316","0.0646931454719867"
"4","sp|Q13790|APOF_HUMAN","1.636471e+08","1.638548e+08","1.757857e+08","2.937706e+07","3.027519e+07","3.149581e+07","0.000667227172133908","0.0646931454719867"
"5","sp|P01620|KV302_HUMAN;sp|P18135|KV312_HUMAN","1.254627e+08","1.567921e+08","1.108214e+08","3.382581e+08","2.977752e+08","3.547177e+08","0.000966207909531261","0.0646931454719867"
"6","sp|P06889|LV405_HUMAN","2.265882e+07","2.132937e+07","1.168382e+07","1.119857e+08","9.124031e+07","9.667031e+07","0.0011683714551812","0.0646931454719867"
"7","sp|P28827|PTPRM_HUMAN","2.856253e+05","1.383213e+05","2.622495e+04","1.082093e+06","1.368765e+06","1.097357e+06","0.00120224358429981","0.0646931454719867"
"8","sp|P01621|KV303_HUMAN;sp|P18135|KV312_HUMAN","1.930196e+07","1.412541e+07","8.069331e+06","6.113190e+07","6.270698e+07","6.564226e+07","0.00146298668555119","0.0646931454719867"
"9","sp|P01714|LV301_HUMAN","2.251895e+07","2.231815e+07","1.999881e+07","1.135197e+08","1.003643e+08","1.107031e+08","0.00150070112876305","0.0646931454719867"
"10","sp|P01876|IGHA1_HUMAN","5.958431e+09","4.039868e+09","4.381905e+09","2.147670e+10","1.741860e+10","1.902222e+10","0.00175416122242221","0.0646931454719867"
"11","sp|P22891|PROZ_HUMAN","1.650458e+07","1.539670e+07","1.579524e+07","5.233985e+06","7.724924e+06","6.453592e+06","0.00179625255415946","0.0646931454719867"
"12","sp|P17813|EGLN_HUMAN","2.043303e+06","2.067511e+06","1.681114e+06","3.130736e+06","3.452346e+06","3.658952e+06","0.00199534467956429","0.0646931454719867"
"13","sp|P04003|C4BPA_HUMAN","3.944314e+09","4.294125e+09","4.636667e+09","1.817849e+09","1.733566e+09","2.042550e+09","0.00212205711418571","0.0646931454719867"
"14","sp|P15169|CBPN_HUMAN","1.902222e+08","1.680924e+08","1.987143e+08","8.360573e+07","8.792248e+07","1.013479e+08","0.0021920435564419","0.0646931454719867"
"15","sp|P19823|ITIH2_HUMAN","7.846667e+09","7.839604e+09","6.509167e+09","3.512975e+09","3.591550e+09","2.564882e+09","0.0022712958111372","0.0646931454719867"
"16","sp|P01593|KV101_HUMAN","4.587712e+08","3.644356e+08","2.993452e+08","1.158208e+09","9.289922e+08","1.146011e+09","0.00268887686778515","0.0646931454719867"
"17","sp|P01597|KV105_HUMAN","4.517778e+08","3.587855e+08","2.929762e+08","1.104516e+09","8.875194e+08","1.099235e+09","0.00272503167547328","0.0646931454719867"
"18","sp|P01606|KV114_HUMAN","4.517778e+08","3.587855e+08","2.929762e+08","1.104516e+09","8.875194e+08","1.099235e+09","0.00272503167547328","0.0646931454719867"
"19","sp|P01599|KV107_HUMAN;sp|P01610|KV118_HUMAN","4.517778e+08","3.587855e+08","2.929762e+08","1.104516e+09","8.875194e+08","1.099235e+09","0.00272503167547328","0.0646931454719867"
"20","sp|P01609|KV117_HUMAN","4.545752e+08","3.601980e+08","2.929762e+08","1.119857e+09","8.958140e+08","1.107031e+09","0.00274489657264454","0.0646931454719867"
"21","sp|P43652|AFAM_HUMAN","2.419739e+09","2.655578e+09","2.509405e+09","1.971254e+09","1.957519e+09","1.761894e+09","0.00281403823546524","0.0646931454719867"
