"","0","  1.000000","  1.000000","  1.000000","  2.000000","  2.000000","  2.000000","pVal","BHpVal"
"1","sp|P17813|EGLN_HUMAN"," 20.478393"," 20.481171"," 20.331837"," 21.960725"," 21.988906"," 22.162194","5.53266130250319e-05","0.0107532199447913"
"2","sp|P17900|SAP3_HUMAN"," 21.240080"," 21.538166"," 21.602572"," 23.759388"," 24.101494"," 23.828809","9.34027731494252e-05","0.0107532199447913"
"3","sp|P01620|KV302_HUMAN;sp|P18135|KV312_HUMAN"," 26.418605"," 26.725984"," 26.374512"," 28.716203"," 28.419409"," 28.761291","0.00016055853870009","0.0107532199447913"
"4","sp|P23142|FBLN1_HUMAN"," 28.244452"," 28.306608"," 28.111478"," 29.527758"," 29.317431"," 29.503321","0.000172049186309583","0.0107532199447913"
"5","Int_P06396ups|GELS_HUMAN_UPS"," 30.423422"," 30.520283"," 30.602225"," 31.487116"," 31.538899"," 31.398155","0.000178414718200901","0.0107532199447913"
"6","sp|P01033|TIMP1_HUMAN"," 29.593347"," 29.407302"," 29.566380"," 30.721102"," 30.704708"," 30.602225","0.00021688962742398","0.0107532199447913"
"7","sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"," 31.964303"," 31.667125"," 32.163390"," 34.389206"," 34.175338"," 34.641514","0.000240605706651914","0.0107532199447913"
"8","sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"," 31.247850"," 31.008384"," 31.520283"," 33.804243"," 33.506162"," 33.993277","0.000257849245624213","0.0107532199447913"
"9","sp|P01876|IGHA1_HUMAN"," 31.988206"," 31.413368"," 31.679761"," 34.704708"," 34.289670"," 34.506162","0.000290898188669756","0.0107532199447913"
"10","sp|P01593|KV101_HUMAN"," 28.289121"," 27.942796"," 27.808086"," 30.491901"," 30.060852"," 30.453169","0.000309372328966505","0.0107532199447913"
