"","0","  1.0000000"," 1.000000","  1.0000000","  2.0000000","  2.000000","  2.0000000","pVal","BHpVal"
"1","sp|P01024|CO3_HUMAN"," 36.5024053","36.502405"," 36.5024053"," 36.1766246"," 36.176625"," 36.1766246","2.03840910034725e-23","1.17208523269967e-20"
"2","sp|P01023|A2MG_HUMAN"," 35.1473129","35.147313"," 35.1473129"," 36.5024053"," 36.502405"," 36.5024053","6.27850677981866e-18","1.80507069919786e-15"
"3","sp|P60900|PSA6_HUMAN"," 20.6386097","20.922240"," 20.4459316"," 17.8628125"," 17.862812"," 17.5006584","0.000102331842003876","0.0187165624444854"
"4","sp|A0M8Q6|LAC7_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"," 31.5388993","31.249283"," 31.4497411"," 33.6841307"," 33.600012"," 33.9746324","0.000130202173526855","0.0187165624444854"
"5","sp|Q13201|MMRN1_HUMAN"," 16.9768897","17.671295"," 17.4190531"," 22.7557494"," 21.914720"," 21.9064600","0.000275685475886228","0.0267205227522613"
"6","sp|Q13790|APOF_HUMAN"," 27.1448303","27.283632"," 27.2836318"," 24.9823678"," 24.742147"," 24.6441622","0.000306339167485656","0.0267205227522613"
"7","sp|P06276|CHLE_HUMAN"," 25.7055232","25.652816"," 25.7952834"," 24.8856356"," 24.820181"," 24.8856356","0.00034616464377634","0.0267205227522613"
"8","sp|P22891|PROZ_HUMAN"," 23.9967034","23.817546"," 23.8281100"," 22.4294569"," 22.664303"," 22.3858783","0.000402064148610579","0.0267205227522613"
"9","sp|P01876|IGHA1_HUMAN"," 32.1154421","31.449741"," 31.7385161"," 34.8646718"," 34.390099"," 34.7572662","0.000418234269165829","0.0267205227522613"
"10","sp|Q96PD5|PGRP2_HUMAN"," 30.0205185","30.194573"," 29.9292696"," 29.0719677"," 28.906270"," 28.9162937","0.000624929873066266","0.0308211375761957"
"11","sp|P00739|HPTR_HUMAN"," 25.6721934","26.224417"," 26.2149396"," 23.2955596"," 23.732787"," 23.5587074","0.00064252121267239","0.0308211375761957"
"12","sp|P01714|LV301_HUMAN"," 24.3885563","24.514779"," 24.2051660"," 26.9917324"," 26.475275"," 26.6268813","0.000655448459980482","0.0308211375761957"
"13","sp|P35858|ALS_HUMAN"," 28.0236823","28.558060"," 28.5030969"," 26.2054623"," 26.402981"," 25.9311370","0.000696825719113989","0.0308211375761957"
"14","sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"," 31.3714543","31.149336"," 31.4108538"," 33.9746324"," 33.457335"," 33.8638275","0.000812415098173722","0.0333670486749921"
"15","sp|P01593|KV101_HUMAN"," 28.4614480","28.399757"," 27.9381179"," 30.3159148"," 29.980264"," 30.3905945","0.000960572232695072","0.0368219355866444"
"16","Int_P06396ups|GELS_HUMAN_UPS"," 30.6356294","30.822148"," 30.7325037"," 31.5962663"," 31.371454"," 31.4497411","0.0011309456563262","0.0405448940490974"
"17","sp|P24821|TENA_HUMAN"," 26.0665644","25.888778"," 26.1664716"," 25.0488934"," 25.168511"," 25.2822627","0.00133853465357155","0.0405448940490974"
"18","sp|P10643|CO7_HUMAN"," 31.9420088","31.942009"," 31.5962663"," 33.3431339"," 33.164867"," 32.9238600","0.0014278975567086","0.0405448940490974"
"19","sp|P17900|SAP3_HUMAN"," 21.8060503","22.066076"," 21.9965325"," 23.4298266"," 23.817546"," 23.4023066","0.00145751698213216","0.0405448940490974"
"20","sp|Q9NPH3|IL1AP_HUMAN"," 23.2106934","23.479558"," 23.0858940"," 22.1620051"," 21.863744"," 22.0912329","0.00148880713006823","0.0405448940490974"
"21","sp|P02774|VTDB_HUMAN"," 33.9746324","33.974632"," 33.8638275"," 33.1648673"," 33.288163"," 33.0623123","0.00159185696220016","0.0405448940490974"
"22","sp|Q16663|CCL15_HUMAN"," 13.0425054","10.912345"," 12.7290026"," 18.8112767"," 20.021496"," 20.0362983","0.00162724880223995","0.0405448940490974"
"23","sp|P01608|KV116_HUMAN"," 28.3997572","28.329180"," 27.8086345"," 30.1249273"," 29.819164"," 30.2881484","0.00171530021050731","0.0405448940490974"
"24","sp|P20742|PZP_HUMAN"," 27.3247006","27.854691"," 28.3154780"," 25.2812716"," 25.217779"," 24.4700680","0.00189497784240806","0.0405448940490974"
"25","sp|P01768|HV307_HUMAN"," 21.5451669","20.366773"," 20.6386097"," 24.7513220"," 23.973211"," 24.5967623","0.00197623214629704","0.0405448940490974"
"26","sp|P01597|KV105_HUMAN"," 28.3527457","28.329180"," 27.8086345"," 30.1249273"," 29.819164"," 30.1500958","0.00202110481710058","0.0405448940490974"
"27","sp|P01606|KV114_HUMAN"," 28.3527457","28.329180"," 27.8086345"," 30.1249273"," 29.819164"," 30.1500958","0.00202110481710058","0.0405448940490974"
"28","sp|P01599|KV107_HUMAN;sp|P01610|KV118_HUMAN"," 28.3527457","28.329180"," 27.8086345"," 30.1249273"," 29.819164"," 30.1500958","0.00202110481710058","0.0405448940490974"
"29","sp|P31949|S10AB_HUMAN"," 20.9375946","20.842173"," 21.4217671"," 18.0555050"," 18.500869"," 18.9673879","0.00217586088450098","0.0405448940490974"
"30","sp|P08107|HSP71_HUMAN;sp|P17066|HSP76_HUMAN"," 22.3219355","21.602832"," 21.1512964"," 18.9010901"," 18.299958"," 18.1065132","0.00223865796390912","0.0405448940490974"
"31","sp|P51884|LUM_HUMAN"," 31.3064441","31.197921"," 30.9922384"," 32.1413280"," 31.873130"," 32.1154421","0.00225529320878748","0.0405448940490974"
"32","sp|Q96IY4|CBPB2_HUMAN"," 26.7022252","26.991732"," 26.7022252"," 25.6417800"," 25.913356"," 25.5053076","0.00230899682724941","0.0405448940490974"
"33","sp|P01033|TIMP1_HUMAN"," 29.8483073","29.772499"," 29.7900216"," 30.3905945"," 30.577521"," 30.5198586","0.00235130022899911","0.0405448940490974"
"34","sp|P00734|THRB_HUMAN"," 33.1648673","32.923860"," 32.8680188"," 31.9909942"," 32.224907"," 32.2249071","0.0023980651824179","0.0405448940490974"
"35","sp|P07900|HS90A_HUMAN;sp|Q92538|GBF1_HUMAN;sp|Q14568|HS902_HUMAN;sp|Q58FF8|H90B2_HUMAN;sp|Q58FG1|HS904_HUMAN"," 23.9732106","24.786955"," 24.7257834"," 22.0912329"," 21.767754"," 22.4615892","0.00246795007255375","0.0405448940490974"
"36","sp|Q12913|PTPRJ_HUMAN"," 21.9828529","21.806050"," 22.1269383"," 23.0714504"," 23.085894"," 22.9528055","0.00254775869124615","0.0406933679851815"
"37","sp|Q86VB7|C163A_HUMAN"," 26.7656412","26.739577"," 27.3107038"," 28.2990535"," 28.753353"," 28.8962469","0.00273230228176471","0.0408855202046053"
"38","sp|P01609|KV117_HUMAN"," 28.4364672","28.379909"," 27.8086345"," 30.2603820"," 29.929270"," 30.2881484","0.00275627226026938","0.0408855202046053"
"39","sp|P80419|HV322_HUMAN"," 13.7566426","13.756643"," 12.1514572"," 18.2999578"," 17.048795"," 18.5486853","0.00277310484866018","0.0408855202046053"
"40","sp|Q9UK55|ZPI_HUMAN"," 26.2444906","26.485984"," 25.9565316"," 24.9553037"," 24.613452"," 25.0889662","0.00304974074125545","0.0432377216992555"
"41","sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"," 31.9909942","31.629418"," 32.1154421"," 34.4909197"," 34.217242"," 35.1473129","0.00308303754725126","0.0432377216992555"
"42","sp|P15169|CBPN_HUMAN"," 27.3499679","27.349968"," 27.4816138"," 26.4752752"," 26.160979"," 26.4269958","0.00319370438830999","0.0436780514417038"
"43","sp|P01619|KV301_HUMAN"," 22.8165606","22.442655"," 22.1447511"," 24.8436541"," 24.205166"," 24.1248590","0.0032663586295535","0.0436780514417038"
"44","sp|P11142|HSP7C_HUMAN;sp|P34931|HS71L_HUMAN"," 22.2754508","21.666394"," 22.3219355"," 19.2505606"," 19.973268"," 18.9010901","0.00335266021736574","0.0438131732951205"
"45","sp|P01769|HV308_HUMAN"," 21.9425435","20.574235"," 21.1331573"," 24.0092939"," 24.399821"," 24.9553037","0.00387942784277637","0.0486898295838589"
"46","sp|P80108|PHLD_HUMAN"," 26.2836314","25.980079"," 26.0665644"," 24.7421465"," 24.982368"," 25.2177795","0.00393924151567035","0.0486898295838589"
"47","sp|O14786|NRP1_HUMAN"," 23.5587074","23.619386"," 23.3198572"," 24.2051660"," 24.596762"," 24.5077704","0.00407870436161342","0.0486898295838589"
"48","sp|P02743|SAMP_HUMAN"," 29.0062055","29.092360"," 28.5917858"," 27.6696820"," 27.439996"," 27.4239273","0.0041772078704844","0.0486898295838589"
"49","sp|P01620|KV302_HUMAN;sp|P18135|KV312_HUMAN"," 26.9041715","27.184016"," 26.6268813"," 28.4364672"," 28.247943"," 28.5030969","0.00427067322072884","0.0486898295838589"
"50","sp|P0DJI8|SAA1_HUMAN"," 28.7533528","27.951616"," 27.0719241"," 24.8201806"," 24.109157"," 23.3151224","0.00429211526206659","0.0486898295838589"
"51","sp|P36955|PEDF_HUMAN"," 30.8221482","30.732504"," 30.5198586"," 31.4108538"," 31.505838"," 31.3064441","0.00443058533624751","0.0486898295838589"
"52","sp|Q14520|HABP2_HUMAN"," 28.6912034","28.591786"," 28.2357809"," 27.6353966"," 27.439996"," 27.2389140","0.00445612608166374","0.0486898295838589"
"53","sp|Q15582|BGH3_HUMAN"," 27.9381179","28.105380"," 27.6353966"," 26.7131414"," 27.065672"," 26.7240576","0.0045464085361609","0.0486898295838589"
"54","sp|P04083|ANXA1_HUMAN"," 18.5008687","19.703256"," 19.5333977"," 16.5982318"," 15.949336"," 15.9493365","0.00464611763262867","0.0486898295838589"
"55","sp|P02749|APOH_HUMAN"," 33.0623123","33.164867"," 33.3981052"," 32.2634552"," 31.990994"," 32.4327092","0.00465728804715172","0.0486898295838589"
"56","sp|P24592|IBP6_HUMAN"," 24.2353435","24.205166"," 24.8690076"," 26.2998709"," 26.331809"," 25.7055232","0.00492087743489242","0.0505268665189847"
"57","sp|P18669|PGAM1_HUMAN;sp|Q8N0Y7|PGAM4_HUMAN"," 23.3198572","22.755749"," 22.2094200"," 19.8705390"," 19.282324"," 20.5978080","0.00504287953280599","0.0508711531818149"
"58","sp|P18428|LBP_HUMAN"," 28.8962469","28.863805"," 28.2990535"," 27.1269323"," 27.520395"," 27.0936050","0.00522319491830691","0.0517816737590771"
"59","sp|P07333|CSF1R_HUMAN"," 26.4174058","26.353743"," 26.5225634"," 27.4009724"," 27.808635"," 27.5010046","0.00536322104854578","0.0522686797104038"
"60","sp|P29622|KAIN_HUMAN"," 28.7285578","29.229712"," 29.0062055"," 27.9381179"," 28.105380"," 27.7606348","0.00570157178460267","0.0544282728961427"
"61","sp|P06889|LV405_HUMAN"," 24.4249322","24.399821"," 23.4298266"," 26.9041715"," 26.205462"," 26.3537430","0.00577412982028644","0.0544282728961427"
"62","sp|P04206|KV307_HUMAN;sp|P18135|KV312_HUMAN;sp|P18136|KV313_HUMAN"," 26.5225634","27.071924"," 26.4174058"," 28.3626092"," 27.775465"," 28.3154780","0.00598827681547451","0.0555364382080297"
"63","sp|P30101|PDIA3_HUMAN"," 19.2023289","20.036298"," 20.1822968"," 15.1908007"," 15.376302"," 16.8803989","0.00624444841287911","0.0569929815461189"
"64","sp|P13671|CO6_HUMAN"," 29.9802637","30.099759"," 29.6038020"," 29.0062055"," 28.863805"," 28.6579217","0.00638774199885567","0.0573898695209689"
"65","sp|P04217|A1BG_HUMAN"," 33.6841307","33.684131"," 33.6841307"," 32.9238600"," 33.004859"," 32.7853947","0.00669013908720686","0.0583353518515535"
"66","sp|P19827|ITIH1_HUMAN"," 31.5962663","31.629418"," 31.3064441"," 30.5775206"," 30.693738"," 30.5775206","0.00675233727271005","0.0583353518515535"
"67","sp|P41222|PTGDS_HUMAN"," 28.3527457","28.271861"," 28.8638049"," 29.6747926"," 30.099759"," 29.5578771","0.00690927890515898","0.0583353518515535"
"68","sp|Q03167|TGBR3_HUMAN"," 21.4835341","21.064032"," 20.9861421"," 22.4840579"," 22.943615"," 23.3483316","0.00697888806760948","0.0583353518515535"
"69","sp|P17813|EGLN_HUMAN"," 21.0308358","20.986142"," 20.7312636"," 21.6797094"," 21.483534"," 21.5195536","0.00700024222218642","0.0583353518515535"
"70","sp|P14207|FOLR2_HUMAN"," 21.6797094","21.569959"," 21.0943914"," 23.1879630"," 22.500663"," 23.1756269","0.00747718144848515","0.059672579082836"
"71","sp|TRFE_HUMAN|"," 31.0076159","32.263455"," 32.5526162"," 28.6912034"," 28.399757"," 27.9381179","0.00764972350894703","0.059672579082836"
"72","sp|Q6UVK1|CSPG4_HUMAN"," 20.9030103","20.236118"," 20.3374159"," 18.6881667"," 18.750439"," 19.4033413","0.00766219658314789","0.059672579082836"
"73","sp|P02746|C1QB_HUMAN"," 29.0923604","29.006206"," 29.3058741"," 29.9292696"," 30.390595"," 30.0003911","0.00768234563852908","0.059672579082836"
"74","sp|P05546|HEP2_HUMAN"," 30.6356294","30.976861"," 30.3159148"," 29.2297119"," 28.967931"," 29.1585771","0.00769572673114364","0.059672579082836"
"75","sp|O95445|APOM_HUMAN"," 28.6579217","28.223618"," 28.1801067"," 26.7656412"," 25.888778"," 25.8339117","0.00778337988036992","0.059672579082836"
"76","sp|P80748|LV302_HUMAN"," 27.0199886","27.317702"," 26.2357293"," 28.9162937"," 28.779507"," 29.4186428","0.0079708111970162","0.0597413291482213"
"77","sp|P01772|HV311_HUMAN"," 23.6512397","23.283224"," 23.2504776"," 26.1609788"," 25.520447"," 26.6839039","0.00800014320767486","0.0597413291482213"
"78","sp|P16930|FAAA_HUMAN"," 21.9064600","21.545167"," 21.8855310"," 22.9788588"," 23.002636"," 23.0301152","0.00822012367588863","0.0605970655594354"
"79","sp|Q99784|NOE1_HUMAN"," 22.9344235","22.736340"," 22.8165606"," 23.7851030"," 24.235343"," 23.8175462","0.00872478644195973","0.0632973523456835"
"80","sp|P01834|IGKC_HUMAN"," 31.6625699","31.505838"," 31.7901830"," 34.3900991"," 33.863827"," 34.9352219","0.00880658815244292","0.0632973523456835"
"81","sp|Q92626|PXDN_HUMAN"," 21.7236545","20.760114"," 20.8604143"," 18.1880907"," 19.460532"," 18.6420395","0.00896294939574647","0.0636258753401756"
"82","sp|Q12805|FBLN3_HUMAN"," 28.8638049","28.896247"," 28.9679310"," 29.7549765"," 29.519342"," 29.8483073","0.00943950510186386","0.0661916516289234"
"83","sp|P23142|FBLN1_HUMAN"," 28.2718606","28.657922"," 28.2718606"," 29.2126126"," 29.092360"," 29.3504514","0.0099094406791761","0.0686497396448947"
"84","sp|P01877|IGHA2_HUMAN"," 29.7900216","28.916294"," 29.8483073"," 31.7901830"," 30.822148"," 31.5962663","0.0111411901818574","0.0757600964943359"
"85","sp|P00751|CFAB_HUMAN"," 33.8638275","33.863827"," 33.6000118"," 33.0623123"," 33.062312"," 33.0048594","0.0112352400300112","0.0757600964943359"
"86","sp|P01591|IGJ_HUMAN"," 28.0584619","26.972769"," 27.4009724"," 29.6747926"," 29.519342"," 29.9292696","0.0113310753017615","0.0757600964943359"
"87","sp|Q01995|TAGL_HUMAN"," 19.6202515","18.299958"," 17.8628125"," 21.0943914"," 22.144751"," 21.9147203","0.011892362976123","0.0776972351915538"
"88","sp|P01613|KV121_HUMAN"," 24.7563958","24.343245"," 24.8201806"," 27.3247006"," 26.224417"," 26.5919014","0.0119931207537449","0.0776972351915538"
"89","sp|O43866|CD5L_HUMAN"," 27.2836318","27.481614"," 26.7240576"," 28.7285578"," 30.020519"," 29.7549765","0.0121756471346729","0.0776972351915538"
"90","sp|P01042|KNG1_HUMAN"," 32.8680188","33.062312"," 33.0623123"," 32.5741437"," 32.304610"," 32.5741437","0.0122390366706451","0.0776972351915538"
"91","sp|P27169|PON1_HUMAN"," 29.7119543","29.711954"," 29.0923604"," 28.3799090"," 28.271861"," 28.0316786","0.0122964320042285","0.0776972351915538"
"92","sp|P15259|PGAM2_HUMAN"," 23.2206612","22.359290"," 21.9147203"," 20.0362983"," 18.857029"," 20.4459316","0.012472457718755","0.0779528607422186"
"93","sp|P98088|MUC5A_HUMAN;sp|Q9HC84|MUC5B_HUMAN"," 23.9465573","24.009294"," 25.0488934"," 19.9200383"," 21.822806"," 19.8611115","0.0127753419020359","0.0789873289642002"
"94","sp|P02747|C1QC_HUMAN"," 30.1723346","30.150096"," 30.6937382"," 31.6625699"," 31.197921"," 31.1979213","0.0131277897243858","0.0803029690587428"
"95","sp|P01598|KV106_HUMAN"," 23.1820689","22.515510"," 21.5699589"," 25.6231781"," 24.786955"," 25.1685107","0.0134031072106865","0.0804201871446789"
"96","sp|Q9UBR2|CATZ_HUMAN"," 22.2378805","21.483534"," 21.3744099"," 22.8418937"," 23.187963"," 23.6111068","0.0135497830691957","0.0804201871446789"
"97","sp|P05452|TETN_HUMAN"," 27.6136450","28.058462"," 28.0156860"," 28.8962469"," 28.691203"," 28.7949346","0.0135665359183197","0.0804201871446789"
"98","sp|P11226|MBL2_HUMAN"," 23.4795579","24.275110"," 23.5387528"," 24.9345342"," 25.336960"," 25.3934380","0.0139351762377526","0.0811184093092742"
"99","sp|P15085|CBPA1_HUMAN"," 19.0234795","17.048795"," 18.3797898"," 20.6913594"," 23.002636"," 22.6360876","0.0139664739506403","0.0811184093092742"
"100","sp|P01700|LV102_HUMAN;sp|P04208|LV106_HUMAN"," 24.8856356","24.746734"," 25.0650117"," 27.0656724"," 26.522563"," 27.6136450","0.014621739586435","0.0836438279025363"
"101","sp|O43707|ACTN4_HUMAN;sp|Q9H254|SPTN4_HUMAN"," 20.1593846","22.468992"," 21.7467946"," 17.4190531"," 17.112161"," 18.3797898","0.0146964876852207","0.0836438279025363"
"102","sp|P03952|KLKB1_HUMAN;sp|P20718|GRAH_HUMAN"," 29.4808073","30.020519"," 30.1500958"," 28.5030969"," 28.379909"," 28.5917858","0.014837687732276","0.0836438279025363"
"103","sp|P07358|CO8B_HUMAN"," 30.2603820","30.260382"," 29.7549765"," 28.9679310"," 29.158577"," 28.9679310","0.0150474943223415","0.084003002284916"
"104","sp|P00748|FA12_HUMAN"," 29.7549765","29.480807"," 29.2297119"," 28.7533528"," 28.810362"," 28.3428822","0.0156972819023698","0.085315428257149"
