"","0","  1.000000","  1.000000","  1.000000","  2.00000","  2.000000","  2.000000","pVal","BHpVal"
"1","sp|P02774|VTDB_HUMAN"," 34.132796"," 34.118425"," 34.050502"," 33.13733"," 33.161929"," 33.095946","1.31722284817014e-05","0.00757403137697832"
"2","sp|Q13790|APOF_HUMAN"," 27.126933"," 27.156530"," 27.358447"," 24.95362"," 24.776415"," 24.829951","2.76654399109254e-05","0.00795381397439106"
"3","sp|Q13201|MMRN1_HUMAN"," 16.876629"," 17.719611"," 17.586157"," 22.67724"," 22.137105"," 22.031250","0.000183348174949166","0.0351417335319235"
"4","sp|P01714|LV301_HUMAN"," 24.342616"," 24.383413"," 24.214548"," 26.93447"," 26.520743"," 26.737307","0.000623828913569365","0.0398778370471781"
"5","sp|P01876|IGHA1_HUMAN"," 32.173537"," 31.614743"," 32.010052"," 34.61710"," 34.025766"," 34.546577","0.00063156762851809","0.0398778370471781"
"6","sp|P17900|SAP3_HUMAN"," 21.714864"," 22.093230"," 21.906938"," 23.49966"," 23.747497"," 23.316401","0.000678380365270869","0.0398778370471781"
"7","sp|P16930|FAAA_HUMAN"," 21.810016"," 21.585802"," 21.755138"," 22.97903"," 23.069883"," 22.987955","0.00070824150088384","0.0398778370471781"
"8","sp|Q12913|PTPRJ_HUMAN"," 21.934153"," 21.858694"," 22.114978"," 23.15188"," 23.120512"," 22.883266","0.000723398876665536","0.0398778370471781"
"9","sp|P02790|HEMO_HUMAN"," 35.789951"," 35.691454"," 35.962982"," 34.79434"," 34.568947"," 34.470054","0.000757762995960208","0.0398778370471781"
"10","sp|Q96PD5|PGRP2_HUMAN"," 29.969073"," 30.234078"," 29.963968"," 29.07328"," 28.882323"," 28.877805","0.000860118258060181","0.0398778370471781"
"11","sp|P07333|CSF1R_HUMAN"," 26.297447"," 26.350845"," 26.593143"," 27.44720"," 27.812878"," 27.619681","0.00105914224791951","0.0398778370471781"
"12","sp|P00734|THRB_HUMAN"," 32.973202"," 33.120054"," 32.999955"," 31.89859"," 32.165580"," 32.014770","0.00108321256080369","0.0398778370471781"
"13","sp|P06276|CHLE_HUMAN"," 25.616683"," 25.615081"," 25.750417"," 24.83409"," 24.827351"," 25.030221","0.00125753621191619","0.0398778370471781"
