"","0","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"1","sp|P60900|PSA6_HUMAN","1.074969e+06","1.203317e+06","1.145277e+06","3.015983e+05","3.212282e+05","3.776860e+05","0.000180397112940274","0.0351531364988953"
"2","sp|P01621|KV303_HUMAN;sp|P18135|KV312_HUMAN","1.333636e+07","8.414913e+06","6.401128e+06","7.888264e+07","7.709262e+07","8.834283e+07","0.000241586253267652","0.0351531364988953"
"3","sp|Q12913|PTPRJ_HUMAN","2.798330e+06","2.165004e+06","3.715450e+06","1.108514e+07","1.193100e+07","1.175107e+07","0.000327008259260385","0.0351531364988953"
"4","sp|P28827|PTPRM_HUMAN","1.973480e+05","8.240197e+04","2.080337e+04","1.396298e+06","1.682774e+06","1.476848e+06","0.000451713918290926","0.0351531364988953"
"5","Int_P06396ups|GELS_HUMAN_UPS","1.391621e+09","1.295897e+09","1.647066e+09","2.979131e+09","3.181600e+09","2.969242e+09","0.000495628585420242","0.0351531364988953"
"6","sp|P05546|HEP2_HUMAN","1.391621e+09","1.481025e+09","1.394449e+09","7.888264e+08","6.261226e+08","7.019163e+08","0.000560480946717334","0.0351531364988953"
"7","sp|P05452|TETN_HUMAN","1.642885e+08","1.884940e+08","2.495861e+08","6.057237e+08","5.159903e+08","5.707660e+08","0.000568968418585024","0.0351531364988953"
"8","sp|P01023|A2MG_HUMAN","4.561423e+10","3.601583e+10","5.143293e+10","9.689599e+10","1.091126e+11","1.070186e+11","0.000599478116401137","0.0351531364988953"
"9","sp|P22897|MRC1_HUMAN","1.855494e+07","1.977504e+07","2.970782e+07","6.631289e+07","7.801039e+07","7.806065e+07","0.00064679608907256","0.0351531364988953"
"10","sp|P00533|EGFR_HUMAN","6.539422e+05","5.441663e+05","4.416048e+05","1.753668e+06","1.809589e+06","1.725700e+06","0.000746045223529119","0.0351531364988953"
"11","sp|Q9BWP8|COL11_HUMAN","9.809454e+05","2.508756e+06","1.859703e+06","8.572487e+06","7.715607e+06","8.319309e+06","0.000797875829988922","0.0351531364988953"
"12","sp|P51884|LUM_HUMAN","2.213063e+09","1.859696e+09","2.031045e+09","4.691389e+09","4.619439e+09","4.616490e+09","0.000903712655413037","0.0351531364988953"
"13","sp|O00391|QSOX1_HUMAN","1.662213e+08","1.253822e+08","1.768323e+08","3.652157e+08","3.242785e+08","3.284003e+08","0.000989049930791072","0.0351531364988953"
"14","sp|P22692|IBP4_HUMAN","1.913478e+07","1.405290e+07","3.718530e+07","1.059027e+08","1.264482e+08","1.342979e+08","0.00099296372241153","0.0351531364988953"
"15","sp|P02746|C1QB_HUMAN","4.861008e+08","3.618412e+08","6.163868e+08","1.326258e+09","1.590800e+09","1.384947e+09","0.000996527747995475","0.0351531364988953"
"16","sp|Q96PD5|PGRP2_HUMAN","8.562332e+08","8.919807e+08","8.447531e+08","6.304673e+08","6.251029e+08","6.106357e+08","0.00103617186534005","0.0351531364988953"
"17","sp|P20774|MIME_HUMAN","9.953952e+06","5.509077e+06","1.162041e+07","3.068208e+07","3.538511e+07","2.895798e+07","0.00103931012257604","0.0351531364988953"
"18","sp|P27918|PROP_HUMAN","4.503439e+07","4.140137e+07","9.326640e+07","2.306105e+08","2.957257e+08","2.654482e+08","0.00133378404742703","0.0416674288888229"
"19","sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN","1.014723e+10","9.172255e+09","1.020575e+10","1.375745e+10","1.397049e+10","1.290519e+10","0.00137683678067415","0.0416674288888229"
"20","sp|P01033|TIMP1_HUMAN","7.827865e+08","5.991418e+08","8.033238e+08","1.751848e+09","1.784551e+09","1.710200e+09","0.00187760204876912","0.0512788647930425"
"21","sp|Q13822|ENPP2_HUMAN","2.058439e+07","1.186503e+07","1.414658e+07","4.701287e+07","4.945757e+07","5.896517e+07","0.00190727509805455","0.0512788647930425"
"22","sp|Q7Z7M0|MEGF8_HUMAN","5.094561e+05","1.225981e+06","1.494857e+06","4.364357e+06","3.994443e+06","3.477033e+06","0.00196197395729902","0.0512788647930425"
"23","sp|P16930|FAAA_HUMAN","2.561510e+06","1.779339e+06","2.897120e+06","9.851747e+06","1.152310e+07","1.259043e+07","0.00316012402221153","0.0680466688691398"
"24","sp|P19827|ITIH1_HUMAN","3.034506e+09","2.869485e+09","3.021306e+09","1.989387e+09","2.100672e+09","1.741676e+09","0.00346747685200158","0.0680466688691398"
"25","sp|P41222|PTGDS_HUMAN","3.121482e+08","2.027994e+08","4.395545e+08","1.039232e+09","1.305272e+09","9.998898e+08","0.00355975975559456","0.0680466688691398"
"26","sp|P07998|RNAS1_HUMAN","3.653004e+07","1.943845e+07","4.749210e+07","1.454925e+08","1.978303e+08","1.731184e+08","0.00370744134545055","0.0680466688691398"
"27","sp|Q92520|FAM3C_HUMAN","3.738160e+06","2.027591e+06","4.341461e+06","1.187693e+07","1.014315e+07","8.929618e+06","0.00370893193624113","0.0680466688691398"
"28","sp|Q12805|FBLN3_HUMAN","4.000909e+08","3.180837e+08","4.910885e+08","1.108514e+09","9.718157e+08","1.259043e+09","0.00383655316356371","0.0680466688691398"
"29","sp|P19021|AMD_HUMAN","1.559586e+06","1.113937e+06","1.329978e+06","2.444251e+06","2.161725e+06","2.506072e+06","0.00383921269399227","0.0680466688691398"
"30","sp|P00746|CFAD_HUMAN","1.671877e+08","1.169673e+08","3.395180e+08","9.194727e+08","1.019744e+09","7.291956e+08","0.00391020536477956","0.0680466688691398"
