"","0"," 1.00000"," 1.00000"," 1.00000"," 2.00000"," 2.00000"," 2.00000","pVal","BHpVal"
"1","sp|Q13790|APOF_HUMAN","27.18360","27.17415","27.30371","24.98520","24.75217","24.85118","3.71178216655814e-05","0.0213427474577093"
"2","sp|P17900|SAP3_HUMAN","21.73003","22.01729","21.95386","23.57085","23.74479","23.42691","0.000189627930547659","0.0385973893091995"
"3","sp|Q13201|MMRN1_HUMAN","18.45694","18.77213","18.74004","22.78138","22.19744","22.23572","0.000369042623326048","0.0385973893091995"
"4","sp|P35858|ALS_HUMAN","28.09346","28.48452","28.62853","26.17635","26.43651","26.01152","0.000562550368348461","0.0385973893091995"
"5","sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN","32.34361","32.04918","32.42494","34.17341","33.79385","34.21616","0.000602724937403361","0.0385973893091995"
"6","sp|A0M8Q6|LAC7_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN","31.89492","31.49358","31.81428","33.53955","33.17123","33.64193","0.000893265259978268","0.0385973893091995"
"7","sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN","31.62720","31.39049","31.78186","33.58846","33.12469","33.56793","0.000918694343141713","0.0385973893091995"
"8","sp|P02748|CO9_HUMAN","32.22152","32.13141","31.92446","30.68893","30.82637","30.82262","0.000941617287074907","0.0385973893091995"
"9","sp|P01876|IGHA1_HUMAN","32.36751","31.79544","31.94133","34.48891","33.90818","34.08081","0.000944658241354783","0.0385973893091995"
"10","sp|P07333|CSF1R_HUMAN","26.33312","26.34061","26.54186","27.43186","27.75126","27.49627","0.00106890374857754","0.0385973893091995"
"11","sp|P15169|CBPN_HUMAN","27.40036","27.21092","27.48035","26.48752","26.28222","26.53128","0.00110909090499554","0.0385973893091995"
"12","sp|P01714|LV301_HUMAN","24.33739","24.31463","24.18442","26.92785","26.47264","26.65843","0.00114611457129629","0.0385973893091995"
"13","sp|P01768|HV307_HUMAN","21.54610","20.47544","20.76220","24.78490","23.92941","24.81888","0.00120437959500933","0.0385973893091995"
