"Protein","1","1","1","1","1","1","1","2","2","2","2","2","2","LogFC","Zstatistic","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|Q96SI9|STRBP_HUMAN","86.9268615823115","178.834754924468","364.348671857819","533.52433169204","405.777585059496","431.183907354572","93.5919240563226","773.071461553701","127.909994918089","506.957698945356","203.90819894065","9439.63728073157","4698.18006561511","16.1465697767456","0.157508119382108",2.61413469512461e-06,1.30706734783838e-06,0.222407620955906
"sp|Q4VC31|CCD58_HUMAN","3741.05522623288","3032.32119340905","8805.18873602194","6739.03148094586","6529.48557699373","5515.55080892925","1832.57252909602","24200.6520315034","24092.7068123645","7845.96162913708","8867.58440617283","31047.1675399618","29509.0162542384","10.6128590510472","0.114476751656862",0.00130209963856331,0.000651049819281933,0.254569766791094
"sp|Q9P2A4|ABI3_HUMAN","33716.6351308736","68745.6587760481","23829.8488389951","20425.0842165129","108189.461219075","125110.255003988","6283.23932685458","71099.5374648863","82712.7685654764","84287.120250948","281750.295765844","50718.960960191","38213.1681981522","10.3662616144504","0.108414021948419",0.00265321715688989,0.00132660857844522,0.259830320645079
"sp|Q9H4G0|E41L1_HUMAN","5.2222384105029e-06","859.559563968378","426.561484049612","2020.09975776675","680.943155130861","1482.57819311332","5.36959416485344e-06","25020.1029383003","17224.0136735492","5946.50429487937","7755.14233621962","41703.4087288476","15996.2474171431","9.99524151381165","0.104861216501015",0.003951728194849,0.00197586409742478,0.26299931471319
"sp|Q3YEC7|RABL6_HUMAN","4270.41261414071","4956.9838396134","8354.33290279129","7433.11844062077","23096.6565693131","33975.4895247098","2256.85435406733","71882.7001117162","50389.7324614208","85540.0440149476","53998.4639757228","33160.1502229073","85286.9511855804","9.19660514059577","0.0909835002881103",0.016405275965669,0.00820263798283478,0.275880234656894
"sp|P16401|H15_HUMAN","335357.632429713","416478.773814643","603457.02938522","554355.502101077","871562.804590512","841660.86159823","223459.395132462","6226120.55383459","6160408.38142045","5796792.34138455","4924786.94698014","3927836.91240689","3481486.49510535","9.7148323131705","0.0897245113325185",0.0184725595396869,0.0092362797698437,0.277074333097038
"sp|Q16512|PKN1_HUMAN","21406.41612808","14094.289379691","33260.0352322309","19088.4124728576","100237.278835386","122124.331573332","4304.2071063623","119852.654859243","114960.266172937","175040.170304356","174978.23765353","112301.443675519","96740.8478285564","8.90039898076503","0.088324654658102",0.0210354211886103,0.0105177105943054,0.278403138472377
"sp|Q9NQ48|LZTL1_HUMAN","76124.9118365181","76115.4995643498","147013.208598152","105589.83545712","183552.861930084","202725.455346143","38627.0354579868","247177.172682837","208478.600243343","305421.985751311","293546.047555268","252887.960241568","229827.781058346","8.78859324684694","0.0879228761336668",0.0218259576919187,0.0109129788459596,0.278784541115708
"sp|Q92959|SO2A1_HUMAN","11907.6120313183","27708.9711623453","28609.7404187664","15827.8130256129","84069.0872163716","89063.6978595477","3194.49050410814","10608.2535978021","12039.7180043236","31458.8538984713","35412.0421527393","33428.5860519246","35755.947388846","8.41151005647475","0.0870656248633976",0.0235994361525033,0.0117997180762519,0.279598066980298
"sp|P30533|AMRP_HUMAN","6130.24203764411","5517.88855761942","9137.27344779049","19348.694971156","12728.1040669388","8039.94263921073","4145.69690032567","59420.1963112517","47052.3412152584","33362.6160238065","26200.3809189155","30216.853909263","19005.2871400078","8.94197594424636","0.0870363107028317",0.023662227903239,0.0118311139516198,0.279625876456683
"sp|Q9H6Z4|RANB3_HUMAN","18678.3723782661","17810.2116360744","22314.8713087952","26007.4645357095","36627.6840965342","24345.9901355443","17464.1307839988","28365.3445957391","25492.7477741998","57704.7781298939","55901.7455832965","115444.83613111","80204.5333586186","8.39908165202156","0.086931019477292",0.023888959879215,0.0119444799396078,0.279725756664109
"sp|Q6UWP2|DHR11_HUMAN","20590.7223589766","33999.8391035094","36411.2945412534","44221.9770521361","41868.65411955","26371.1985174953","20591.3122450137","69223.9845331789","28144.4067457172","22535.7126906791","33639.445751169","42585.8857836579","29951.1359304347","8.89920432875605","0.0867190607312661",0.0243510995449001,0.0121755497724503,0.279926788778822
"sp|Q8N3C0|ASCC3_HUMAN","5430.09178693327","4368.6373860951","14019.9861274391","9039.92309602338","14365.597709704","29166.3234111593","1725.92972190461","112048.212889423","109926.917847984","120316.725433227","116136.027848221","57526.0095331352","77487.4712130691","8.79298896380303","0.0863782222420811",0.0251104646364928,0.0125552323182467,0.280249948628844
"sp|Q9UEW8|STK39_HUMAN","2925.14253723974","4468.79899350573","4192.83124507575","6163.3237283994","7685.1547004109","5315.28632478471","1997.99198363908","73185.9081758288","35965.2026909496","32723.1250793188","45126.1684478048","50374.3065771041","42312.9387458898","8.37106981182804","0.085328285071998",0.0275796267998217,0.0137898133999111,0.281244328544254
"sp|Q8TC07|TBC15_HUMAN","207960.986397283","197198.169524697","294076.211718618","240216.612724029","410737.008853802","421172.901759488","109912.648620853","680656.657829747","567690.892456195","1013722.17247298","846396.982538436","611312.669606041","770987.78032575","8.53997852137209","0.0847706914613998",0.0289739310328177,0.0144869655164091,0.281771539705836
"sp|Q12931|TRAP1_HUMAN","2035330.16608913","2113692.6163535","1971340.46974412","2132544.95778447","8369972.13007489","5804625.82050894","281449.57032315","8936213.58345775","8637674.86152056","24129382.9641108","25447147.6597966","9734280.11722383","7517831.10859754","8.28172896204811","0.0839597229008038",0.0311096460571881,0.0155548230285943,0.282536905823339
"sp|O00139|KIF2A_HUMAN","20099.2774354482","20500.0283494382","57647.8795822914","57494.373645978","114551.236349338","109051.090271119","23075.1774599566","77588.7564078337","61162.8561206258","260117.010770022","276707.280859951","177353.607989994","227644.639385072","8.4551431751844","0.083577019984659",0.032163432987262,0.0160817164936313,0.282897403780049
"sp|Q8TE73|DYH5_HUMAN","72.8340592386232","6.17902268730573e-06","2568.56675772423","5916.66193242562","725.447558219469","750.31859846243","4686.08582129729","2038.27461417041","2848.82774249038","2373.38446200124","649.373613905277","29005.7960186258","36161.1774627692","8.37889479113834","0.083100663517832",0.0335175785667885,0.0167587892833945,0.283345416784872
"sp|P49407|ARRB1_HUMAN","462550.573981796","567656.542769784","1085710.35230045","967421.481270731","1866465.18169593","1868748.70287961","176302.294658927","703338.824564697","761663.121406759","1151547.92757466","1162564.59718546","450882.822861668","594037.582028053","-8.1161999282033","-0.0829363205173548",0.0152193021847677,0.00760965109238414,0.0014455052439017
"sp|Q9Y2S7|PDIP2_HUMAN","18506.8011455281","21094.929132067","24587.1236864359","15360.2709252027","20672.8034706476","20070.2550987838","3547.05145022376","73213.9666735576","63564.7717098909","46654.7128579017","56650.9509668722","86657.4006334209","91382.2065259037","8.50230702408988","0.0827433583854224",0.0345649380394448,0.0172824690197227,0.283680899067539
"sp|Q9NZN3|EHD3_HUMAN","100304.948272694","123177.927059641","725242.228203405","634554.344159941","618578.199189652","531500.494427451","81722.2580454756","339496.02274867","209685.186296061","434984.941402315","358766.646052936","173160.520868882","157731.141073353","-8.35065216149234","-0.0823034438486939",0.0161672642829836,0.00808363214149209,0.00153522380309876
"sp|Q03405|UPAR_HUMAN","287.220243897656","206.404522258437","4087.05375322606","1.01899286237496e-05","8173.47067234629","13741.8404088638","127.91068851061","63057.8539641252","53954.7464527858","90393.3525563998","100844.975729794","62940.2138629172","74308.58868387","8.3206834583484","0.0814984677953438",0.0384343339737214,0.019217166986861,0.284845388341868
"sp|Q2M2I8|AAK1_HUMAN","8567.48580712585","9888.85323677135","9186.78964117386","7430.69212894408","28122.6011301886","22511.2676274764","5.36959416485344e-06","31892.0759619267","24622.2231513887","169318.577905031","147854.453853574","142847.572563206","130912.858712045","7.78320724030365","0.0814548854632591",0.0385761890995945,0.0192880945497975,0.284886019159724
"sp|Q96CT7|CC124_HUMAN","7353.25990084529","9887.18014897734","33354.740396995","18244.80503434","19790.5358129208","15272.1895385419","24782.378356905","136136.221252025","126269.829701198","147105.815729339","122639.8730959","104399.859864723","106371.402242695","8.27805234169451","0.0813294009937205",0.0389871026452476,0.0194935513226241,0.285002948990468
"sp|O94911|ABCA8_HUMAN","12181.2208101376","16117.529920132","102416.507851953","64648.7040991318","221213.819930823","260579.997181619","14606.6893447817","76723.8391918831","75984.0495993313","41880.5532694944","47118.4514931693","91126.7448179042","54864.0562223869","7.89400826731458","0.0811235238207181",0.0396692903122061,0.0198346451561033,0.285194605973098
"sp|P39748|FEN1_HUMAN","43906.5945591298","83717.5047720817","103917.438245741","80450.2568838669","151179.024362553","190639.041954463","41846.5268741444","379603.68736829","326731.406055972","702328.403242341","714293.333099137","302252.399026274","333537.70758275","8.03922642199847","0.081085764689841",0.0397954961802107,0.0198977480901056,0.285229731471087
"sp|Q00765|REEP5_HUMAN","117301.503173204","101487.580881421","165995.16128515","121739.047105748","164127.160878085","207690.180259157","46987.288024599","449261.030210015","418957.142797066","421352.354213253","429132.90897659","420765.634035688","390370.156084763","8.34774549147849","0.0806248413315636",0.0413636217159867,0.0206818108579936,0.28565784359869
"sp|Q9BXJ9|NAA15_HUMAN","4007.90942715837","4568.83688205252","16563.8361459236","13995.0466245162","10357.5169914216","15101.8287932888","1688.71432015913","196645.023943886","159579.12190311","63502.3525199006","115035.919235668","74506.2559829382","74055.0540194065","8.03034769271734","0.0798752705164772",0.0440248846046565,0.0220124423023285,0.286351250210563
"sp|P20933|ASPG_HUMAN","20991.3909399987","31779.0149019904","35264.6086748863","26342.2224608482","50315.1244016387","62580.8020572353","8438.66640403653","112452.155182823","176397.16740485","269402.723322634","223808.919513787","86887.2436645521","115895.696089788","8.16764113669639","0.07964722495705",0.0448625236695731,0.0224312618347868,0.28656146503873
"sp|P16050|LOX15_HUMAN","51129.2486900025","59717.0913732138","35036.5632615444","24691.6037342321","62944.8240064505","50312.676639949","31841.5172587835","95088.2020639748","76508.4874383826","38501.4256650756","59159.7319710439","335073.012658727","330210.290803023","-8.00235095741855","-0.078918555382289",0.0221691567794124,0.0110845783897065,0.00210541137558966
"sp|P22570|ADRO_HUMAN","1833515.8921681","654697.644424892","859097.706569437","743019.761985991","1021645.10346947","2012638.27741587","407844.437758062","574265.181611706","925889.980368055","2199653.3872473","2502287.28642258","1310140.12535122","1036588.97333684","-7.57959475708694","-0.078853268416716",0.0223018103042526,0.0111509051521266,0.00211805749627692
"sp|Q8NCW5|NNRE_HUMAN","17180.347894468","9257.45810189649","15293.9885221659","26594.0083113421","105888.301414279","130743.487504057","1645.51773767564","230602.827725741","278955.279635174","211109.765553479","286592.849114896","121064.985286554","163891.597839648","8.29185974503669","0.078604669945576",0.0488640730852838,0.0244320365426422,0.287517615342763
