"Protein","1","1","1","1","1","1","1","2","2","2","2","2","2","LogFC","Zstatistic","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|Q96SI9|STRBP_HUMAN","218.887386977919","393.868213113061","478.094535146812","791.909140119879","392.120346356667","417.578960436784","401.095966249357","410.707710506611","67.9453146342954","228.174392806178","91.8289223727927","4633.37535785546","2311.7475536376","39.3584729542445","0.399437344694327",9.60345584458399e-37,4.801727922292e-37,0.130116170509622
"sp|Q92922|SMRC1_HUMAN","2482.20461524945","2886.80626881903","1739.28781982722","3059.72646199136","3113.09816981651","2617.93254959933","2255.54049128786","19416.6933863186","18420.5213790794","3343.57417471198","7771.8335498275","4995.21984301118","6881.24797006157","17.5957654705101","0.1763785931155",1.75798128041911e-07,8.78990640209557e-08,0.209530963737496
"sp|Q9Y6Q5|AP1M2_HUMAN","6352.89101121678","2929.28138959413","813.239290409898","3969.90804128837","1897.84977162944","4850.32211821219","909.65608083905","15286.8764273908","17410.1854823243","10379.6446771405","4946.19136723854","6095.21219142336","8670.76780258268","16.1051798701216","0.156005509009116",5.80496632971976e-06,2.90248316485988e-06,0.221900779707973
"sp|Q13895|BYST_HUMAN","6158.04337552355","1662.61264972554","6641.90456126807","7108.79772242057","6518.13186530785","12810.7909284276","2.30118419044651e-05","30444.5076370473","30355.689328421","32774.8555419406","33091.1128361593","30792.0716203598","28772.5719654756","15.1631807809684","0.153214982367863",9.05295134803185e-06,4.52647567401593e-06,0.223709696009546
"sp|O43264|ZW10_HUMAN","939.071612709582","2232.07359037302","1616.33962261383","1542.09650790354","1527.16266223506","168.796458210598","13423.0226724626","16479.9940639719","16919.1614853601","7478.66232023045","4262.82439955689","1775.42356081251","9011.45841508073","14.2634088667413","0.141588146476257",5.27096827024745e-05,2.63548413512373e-05,0.231574596411105
"sp|Q9H4G0|E41L1_HUMAN","1.31499297115231e-05","1893.10623467713","559.729539806904","2998.4301879091","658.024680687981","1435.7990873194","2.30118419044651e-05","13292.3664958175","9149.33214612465","2676.43633704768","3492.48518344252","20469.8062644036","7870.98095805336","13.2399180708433","0.131897454730167",0.000204888710643087,0.000102444355321543,0.238562496876689
"sp|Q92614|MY18A_HUMAN","2899.51849728003","6669.13170670033","1140.33752488475","4109.20131916712","1558.04792190849","4665.91384453743","402.86070229334","8.19830428907897e-06","908.832201780814","5442.9191145018","1732.76104478628","37362.6803760991","35279.7618829888","12.7090375192069","0.123500727729439",0.000612460373378635,0.000306230186689317,0.244960653144704
"sp|Q9UN86|G3BP2_HUMAN","1.31499297115231e-05","1.36087676339092e-05","10788.6404332528","14516.9529974192","1.00640570701124e-05","9.85894554512269e-06","19544.4495343511","18805.150879806","18260.7486379779","13477.5685764044","6132.23506445447","6.69551559441672e-06","7395.6243035185","12.3613156498914","0.122647049295264",0.000681694615313088,0.000340847307656544,0.245629698452372
"sp|Q16656|NRF1_HUMAN","2183.8627353295","6410.53559063029","4963.45956716518","6501.72460526209","10697.792444643","6115.88796503258","14665.1376079817","14555.7587752172","21887.1967757833","12879.3189522324","8130.32606796868","21876.3943821622","26535.846544968","11.73372858308","0.116709654287524",0.00140508218252731,0.000702541091263654,0.250379366935363
"sp|Q9BXW7|CECR5_HUMAN","10205.6684416404","9421.61690638101","4527.79282196144","2825.7770349785","6021.94477870325","2986.04171267652","1152.33062308049","28130.4430695282","49102.2041809382","18523.6390654169","6884.59420064334","25260.8883442631","31172.6364518638","10.6362812773515","0.108246864532056",0.00369030782832042,0.00184515391416021,0.257437885165713
