"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1","QPROTmodel","AI-G",1e-06,0,0,0,0,0
"2","QPROTmodel","AI-G",2e-06,0,0,0,0,0
"3","QPROTmodel","AI-G",3e-06,3,3,0,6,1
"4","QPROTmodel","AI-G",4e-06,3,3,0,6,1
"5","QPROTmodel","AI-G",5e-06,3,3,0,6,1
"6","QPROTmodel","AI-G",6e-06,3,3,0,6,1
"7","QPROTmodel","AI-G",7e-06,3,3,0,6,1
"8","QPROTmodel","AI-G",8e-06,3,3,0,6,1
"9","QPROTmodel","AI-G",9e-06,3,3,0,6,1
"10","QPROTmodel","AI-G",1e-05,3,3,0,6,1
"11","QPROTmodel","AI-G",2e-05,3,3,0,6,1
"12","QPROTmodel","AI-G",3e-05,3,3,0,6,1
"13","QPROTmodel","AI-G",4e-05,3,3,0,6,1
"14","QPROTmodel","AI-G",5e-05,3,3,0,6,1
"15","QPROTmodel","AI-G",6e-05,3,3,0,6,1
"16","QPROTmodel","AI-G",7e-05,3,3,0,6,1
"17","QPROTmodel","AI-G",8e-05,3,3,0,6,1
"18","QPROTmodel","AI-G",9e-05,3,3,0,6,1
"19","QPROTmodel","AI-G",1e-04,3,3,0,6,1
"20","QPROTmodel","AI-G",2e-04,3,3,0,6,1
"21","QPROTmodel","AI-G",3e-04,3,3,0,6,1
"22","QPROTmodel","AI-G",4e-04,3,3,0,6,1
"23","QPROTmodel","AI-G",5e-04,3,3,0,6,1
"24","QPROTmodel","AI-G",6e-04,3,3,0,6,1
"25","QPROTmodel","AI-G",7e-04,3,3,0,6,1
"26","QPROTmodel","AI-G",8e-04,3,3,0,6,1
"27","QPROTmodel","AI-G",9e-04,3,3,0,6,1
"28","QPROTmodel","AI-G",0.001,3,3,0,6,1
"29","QPROTmodel","AI-G",0.002,3,3,0,6,2
"30","QPROTmodel","AI-G",0.003,0,0,0,0,3
"31","QPROTmodel","AI-G",0.004,0,0,0,0,4
"32","QPROTmodel","AI-G",0.005,0,0,0,0,4
"33","QPROTmodel","AI-G",0.006,0,0,0,0,4
"34","QPROTmodel","AI-G",0.007,0,0,0,0,4
"35","QPROTmodel","AI-G",0.008,0,0,0,0,4
"36","QPROTmodel","AI-G",0.009,0,0,0,0,4
"37","QPROTmodel","AI-G",0.01,0,0,0,0,4
"38","QPROTmodel","AI-G",0.02,0,0,0,0,8
"39","QPROTmodel","AI-G",0.03,0,0,0,0,23
"40","QPROTmodel","AI-G",0.04,0,0,0,0,38
"41","QPROTmodel","AI-G",0.05,0,0,0,0,49
"42","QPROTmodel","AI-G",0.06,0,0,0,0,60
"43","QPROTmodel","AI-G",0.07,0,0,0,0,69
"44","QPROTmodel","AI-G",0.08,0,0,0,0,80
"45","QPROTmodel","AI-G",0.09,0,0,0,0,97
"46","QPROTmodel","AI-G",0.1,0,0,0,0,109
