"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1","QPROTmodel","TI-G",1e-06,3,3,0,6,1
"2","QPROTmodel","TI-G",2e-06,3,3,0,6,1
"3","QPROTmodel","TI-G",3e-06,3,3,0,6,1
"4","QPROTmodel","TI-G",4e-06,3,3,0,6,1
"5","QPROTmodel","TI-G",5e-06,3,3,0,6,1
"6","QPROTmodel","TI-G",6e-06,3,3,0,6,1
"7","QPROTmodel","TI-G",7e-06,3,3,0,6,1
"8","QPROTmodel","TI-G",8e-06,3,3,0,6,1
"9","QPROTmodel","TI-G",9e-06,3,3,0,6,1
"10","QPROTmodel","TI-G",1e-05,3,3,0,6,1
"11","QPROTmodel","TI-G",2e-05,3,3,0,6,1
"12","QPROTmodel","TI-G",3e-05,0,0,1,1,2
"13","QPROTmodel","TI-G",4e-05,0,0,1,1,2
"14","QPROTmodel","TI-G",5e-05,0,0,1,1,2
"15","QPROTmodel","TI-G",6e-05,0,0,1,1,2
"16","QPROTmodel","TI-G",7e-05,0,0,1,1,2
"17","QPROTmodel","TI-G",8e-05,0,0,1,1,2
"18","QPROTmodel","TI-G",9e-05,0,0,1,1,2
"19","QPROTmodel","TI-G",1e-04,0,0,1,1,2
"20","QPROTmodel","TI-G",2e-04,0,0,0,0,3
"21","QPROTmodel","TI-G",3e-04,0,0,0,0,3
"22","QPROTmodel","TI-G",4e-04,0,0,0,0,3
"23","QPROTmodel","TI-G",5e-04,0,0,0,0,3
"24","QPROTmodel","TI-G",6e-04,0,0,0,0,3
"25","QPROTmodel","TI-G",7e-04,0,0,0,0,3
"26","QPROTmodel","TI-G",8e-04,0,0,0,0,3
"27","QPROTmodel","TI-G",9e-04,0,0,0,0,3
"28","QPROTmodel","TI-G",0.001,0,0,0,0,3
"29","QPROTmodel","TI-G",0.002,0,0,0,0,6
"30","QPROTmodel","TI-G",0.003,0,0,0,0,7
"31","QPROTmodel","TI-G",0.004,0,0,0,0,8
"32","QPROTmodel","TI-G",0.005,0,0,0,0,10
"33","QPROTmodel","TI-G",0.006,0,0,0,0,11
"34","QPROTmodel","TI-G",0.007,0,0,0,0,12
"35","QPROTmodel","TI-G",0.008,0,0,0,0,12
"36","QPROTmodel","TI-G",0.009,0,0,0,0,13
"37","QPROTmodel","TI-G",0.01,0,0,0,0,14
"38","QPROTmodel","TI-G",0.02,0,0,0,0,19
"39","QPROTmodel","TI-G",0.03,0,0,0,0,25
"40","QPROTmodel","TI-G",0.04,0,0,0,0,34
"41","QPROTmodel","TI-G",0.05,0,0,0,0,39
"42","QPROTmodel","TI-G",0.06,0,0,0,0,51
"43","QPROTmodel","TI-G",0.07,0,0,0,0,60
"44","QPROTmodel","TI-G",0.08,0,0,0,0,67
"45","QPROTmodel","TI-G",0.09,0,0,0,0,82
"46","QPROTmodel","TI-G",0.1,0,0,0,0,90
