"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"0",1,1,1,1,1,1,1,2,2,2,2,2,2,"LogFC","Zstatistic"
"sp|Q15149|PLEC_HUMAN",24.9522767879246,24.9531055924635,24.9231704031974,24.928706753805,25.0245572724421,25.0053236348658,24.6947310856753,25.6523920909047,25.7162230175119,25.3110890831937,25.300119190384,24.9327688839924,24.9684567185963,"0.385742600636082","2.53270064084603"
"sp|P35579|MYH9_HUMAN",25.7589494848118,25.6686069358177,25.5008553318593,25.5578982670874,25.6360131238414,25.6528782183234,25.4882329231017,26.4011110911003,26.4569507680643,26.3090924781864,26.3765969709606,25.9785183271653,25.9838154405024,"0.64441560702731","5.51634222331172"
"sp|Q09666|AHNK_HUMAN",25.2141521758054,25.2072534356952,25.8103172729853,25.8337174372251,25.6331524658064,25.6571427718322,25.2497276343686,24.8557226499598,24.7666401123126,24.6652922700517,24.7340361174837,24.5475390071576,24.5190543021748,"-0.825759843609096","-5.57991055500801"
"sp|P35749|MYH11_HUMAN",25.3716238081879,25.1515120078791,25.0721201682768,25.160250639062,25.522958763053,25.5260960708134,25.2789216748265,22.9873229408231,23.0197686618084,24.3063934698208,24.3653296114159,24.5521918615114,24.520124927963,"-1.33571163372252","-4.56610229758334"
"sp|P21333|FLNA_HUMAN",27.0888451762964,27.0688828044305,27.0507199451404,27.0724594670957,27.2546591062133,27.2437599462097,27.0343291512472,26.6367983897843,26.7182080212277,26.9182005196412,27.022879668729,26.1916011983863,26.2394114504952,"-0.498050742014347","-3.04395788759497"
"sp|P35580|MYH10_HUMAN",24.494812023731,24.4885678157172,25.1409564937619,25.0433478614433,24.8230687887844,24.9316995931461,24.4267510847445,23.7422248261793,23.8448078303944,23.9878851435086,24.077558110943,23.1454905235446,23.1476068306749,"-1.10695276793761","-5.37986252467676"
"sp|Q9Y490|TLN1_HUMAN",25.3879154912011,25.2754121114889,25.6880980174042,25.6334775395202,25.8311593574031,25.8276414728168,25.4366642439881,25.2382569986036,25.3129133077711,25.562538731575,25.5655123431579,25.0983564685475,25.0647274863872,"-0.277393953464248","-2.01181277376951"
"sp|P12111|CO6A3_HUMAN",26.0177252693369,25.9039209622341,26.4165701246948,26.3549108006879,26.223194191491,26.1528719364984,26.8655071658382,25.4913327341101,25.5855270792413,26.6323824499391,26.6782947847878,26.138951802732,26.1329079261257,"-0.156619940035822","-0.657196998527448"
"sp|Q01082|SPTB2_HUMAN",23.8346809783563,23.8939382930687,24.4856885412015,24.6265160933427,24.6310500686242,24.671660861595,24.1580838491594,22.9825900618133,23.0504424053607,23.0934210368511,23.2162343084664,23.1021997266775,23.0045252293224,"-1.26329694403142","-7.38151597562456"
"sp|P01024|CO3_HUMAN",26.1848133962654,26.0974947177997,26.4323732190068,26.4522568592634,25.8414365812353,25.7724378028221,27.1943175683596,24.2002814515797,24.2600459986637,25.4078923962022,25.4472737172167,24.9281600692104,24.9370716162956,"-1.42156376886488","-4.93188230610221"
"sp|ALBU_HUMAN|;sp|Q92985|IRF7_HUMAN",32.4699843629256,32.3670492672928,31.6348340370807,31.3916144756205,31.4715743868764,31.452817709056,31.7049278518863,30.9148107424265,31.0032853467246,30.9601874545186,30.9837483663207,31.3849223096117,31.2007052369031,"-0.710132784622503","-3.24782950776598"
"sp|Q13813|SPTN1_HUMAN",23.3474836469399,23.4800178804482,24.117267676132,24.1112273640459,24.218700580193,24.2708095212608,23.5457901517817,22.6970665126525,22.7585155584651,22.8078631770832,22.8827398001988,22.8472882299137,22.8265839791339,"-1.05153194314242","-6.06756813166233"
"sp|Q14204|DYHC1_HUMAN",23.0876115638603,22.9602249136975,23.3310090677199,23.363678773871,23.4089052589048,23.4609769425968,23.257915531589,23.5629721353051,23.5975250903385,23.4108131793389,23.3049643368678,23.2856228560695,23.2294598215701,"0.129814759151124","1.07637926331175"
"sp|P15924|DESP_HUMAN",21.1820124185023,21.1295902698,20.7041270368065,20.7206509484051,20.182657123439,20.3356344655894,21.699949773113,24.5658923815168,24.5447908775241,21.158236362766,21.1616930827553,23.1572051390983,23.1833848665968,"2.11145995510815","3.48274028747998"
"sp|P98160|PGBM_HUMAN",23.0052560183882,22.9336181150385,23.5547035310647,23.5289745618003,23.7157625211243,23.7403998165921,23.3598573052222,22.9363685094503,22.9997811512114,24.0803155828879,24.1210691751597,22.860120403952,22.9887745919581,"-0.0986560097272938","-0.368628781709334"
"sp|P02549|SPTA1_HUMAN",24.5723380041802,24.4258315557835,23.7366445095944,23.7000906935915,22.6470233031371,22.5614238981225,25.80525864229,20.4635226695953,20.3630538505471,20.5653159392692,20.5877668146757,21.0635259591708,21.0367457259788,"-3.24054571546784","-6.32298471573273"
"sp|P11277|SPTB1_HUMAN",24.5512517892375,24.6684826057683,23.6800147269318,23.6530065178659,22.670530147019,22.6727585884422,25.772102140815,21.6416812411252,21.836258785064,20.5584108159421,20.444980738309,21.1595752215336,21.2599880704497,"-2.81536493950716","-5.29972364579575"
"sp|P04114|APOB_HUMAN",24.287449247644,24.304241960472,23.9701458116565,23.9950910853954,23.3619044020125,23.4388179231215,25.4808658189588,21.8485434959282,21.9136771241792,22.7183418881813,22.6785870779839,22.2519728976724,22.2517350456449,"-1.81784627594627","-5.73469777716047"
"sp|P02751|FINC_HUMAN",24.8520139874366,24.8558125663305,25.143479616515,25.0633909591385,25.0129067612563,24.9501742032337,25.753274724365,24.8973523688854,25.0094766738921,25.9082508980521,26.0964977385398,24.5423619524993,24.4997049629147,"0.0593497398618009","0.208655139656129"
"sp|P35555|FBN1_HUMAN;sp|P35556|FBN2_HUMAN",22.3668619437789,22.3369837214798,24.0240003623523,24.0256421933186,23.6363693814019,23.5908094462605,23.6654954247116,22.6557418590846,22.7092815519576,24.8456891956218,24.8788493780651,22.8440422579546,22.8430435603048,"0.0881189956674266","0.174702822513819"
"sp|TRFE_HUMAN|;sp|P02787|TRFE_HUMAN;sp|O95714|HERC2_HUMAN;sp|Q9Y4I1|MYO5A_HUMAN",27.8359118033384,27.6852383787198,26.9833510156665,27.0422477861439,27.1370411954892,27.0659821334829,27.8918114837476,26.293540987886,26.2932405413086,26.5722175420068,26.7597431188721,26.5451010429211,26.6613525621504,"-0.866701463998186","-4.33205073374646"
