"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"0",1,1,1,1,1,1,1,2,2,2,2,2,2,"LogFC","Zstatistic"
"sp|Q15149|PLEC_HUMAN",12260880.4645078,14126898.9943208,25400000,22759282.2004458,34708406.775775,33658592.4096788,6232597.71779915,71511376.2341892,71719908.6249082,73251855.5577568,72595624.6507427,48459275.3451153,50148671.8063147,"-0.749748558291114","-0.00707840898375457"
"sp|P35579|MYH9_HUMAN",21169535.1840377,23037712.2061232,38700000,36289406.6581911,53482083.263991,53531484.73667,10954262.6555258,114526758.143559,114124645.473476,145661735.764275,151682152.211434,96198858.4821348,97438511.9657135,"1.06363355902169","0.0103347481892059"
"sp|Q09666|AHNK_HUMAN",14694688.1971629,16843610.3393825,4.7e+07,42651253.2575284,52932609.8057993,52904862.0056387,9160029.97918966,41115648.954382,37087101.0379753,46813829.5288652,49023398.2935604,37064148.7169323,36688339.4687528,"-0.837514917488569","-0.0084175988838631"
"sp|P35749|MYH11_HUMAN",16531524.2218082,16300268.0703702,2.8e+07,26433024.60288,48903137.7790603,47981397.6903931,9301679.92732145,11484078.028297,11279649.8027661,36541730.2437545,38091351.2873309,37783840.925028,37283929.3951936,"-3.10010813949489","-0.0316363119463482"
"sp|P21333|FLNA_HUMAN",52349826.7023927,60310991.8603696,1.17e+08,108420202.608423,166673615.651479,164712260.728215,32532271.4209365,125518070.240275,127214210.545702,220597542.024509,234014131.2271,105674805.888729,109945900.42097,"1.54600229236871","0.0154988260384346"
"sp|P35580|MYH10_HUMAN",9092338.32199452,10377837.3381357,29300000,24192937.7721274,30037882.3811456,31599689.1505761,5146614.78212202,19675805.6052323,20316095.789185,29300742.2231027,31258821.9084375,14393844.1619154,14532394.2051553,"3.61973792691997","0.0348969621663236"
"sp|Q9Y490|TLN1_HUMAN",16485603.3211921,17604289.5159998,43500000,37543855.2834126,60899974.9495788,59887229.579987,10482096.1617531,52649741.8953803,53176358.1059205,87060251.3180695,86943936.3464189,53497120.8017857,52769267.4826541,"-1.85020598052686","-0.0186019250562792"
"sp|P12111|CO6A3_HUMAN",25210574.4382575,27058444.9968145,73700000,63887276.4130624,80681019.4444796,76179420.5867996,28613289.5226234,59705892.8710498,61084637.0037241,181866675.867534,186186425.574846,105794754.590078,106253242.877037,"3.29474977771031","0.0321869156355465"
"sp|Q01082|SPTB2_HUMAN",5831954.37824901,6954781.04335794,18600000,18010298.1192504,26191568.1738038,26228637.1703082,4289153.90220126,11841360.3573474,11964240.8639809,15766015.6073315,17252136.6817059,14033998.0578676,13222096.3669856,"-2.3422207065642","-0.0227201978592756"
"sp|P01024|CO3_HUMAN",28562800.1832353,31079177.7875058,73200000,66664984.0831956,61449448.4077705,57828326.3208843,35554136.9810815,25375004.4701962,25361032.327439,78135312.5949405,79940593.7330532,47139839.6302731,47885430.0858397,"3.70292493290953","0.0387879703475504"
"sp|ALBU_HUMAN|;sp|Q92985|IRF7_HUMAN",1951638276.18569,2211403034.88022,3.15e+09,2607461070.99596,3287682858.18027,3330052227.76609,854621353.728519,1750468222.81032,1786180233.81425,3637333517.35068,3518752630.13012,3142655975.35154,2739713661.62764,"2.12832312628779","0.0205801971174648"
"sp|Q13813|SPTN1_HUMAN",4201520.4078221,5265587.84330769,14400000,12544486.2522142,19597886.6755035,19783374.7939867,2821812.73308106,9879274.19633485,9958631.1577037,12964724.4265439,13754613.0107385,11772021.7104675,11709298.7316664,"-1.02209560193918","-0.0101386722888081"
