"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2
"1245","sp|P01591|IGJ_HUMAN",489029.746207225,537058.563024941,1068882.24048966,894850.144085439,1088189.35627126,1252289.89005564,545209.243777523,1865240.37788513,1729222.74994295,3322790.5087472,3343390.61285988,2827838.6998848,2814138.20602631
"1246","sp|Q9BWD1|THIC_HUMAN",69749.288701779,106483.161552483,68228.7300587232,31448.2619717758,81698.3034438036,91265.7639414968,88462.2731063064,568224.30240188,764948.137821177,72113.2949785,73714.7785687421,1300117.3540557,1428293.86422497
"1247","sp|P23193|TCEA1_HUMAN",205789.102614717,202399.130776288,326856.893976106,253978.322261926,706259.36781229,784096.430570521,87695.1767500233,1645737.99631972,1649685.60331624,1473797.49854073,1508893.19631215,2143977.06179142,2271218.89403058
"1248","sp|P39656|OST48_HUMAN",978580.922266372,1335180.59768482,1468075.47304394,1515226.80798869,2232449.15716909,2278636.64830309,759423.442483731,6050597.34632215,6237210.90223509,10646191.2467908,12880304.4401754,6149968.50229697,5359540.67606122
"1249","sp|Q9NQG5|RPR1B_HUMAN",266607.843238479,308213.426222399,523663.156958867,437146.044975818,953925.758176294,705669.774325969,113029.352124294,1634409.97872947,1632663.45659754,2002858.08666965,2389593.80434384,1589356.22379501,1502060.1211296
"1250","sp|P15144|AMPN_HUMAN",58641.6899062898,67481.765081143,194946.140190053,173539.374711102,298322.982968381,214777.085590439,64532.4533892158,403040.029794992,371592.291792826,440612.585302208,456839.865525674,564878.13269414,523181.272853755
"1251","sp|O43252|PAPS1_HUMAN",89339.3109106003,150253.808323306,219846.778449781,257745.240411117,420406.47807108,319055.367236047,91035.2412486898,580291.639378679,543100.918488259,513097.691991884,531412.701633487,512779.86757512,447490.91542672
"1252","sp|Q92878|RAD50_HUMAN",64945.2051563924,69362.6032962622,73907.6811513054,54113.4500236246,154342.126897097,120995.698578896,18402.0956004549,327593.310799615,359417.030261972,458644.743976586,397099.730834365,269926.582601013,259383.486618625
"1253","sp|Q96MM6|HS12B_HUMAN;sp|O43301|HS12A_HUMAN",137381.974826801,176658.211669498,712184.486864131,777320.073593445,996326.327759871,853571.800671214,98893.9133660663,95227.0024716916,93439.37569055,283489.348323356,243608.561102623,139115.22346043,121121.389701761
"1254","sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN;Int_P62937ups|PPIA_HUMAN_UPS",23291183.3108429,21811950.0861892,68915819.0345437,56248406.0030979,105187259.469509,89279961.8819322,8859830.37200817,182092821.778751,153509577.27944,154734455.833346,143941499.358086,98487031.0698872,130858146.176078
"1255","sp|Q15599|NHRF2_HUMAN",164019.038923897,208414.430618219,803713.01550168,795147.857408867,1085295.22776547,1108767.75906238,122680.506192978,123364.219791463,133452.036535112,285020.81268365,175407.597002882,265689.134165653,322718.958871354
"1256","sp|Q8IV08|PLD3_HUMAN",1449715.51982423,1933170.31639026,1488213.60220399,1177962.66379102,1169400.97437685,1168692.00119039,2676584.32788657,1845718.68329851,1760858.69054529,1244758.36605881,1216774.91245339,2215027.09013113,1599068.82217245
"1257","sp|Q9HB40|RISC_HUMAN",764248.386184755,1037348.58807554,452638.550594225,328777.689378787,485987.692563896,493869.763269805,1057619.01749844,1217655.13409685,1439063.76158791,1386564.3877404,1399005.06762137,1329354.01617019,1801525.38666794
"1258","sp|P51572|BAP31_HUMAN",144693.623984214,130434.275452007,187007.09788274,205395.762165437,150620.395552525,164000.935218774,87148.728938473,596017.835322497,615890.598628882,412755.635700356,383595.403742971,608340.457186335,642995.650253612
"1259","sp|P09758|TACD2_HUMAN",106492.26098925,103960.998679864,163214.632247824,120457.856374761,404163.733909215,327221.183036494,10920.8141328074,2181338.55093214,2263068.09160903,764848.195989263,868336.99983994,372394.501480604,418593.107188713
"1260","sp|P03952|KLKB1_HUMAN",198385.600498128,168883.779041761,240742.736092394,233436.144852112,390277.057614026,375848.75666164,237473.526381939,296183.064449895,321980.656318423,547163.990913037,484252.387115404,363537.607518519,378860.29362073
"1261","sp|P20042|IF2B_HUMAN",149480.033594814,152776.746910433,173539.877624693,154091.771921244,331424.65982027,292328.820706691,23302.2736039484,1639725.09227701,1622501.42494899,2740205.85484002,2561165.70784924,1025354.00488171,913309.452177578
"1262","sp|O95747|OXSR1_HUMAN",163527.457611168,174488.62994865,292207.940824395,285436.429936347,271043.819181674,253537.237991945,116901.213389441,339765.658237679,328382.161836576,397009.433295522,439541.426022849,318915.054510677,405918.061304117
"1263","sp|Q9BRA2|TXD17_HUMAN",774389.022208337,970973.484969051,1066868.64239541,1091654.47071134,1763436.04506313,1752209.21396521,422814.315476704,6152046.56889011,5978755.75688541,4089968.11362015,3412739.08253584,3262325.66712874,3635833.67581075
"1264","sp|Q13153|PAK1_HUMAN;sp|O75914|PAK3_HUMAN",187047.801725714,257221.332156635,422889.774761062,587921.608054238,733370.341961813,787549.533339959,111354.515350038,1598161.8193054,1747371.35304093,1690130.95282332,1066250.40596712,1522524.02396454,1615959.6787592
"1265","sp|Q7KZ85|SPT6H_HUMAN",20806.796301112,22086.8102486149,49912.08570764,40828.9167968148,42238.8844973977,56712.8438231659,13637.184369858,229984.721512326,229439.757282406,125884.826327196,108830.701180379,427912.615397954,423441.111476285
"1266","sp|P22352|GPX3_HUMAN",606591.534046168,640590.194764953,1198376.86218043,1052122.81278731,2276879.80045185,2415825.72097949,513452.89562243,905678.180233696,998620.144690506,7197958.93948217,7134146.55134133,1269941.81357353,1873261.67339135
"1267","sp|P62333|PRS10_HUMAN",390218.78535126,467587.45905622,596507.105123442,491413.291836719,436652.792038581,542197.63241064,247178.040524156,1553170.91901671,1419790.27783219,1459391.1511726,2008495.45421906,1725992.35094296,1745979.80719975
