"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2
"567","sp|P25398|RS12_HUMAN",20.577458291845,20.682023974027,20.4744450582592,20.0873693670662,20.2311286804623,20.4340965686409,19.9237687292843,21.4569891941698,21.6419645430226,21.3742812466542,21.4874236409383,21.2811163365324,21.2130691443517
"568","sp|P17844|DDX5_HUMAN",20.0888200813859,20.3090536351469,20.557226433447,20.2674262595125,19.8143885496332,19.6171922320567,21.2691945491177,20.0938354842661,20.1283849919214,19.7846137676267,19.633394407202,19.6187592223541,19.9523394582196
"569","sp|P01833|PIGR_HUMAN",18.8995947373362,18.8571276792329,21.2018781315125,21.1788719220575,20.772742103576,20.9011431817928,19.8480199055929,18.3814686181156,18.2312351604922,20.6175758991887,20.50490595845,18.4187776963903,18.6126794493915
"570","sp|Q96I99|SUCB2_HUMAN",21.3656490856732,21.3581988358228,21.0519070076101,20.9867839269843,21.2209408345563,20.9002225800782,21.1216350301366,20.7164169965069,20.6580322556337,21.1035080841231,21.0648772546876,21.012889998622,20.9267871824358
"571","sp|P00492|HPRT_HUMAN;sp|Q9NRG1|PRDC1_HUMAN",21.0576927175243,21.0173912295951,20.501478289308,20.5664636954208,19.991352673223,20.0851712292724,21.9382317024907,20.9096115850919,20.7934126992213,20.0461173981724,19.6965496001346,19.907320135807,20.0021819583557
"572","sp|Q14240|IF4A2_HUMAN",18.6569617644794,18.92429050665,18.592925010186,18.5982513727104,18.9094560007072,18.970422542574,18.8090159643259,19.3971982325112,19.4255254133166,18.5138804737325,18.3608112942955,18.8277367495217,18.6787032133477
"573","sp|P22897|MRC1_HUMAN",20.0801508304743,20.2119835110593,19.6981321666929,19.8317382664669,19.482851474806,20.1679183270125,19.316242261016,19.6931591381737,19.448734840888,19.5554210111798,19.4354531016114,19.7167100298617,19.8510434452527
"574","sp|O95336|6PGL_HUMAN",21.9451579901101,22.1227566074692,21.9525604800477,21.8614841969038,21.8666216851594,21.9454519882116,22.3988670225459,21.8462776423935,21.8117123496374,21.8024209781475,22.0266066030461,21.6452403870328,21.6972263806314
"575","sp|P31930|QCR1_HUMAN",20.5182075673712,20.2085731603053,19.9545037187353,20.1003395536744,20.4268843028176,20.3515713501028,19.8807975978867,20.8077046999163,20.7471066328881,20.7859092118268,20.8397032826277,20.9292289322881,21.1316544731812
"576","sp|Q9HDC9|APMAP_HUMAN",19.8579738521465,20.1517378502686,19.5724351600173,19.3123959739999,19.7973860634428,19.9156759798642,19.7567782703015,20.7977117858448,20.8406852862479,20.069279150562,20.4431467758141,19.7105102091568,19.7352137183191
"577","sp|P30044|PRDX5_HUMAN",22.5926850394577,22.5379512747162,22.4213955326685,22.5127442602712,22.2665783427024,22.0956973051666,22.8637968990375,21.368710316774,21.7996393260761,21.6254222382392,21.6263755647152,22.2090992407839,22.1867523749392
"578","sp|P06756|ITAV_HUMAN",19.4608430668772,19.1742438406726,19.4305899418962,19.6846951064232,19.8320503120412,19.9085504454033,18.742720488871,19.7728916967418,19.6687148372424,20.5738555952322,20.6370289515069,18.8983634262698,18.9544907939814
"579","sp|P04632|CPNS1_HUMAN",19.7118946128652,19.6582555216101,20.7651878405355,20.8134742607332,20.5338007003246,20.4965849427119,20.3188517709079,20.3466410260021,20.3624369812035,20.301592378167,20.2888041658766,19.6367149039614,19.6356563903403
"580","sp|P26639|SYTC_HUMAN",18.3128558211269,18.543034731229,18.7044278701246,18.8639103320148,18.7583576488426,18.7191808294105,18.3247600662536,18.5024223897796,18.5043424550141,19.7798379037889,19.7074201477567,18.7610759437136,18.6634887105789
"581","sp|P55809|SCOT1_HUMAN;sp|Q9BYC2|SCOT2_HUMAN",19.0523829140644,18.7485971843553,18.7677242986996,18.5056090480611,18.8275135956446,18.7515376570351,19.5397059085506,20.3055127341158,20.0763174545734,19.4443563940351,19.5447659245968,19.4038447093094,19.3676525576796
"582","sp|O43390|HNRPR_HUMAN",20.7456811410734,20.4840192560874,20.3515967443858,20.4828145580136,21.1549114058958,20.6758682186177,20.3980513501059,20.4322159277181,20.5755994418742,21.0883447932515,20.5319440581655,21.4597981575477,21.1729362095904
"583","sp|Q96CX2|KCD12_HUMAN;sp|Q68DU8|KCD16_HUMAN",21.332502125653,21.4623262583463,21.8184741371751,21.7034807032827,21.8930195234057,21.8779886225457,21.1629961844212,20.6487096552952,20.7678207946922,20.7664161556258,20.7570325230036,20.9743360990141,21.2696777290619
"584","sp|P62158|CALM_HUMAN",24.0516657838855,24.4702287367712,24.7277316422634,24.5533433257348,24.4998516031241,24.2836758667996,24.3161785512276,24.3256183844439,24.2495235378991,23.4518882525763,23.5836642204742,23.646080896631,23.8804260077445
"585","sp|P52790|HXK3_HUMAN",20.4599278928453,20.4023633605292,19.4511818143702,19.4472816442791,18.8066269226315,18.7375217028575,18.9294219554869,19.5751137918285,19.056085972193,17.9520253212711,17.7522015163145,19.2494216872905,19.2989803811667
"586","sp|P45974|UBP5_HUMAN",21.3109269390546,21.4808553710313,21.2730278779982,21.4215350088112,21.2590640095622,21.2747403375467,22.0837852605955,21.1712972761125,21.2268438159078,21.3465163686413,21.3450258352121,21.1605475247061,21.2084702093609
