"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2
"1132","sp|O76076|WISP2_HUMAN",159019.090377036,101842.865032969,879680.230409909,900100.545254523,702984.117686693,710864.047403634,348384.03096313,62398.8535977863,45573.7977929791,183295.323895677,121847.862859902,59129.0733491852,90068.1191067052
"1133","sp|Q5TDH0|DDI2_HUMAN",2276882.71995781,2391645.63531646,1522266.99544928,1578200.08061804,1238065.97357358,1302480.53888187,3178679.29383172,850262.565582514,779752.665715596,515841.977394504,643296.567087917,666397.372147191,526166.119104342
"1134","sp|Q13043|STK4_HUMAN",129421.244020358,102871.075430723,63616.4838704609,82219.0515180202,101741.946587161,96527.2300178202,61784.6243001815,78865.1766450274,101830.811469429,199247.594390944,185383.867521697,90435.9638264558,78850.6595970632
"1135","sp|O43852|CALU_HUMAN",284938.099625799,228309.356516671,227779.834011153,206381.946621544,253036.642004745,234485.534400645,155537.791896498,402966.84027934,395465.525301615,1120391.01622189,1022790.45048022,551111.729927647,615895.432489145
"1136","sp|Q9UIA9|XPO7_HUMAN",143477.224613294,136068.608659279,91828.7756556398,106561.547177534,156274.538998796,174753.3636414,383189.384774265,214731.253233433,195983.737790302,86656.0474320567,79697.1104189932,189342.24693329,180623.638092531
"1137","sp|Q13247|SRSF6_HUMAN",388930.575753386,378488.746258061,330927.37494711,350257.757917165,444664.557450255,360494.481868342,289422.061466413,657844.453408668,634681.808934718,465731.346778077,625686.402761585,422432.176108461,576886.680296157
"1138","sp|Q9Y5K5|UCHL5_HUMAN",101352.342726423,81399.3120034743,121153.990953847,189350.995303059,120917.271787618,65990.6913350432,133805.509124753,159493.398315886,207779.480775412,152489.222911429,125441.311284308,152877.629455396,154563.858533806
"1139","sp|Q13464|ROCK1_HUMAN",261851.915099646,224389.688633248,288922.704803576,248460.254091954,321414.245010294,224943.60610862,211806.71545053,295967.350506055,280836.366785616,159244.632156449,171938.264861811,182483.45101392,179986.058327705
"1140","sp|P22059|OSBP1_HUMAN",102681.624818848,103694.062550585,58333.785331521,50864.1256364405,88052.9604487805,69560.9722530177,95411.6337117452,163436.74406492,153133.321953055,150444.466505906,117737.898643915,116986.096088228,126441.804884442
"1141","sp|Q13492|PICAL_HUMAN;sp|O60641|AP180_HUMAN",627919.293892976,651603.27455693,491203.054366405,462636.540680361,780517.820674414,714704.798890026,291701.811736954,578963.628447088,597916.396673401,418768.272376287,390824.072532184,982637.701819276,839969.426335342
"1142","sp|P62701|RS4X_HUMAN",204429.367613844,255106.445097984,318156.714672945,527543.180655259,290670.576153227,287395.149705326,261291.699479151,651768.834226221,610551.24477691,729800.716086457,646455.98884111,1028138.00804825,1003093.25773574
"1143","sp|P28799|GRN_HUMAN",735683.269143798,552775.994375576,207282.70512012,275085.81810323,282823.855988617,253438.727027344,262898.005665055,942007.699953664,927237.620472632,252701.199286419,291859.525966768,367889.834449174,377634.430855808
"1144","sp|Q7Z5L7|PODN_HUMAN",237747.210526146,274548.900844919,501216.96075299,571554.049353613,638315.68048074,598791.754456071,925019.868051041,47548.409275381,68429.3020344067,540400.842845603,599740.134661538,69030.3267534789,81560.7940255881
"1145","sp|P49913|CAMP_HUMAN",185158.792466649,142606.248954287,212279.614993198,247957.420571277,121983.057746077,94247.7594067209,340735.271648056,967970.05308395,941400.86480017,106322.183930926,94587.8370252725,172875.930012663,175290.109250237
"1146","sp|P27361|MK03_HUMAN",2475955.56219664,3030515.52186272,3341636.03922488,3045237.25155841,3975299.99950717,3596410.91443367,1966908.22707147,1735391.63798877,1939163.17411695,1996121.01558244,2297960.84287008,2022118.77365822,1504746.99893015
"1147","sp|P01767|HV306_HUMAN",1247428.35180651,1187495.8450447,4093505.09149105,2218675.3650499,1070521.22210382,997058.070238232,3844271.32609873,496275.78660065,404142.842625743,1446110.7910662,1772398.97420443,1374942.14628504,1098045.93429243
"1148","sp|P39059|COFA1_HUMAN",370524.457918029,395083.201982189,215068.626796286,213790.201651252,354274.492050133,316159.108196164,444129.49293205,168385.908695607,183071.079465443,718483.820507337,907240.393312935,276253.662560128,276973.44236175
"1149","sp|O00291|HIP1_HUMAN;sp|O75146|HIP1R_HUMAN",149330.276343297,92551.9621374301,214940.750736112,184349.103549038,208244.817146429,216066.279490505,122563.923497601,77250.8230179453,78022.3153281415,83878.4101444835,85373.0514850699,56849.5984494017,47411.3364015152
"1150","sp|P51570|GALK1_HUMAN",493169.780856168,408397.183432084,909926.918181472,677102.719106155,893190.19613197,685169.799183026,906258.431627198,637616.394539379,563815.654207361,928928.773427174,938419.041304609,679438.53673457,691693.222675229
"1151","sp|Q13363|CTBP1_HUMAN",178659.255476214,149702.018804662,196347.176706437,169195.73130177,241756.413884828,268434.77799166,188752.270595567,212892.743570866,192327.132158139,212653.334668386,232327.569136984,181877.155873697,162107.92907987
"1152","sp|P19623|SPEE_HUMAN",151741.855103022,91969.2783370552,182747.091407258,122291.701595112,177363.465648287,151626.955870868,127513.377441885,234300.928420688,269619.197728985,358738.406724803,330302.071471387,178489.686170037,233733.549571922
"1153","sp|Q09028|RBBP4_HUMAN",42215.6393485078,33887.5203245411,14648.3440915028,5909.81927225498,25423.4363625129,28064.3205103242,11830.4246430816,86361.1116771071,67817.8233542972,82876.1269678557,66939.4340427326,24330.9095970982,20895.7600924774
