"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2
"1810","sp|Q13308|PTK7_HUMAN",14.5572054120128,14.8992266911577,16.4824868862272,16.0352537638017,16.1070894873295,16.3168888105294,15.9533428082011,17.2720678467167,17.1528482275944,16.9851110329408,17.0450094016154,17.1025281811704,17.3379279692541
"1811","sp|Q5T9A4|ATD3B_HUMAN",16.3844582025996,15.4588913159819,13.7712438025183,14.1649810097716,14.9759970569974,14.9321333110483,13.2171682400463,16.0540896255053,16.2550820930554,15.2163276698655,15.6758119655171,16.3290855088402,16.0006828499972
"1812","sp|Q08431|MFGM_HUMAN",17.1931549774715,17.1245045949455,17.7457345418195,17.7380535884292,18.5652401377143,18.8879724580595,18.5011588670713,15.6554289639513,16.0688625786062,18.0850079339483,18.0960927705299,17.8921984427449,17.7053518174477
"1813","sp|Q9UBI1|COMD3_HUMAN",16.8983039827479,16.9125137870124,17.1676413160408,16.9699186508435,17.2490208529777,17.0621363792517,15.602984632398,18.4166361891395,18.4093723255168,16.3029406648674,16.4142999829809,18.3836345840392,18.6689232568828
"1814","sp|Q9H8H3|MET7A_HUMAN",20.0392104644704,20.2388084126417,20.5680752333152,20.409864486167,20.3507839534648,20.5213913905957,19.4753641715758,19.4643638563058,19.5429506372909,20.2459523288736,19.8009243926184,20.6638266015195,20.6578357950692
"1815","sp|Q86TX2|ACOT1_HUMAN",18.0304798316961,17.3671931628654,16.0004197738359,16.0709907761965,16.9441774784051,17.5717160476567,14.7977457062744,17.6311173825483,16.8075736431938,17.5554284740184,17.7100198083225,16.1859397122267,16.5588403625498
"1816","sp|Q9H9E3|COG4_HUMAN",12.2328339393451,11.6998781377823,10.7316116079155,12.065428105697,13.3282401335436,12.9595190697076,12.0085082699446,16.0599450545045,15.9298655796306,15.3989806591812,14.088747197003,14.996011425291,15.1640983007648
"1817","sp|P55083|MFAP4_HUMAN",16.8276213198919,16.5616699994495,17.4774611423793,17.1486802551291,18.771286358917,18.6867991200797,15.7102413198417,14.3469526011099,15.137596668648,20.6275008920361,19.9189851100151,17.3031453826864,15.8008697679816
"1818","sp|P36959|GMPR1_HUMAN",18.2618364658815,18.2351099826079,17.0281456755089,17.007476900961,16.0983640197107,16.6382189814905,17.9029207806141,13.8454309502019,11.8576365144496,13.2250063857314,13.1071830731052,14.8016519856177,14.4474881432316
"1819","sp|Q9NUB1|ACS2L_HUMAN",16.168183799836,16.4949033157994,15.6798103907502,15.9333484491111,16.6969300556006,16.4951219635848,16.2561725311196,15.9414720874944,16.1683956597677,16.3378442429145,16.7550800638966,16.9561017459133,17.1544432236185
"1820","sp|P98179|RBM3_HUMAN",12.3196929086443,12.8021411509998,12.8246326824424,11.9838015039195,14.7242918138367,14.8387225356717,13.9663129066819,12.3288462097107,12.2311414984156,8.69724534898914,11.9570000732372,17.6688839506243,17.6235988174049
"1821","sp|P54105|ICLN_HUMAN",17.1099339536247,17.1744170196325,16.2640198009588,16.5059878647706,16.4524894569434,16.7120040805333,18.3690031051344,18.5010471537237,18.1828987739297,16.9473671059195,16.7509827415872,17.5887557216522,17.6831347918093
"1822","sp|Q9HD89|RETN_HUMAN",15.6935453079868,15.4660229416574,14.8388026909821,14.2349455072693,13.5672452791856,13.9999118787919,14.3850834538278,18.8819841350006,18.7678844816181,13.7403660448243,12.2347959512636,17.1693121231149,17.3509356025937
"1823","sp|O95433|AHSA1_HUMAN",16.2552029309884,16.5511565631801,16.1851680593049,15.6072893425939,16.9912806541248,16.7810861839192,15.7928191761222,18.6466309763383,18.7497038724778,18.5767443821032,18.495217132672,18.2480763810129,18.3781155575129
"1824","sp|Q9BXS5|AP1M1_HUMAN",15.4341375950039,15.2140465180545,15.4357128295778,15.4600537078904,15.3701028014297,15.1435944665258,14.3297591185626,16.1062050126025,15.8344970225573,16.5480245056711,16.5529921964756,17.3905112793387,17.5786315434096
"1825","sp|P68036|UB2L3_HUMAN",20.5459775505937,19.8993017956414,19.9661208160175,19.7672261018611,19.9214800329881,19.5547323874928,20.4168766103996,20.6241896825912,20.0695565736348,19.7952659593542,19.2173274500453,20.78978547933,20.9199587094028
"1826","sp|P04208|LV106_HUMAN",20.375221175209,20.1801712991827,22.1060197007996,22.2106960679645,20.7546563772885,20.8012622742638,21.7228463974453,20.19902603127,19.8981101477787,21.7232940744169,21.7796335887131,22.0543049276504,21.9775796784497
"1827","sp|CYC_HUMAN|;sp|CYC_HORSE|",20.179938572996,20.2139705227353,19.4575450299242,19.6238790949123,20.4043461098665,20.2619247495703,18.4437586809843,20.7194592649873,20.7990645946966,21.1211200182869,21.2039224118819,20.8255960931419,20.8500797815475
"1828","sp|P62280|RS11_HUMAN",18.1652622127518,17.9863693376372,17.6267941212714,17.7103518682338,18.8457787733112,18.9255120980419,17.0181398790391,19.5216633183809,19.3748607721536,19.8587516741452,19.9411730042769,20.141982328461,20.2051112955899
"1829","sp|P57088|TMM33_HUMAN",18.1013318454625,18.5630491882532,17.5713888684064,17.8193223180411,17.8037431684857,17.8650279852698,17.5668751283307,18.2994272997765,18.7931001813565,18.8663439802048,18.7621200021434,18.528474527484,18.7812672498068
"1830","sp|P22528|SPR1B_HUMAN",14.4750321407704,14.3509819425705,14.9236733861736,14.7300241383483,16.1030856136492,15.8379156322219,13.9400168780517,23.135577701338,23.165779267929,16.6572233033859,16.0187744633283,20.8145865267033,20.9480235746352
"1831","sp|Q01105|SET_HUMAN",-16.6096404744368,-16.6096404744368,-16.6096404744368,-16.6096404744368,12.4872792876415,13.2341282260896,-16.6096404744368,14.9967587158771,14.8176105650286,15.3084742323754,15.4018540829216,14.6636488979775,14.855601870395
"1832","sp|O00244|ATOX1_HUMAN",17.4681474061682,17.4331164629658,18.277379939699,17.9249769930729,18.9134005014197,18.9617253589699,16.887649901427,19.4156329881944,19.5579546633995,19.4488510191187,19.39386051835,19.3739664593738,19.9049500528118
"1833","sp|P37108|SRP14_HUMAN",17.6956493283596,17.5457310455689,17.1481632664539,16.6577723762582,20.0592771709512,20.1098857832195,16.8007253800753,20.5068318252758,20.4099973975636,20.0820422704109,19.8374085406485,21.5319207391915,21.9045143270241
"1834","sp|P30511|HLAF_HUMAN",23.4425304886016,23.5044582377448,23.1731700728028,23.1989029339275,23.7795654758791,23.8764270151317,21.5752646609261,24.0359052291389,23.9583686286679,23.6864560714876,23.6096404744368,23.828808994899,23.7389234913818
"1835","sp|Q5T2P8|AXA81_HUMAN",14.4078574263277,14.4533495170194,14.8867766094542,14.2667974860188,13.9895761026438,14.7180765548142,12.3994316640232,13.2898325492121,12.6746313509819,17.4808321770805,17.0299865574539,15.1379090462196,14.8726514439802
"1836","sp|P60033|CD81_HUMAN",21.9145059912731,22.0526605531387,22.8530137794569,22.6036392971793,22.9561681263734,22.8101303006944,21.755507216328,21.1479281721648,21.3266113026244,22.4360065894806,22.2530514701516,21.5034436106601,22.0361211005576
"1837","sp|P18031|PTN1_HUMAN",20.5023016612318,20.4511753761073,19.751373156989,19.7843631950661,20.3091535594368,20.2859962179852,19.4040674480923,19.5695901613187,19.7876513635296,20.2475402866067,20.1254774590411,20.4687623294307,20.6827814154183
"1838","sp|P24666|PPAC_HUMAN",20.6428399717648,20.6100061206326,19.2271813827975,19.3553221869546,19.2996545431411,19.2179852743044,20.4979338313513,19.8002277275514,19.6600274620101,18.8682849952841,19.0410893426345,19.6645949417012,19.5067849988515
"1839","sp|P59666|DEF3_HUMAN",19.2848306548138,18.8222941342475,18.5244326697704,18.1831310861397,15.6628897153829,15.7516871298005,18.1092439535955,21.1505582350192,21.183790495511,19.1360774552226,19.229664552361,17.7034565048169,17.7678378352414
"1840","sp|Q9UHL4|DPP2_HUMAN",17.4989636900478,17.719359821416,18.0756878338032,18.1180298932437,17.9994723515552,18.1350775278968,15.0280785672607,17.5991492542061,18.0018546410731,18.5939256212139,18.3889948799911,19.0988922959205,18.9557341936591
"1841","sp|P11908|PRPS2_HUMAN;sp|P21108|PRPS3_HUMAN",20.6777930186093,20.8287559228849,20.7845721433607,20.7711546978994,21.0607234745376,20.8476840117251,17.0058696573716,20.7941319550645,20.9488217439895,19.0121445245669,19.2017640505289,20.861020257526,20.7525406793071
"1842","sp|Q9UBG0|MRC2_HUMAN",16.9491387810675,16.7920959217278,17.0864752210197,16.1847578168449,19.1153579960254,18.9306426939734,16.072500624126,18.7766354095128,18.8957128403801,18.7382864963805,19.202972788904,18.8297601405698,19.2843561115621
"1843","sp|Q92542|NICA_HUMAN",17.6781802872597,17.7420679007787,17.0923469121888,16.9492459978108,18.5180264057499,18.5687348024013,16.0737566263946,19.6625207157501,19.5784523467349,18.1373859873945,18.1154617949917,18.742683853328,18.6982152368698
"1844","sp|Q9Y3U8|RL36_HUMAN",17.9342591457596,18.0223344194321,18.7589388536424,18.835782284674,19.1738028509059,19.1552003528217,17.0744097108783,16.798023123099,16.8569323452612,19.7892105365758,19.9571407172609,19.2605551730788,18.8562204489374
"1845","sp|P84090|ERH_HUMAN",17.6328534538243,17.2824319415634,17.8165774944762,18.1132958720931,18.8028302311212,18.7373081093736,14.9294546979883,20.7310831251325,20.2948089378849,19.3175198762577,19.4620159123004,20.2307770109752,20.3690431957367
"1846","sp|P01620|KV302_HUMAN;sp|P18135|KV312_HUMAN;sp|P01622|KV304_HUMAN;sp|P04206|KV307_HUMAN",23.3100801925779,24.2820658164083,24.9225234297212,24.5165310700453,24.4613895158529,24.6152650236307,22.0479681349393,24.0019578972156,23.8190938400658,24.814211618686,24.8239595952376,23.9671924790549,23.9583686286679
"1847","sp|RETBP_HUMAN|",17.4041122674008,16.9105871212328,17.2071808237194,16.8442332723306,18.2935709972975,18.5016889395933,18.1610102169053,16.3468537484425,16.7590209301752,16.929443618908,16.8577688784411,17.0204896764536,17.4789239077822
"1848","sp|P51692|STA5B_HUMAN;sp|P42229|STA5A_HUMAN",15.9276254300296,16.0072528311558,16.2938729927272,16.3416733685381,17.0880563515299,17.2014965968116,15.3050738291753,17.7465824648,17.7181714085248,17.3194039242842,17.302547318347,17.3482227326251,17.7705613865461
"1849","sp|Q15118|PDK1_HUMAN",15.1578178705506,14.7821136899136,14.7438716075413,14.4943643859434,15.6349083046146,15.5489049444006,15.1465325267722,17.6023170845316,17.41721478982,18.7723594637925,19.0439884895425,18.1061881130766,18.4339441885341
"1850","sp|P08253|MMP2_HUMAN",14.8086686917347,14.9235191247348,16.6923077724808,16.5663527282726,15.1881219043154,15.1187241526662,13.4956239373907,17.4645557690147,17.1776179455264,18.3128504243667,18.3241330065124,16.4977672747468,16.7062363260404
"1851","sp|Q96H20|SNF8_HUMAN",15.1672715539036,14.9375643117804,15.6989689879929,15.8455969117796,16.4426197723214,16.2036569226181,14.9749994058495,16.7313512115172,16.6828674359165,15.9886586082439,15.5880403275329,17.3930351944659,17.3710850789219
"1852","sp|Q96DI7|SNR40_HUMAN",15.7423618167855,15.8918585524716,15.2137550764095,15.427337078746,17.4788293872128,17.157168831831,14.1523025589493,18.407621514557,18.1245991380482,17.9375212588638,17.7893142591739,17.9510214212983,18.0237972806554
"1853","sp|Q29RF7|PDS5A_HUMAN",16.3899340477863,16.216754406176,16.1357021581714,16.1019665480321,16.9174437065937,17.1966175707153,15.5569670303333,17.7162585754716,17.5611241340927,18.4148989059751,17.7671154587596,17.9329589295472,18.1034885811136
"1854","sp|Q96SQ9|CP2S1_HUMAN",16.6911484646663,16.1069138913915,17.0385326264369,16.9526407174742,16.3186440474092,16.5521893276512,16.2381524663936,18.4574616556447,18.413997388873,16.686504290124,16.8270907589591,18.4418918195423,18.4929909512615
"1855","sp|P0DMM9|ST1A3_HUMAN",19.0089993746876,18.8818616769776,18.8931591085398,18.9580621383735,19.6936684286181,19.6842032196266,14.8805800145147,16.7895667585679,16.6890132383997,16.6766711062572,16.6510696518578,17.3481174363248,17.2142056667198
"1856","sp|O75569|PRKRA_HUMAN",16.8055024964852,17.0466716993612,16.5427524608103,16.0237383437651,16.7259970873317,16.6955331284097,15.7739770105296,17.4704957665586,17.3235287407587,17.4847087579275,17.2884645164584,18.0604986926835,17.732495647034
"1857","sp|Q13976|KGP1_HUMAN",16.0292460966304,16.3926685493887,17.2346698241906,17.0815181048834,17.8468892317543,17.8057719305091,15.6638769008714,16.8292643626016,16.9991475452737,17.4165255908686,17.3984667689366,15.8983680634849,15.8982394524614
"1858","sp|Q9UIJ7|KAD3_HUMAN",17.1515992051407,17.2817971264953,16.5725880297619,16.4270936544946,18.2829487095635,18.6837108808833,16.2178648475024,18.070189266946,18.8645101770946,17.7725082097666,17.6840758644062,18.160880896102,18.8258903577114
"1859","sp|P01920|DQB1_HUMAN",15.8500472754522,15.4237125763848,16.8548767647137,16.6678995451191,17.937325744117,17.6902105420469,18.8998082881566,15.6790659640521,15.949267244337,17.6402764708207,17.6690954087939,16.2591043019848,16.7423570921862
"1860","sp|P49406|RM19_HUMAN",16.6205528360052,16.9333070838469,16.7451841434946,17.3158435003459,16.9508146160368,17.1378946095669,15.5621656937282,18.1427454008777,18.0582335755201,17.8015574117034,18.0547102434424,17.3261161985378,17.6071819790403
"1861","sp|Q4G0N4|NAKD2_HUMAN",14.2783699749469,13.7071888277132,13.5636876202418,13.1280172853013,15.3209468663691,15.29029936018,10.99128555707,16.6822630425196,15.5112381402735,15.083949710917,16.4806070562024,16.1235542346145,16.1495314079293
"1862","sp|P23743|DGKA_HUMAN",13.1348763235538,14.2030326726595,13.6112573462625,13.2940486401971,15.4039381014528,15.8564112256223,11.9925754258217,18.5374491319084,18.2646389969041,17.5958202883614,17.5320520192462,18.2854732157305,18.3673160954264
"1863","sp|Q06828|FMOD_HUMAN",16.738949427343,16.375548495477,18.2372328650005,17.8018492137077,18.6853817110703,18.5698324672605,16.5713916514712,16.9672695205725,16.8101680218037,21.1864847381764,21.1634284633743,17.3338210024063,17.2803688339885
"1864","sp|P07948|LYN_HUMAN",17.7212322838451,17.8251755068935,17.1929730269902,16.7587136656264,17.8745646257389,18.1621332108021,16.5858285943036,19.2038338991159,19.2727148725543,18.6972342487474,18.7598748324199,19.0497288727312,18.5828353198076
"1865","sp|Q04837|SSBP_HUMAN",16.9162450828834,17.0180490811588,16.2514919613052,16.562795736892,16.5369863859505,16.7026600971223,17.3903933872733,19.1284968874827,18.5117472872684,16.3025121628455,16.1906342927724,18.7382745917276,18.4683066832729
"1866","sp|P48739|PIPNB_HUMAN",18.8807030530847,18.4656287481792,18.7302583299555,18.1189630967239,19.162140610089,19.397270257262,16.4720016521384,19.3833583863272,19.2476274522722,19.7534100953831,19.8895746767054,18.8448028212336,18.8388278060503
"1867","sp|O60547|GMDS_HUMAN",16.6572348068558,16.8264188357827,16.154976030629,16.4354602630506,15.4565268659011,15.6478979952751,16.5936209652837,17.2293062794029,17.2151159237001,17.4458277062101,17.1397844365726,17.0098224253805,17.4087787838538
"1868","sp|O14936|CSKP_HUMAN",14.3397849583863,14.9605017679109,15.3314550392114,14.996097477064,15.1909209767593,15.4852956565061,11.8329651577157,17.2095612686181,17.2767565874736,17.1138881818912,17.2124364967937,17.0073265223452,17.3815277470089
"1869","sp|P46087|NOP2_HUMAN",13.306136819292,13.4272036844623,12.0864367932293,12.902044972411,14.4507985502691,13.8659257024027,10.8205685643394,16.9404765312641,16.8051477456938,16.9750359000705,16.8358435287055,15.5974811292435,15.6209466526485
"1870","sp|Q92538|GBF1_HUMAN",13.4503306201767,13.2462834308515,14.9111063578248,13.0904615346024,15.417967658289,15.3478636895662,11.5293274582862,16.5231075056883,16.1837538581712,17.8193609962113,17.5385118650701,15.5103729989319,16.0040966795819
"1871","Int_P61626ups|LYSC_HUMAN_UPS",19.8540595443334,20.3103821214928,18.9647740817287,19.9449000183737,19.4086854695418,19.3108202462304,20.2753005456928,20.1143093914216,20.1775175711806,18.3487899781869,17.7471614278049,19.1629191392507,20.1202987592483
"1872","sp|Q15109|RAGE_HUMAN",19.1963756109604,19.0573774955704,20.4168275611096,20.5932874271829,21.2126248881405,21.2048321261583,17.6134901369227,18.2964195377964,17.8254672855158,18.1727548341263,18.2767598482839,17.5511317945716,17.2365210012794
"1873","sp|P28161|GSTM2_HUMAN",13.6362537245772,13.4279607222592,14.4045159635452,14.7548678204712,13.85782128807,14.0156873257984,12.894572630945,14.6517416724822,14.5606541945671,14.3599171767343,14.1762475981063,13.5715644742251,13.6621049847831
"1874","sp|P15428|PGDH_HUMAN",12.166134443798,12.388492110376,14.9551433425682,15.7377020412021,17.6189310135331,17.8130450718111,13.202664581557,13.3697495641118,13.2080151114866,13.1914624110405,13.5912082784429,14.4335653783701,14.7584511406635
"1875","sp|O60784|TOM1_HUMAN",18.3587007257281,18.6508563021305,18.3354534145196,18.3654250300304,18.9447496904938,18.9260170882714,17.1418112595357,18.4876039149405,18.5084934435488,19.0212621533244,18.9523695823402,18.7375996720063,18.8587207708351
"1876","sp|Q9NS69|TOM22_HUMAN",14.478968757296,16.0830272211257,16.7084261184665,16.674920543481,16.1301781353582,16.2798862258629,14.6721964014975,18.1519534055083,18.1229389214795,16.6895273622379,17.0146498770133,18.8841389672638,17.3592121397093
"1877","sp|Q06203|PUR1_HUMAN",11.8863737746348,11.182718280912,9.55838514733609,9.92207410593866,13.5502966207547,15.0735514527434,14.0935287219044,17.0313775259091,17.3488285305476,16.3566417351397,16.5362849195689,15.8372369100757,16.2189016367201
"1878","sp|Q9UPY8|MARE3_HUMAN",15.4078943223985,15.8269888588919,15.4598334411058,14.2628461463864,16.28864504455,15.7386603831296,13.3359492181821,15.547075223025,15.119625564473,16.1775152959527,16.5473606970191,16.9042123980264,17.0163033093643
"1879","sp|Q99729|ROAA_HUMAN",15.1468782221667,14.932233476334,15.3953442621721,15.6166656114907,15.9925288321483,16.0723128579614,13.6053520763002,16.9751073087778,17.6470418474305,17.303154349057,17.3653360629943,16.7054357014689,16.1896778414622
"1880","sp|O75400|PR40A_HUMAN",16.6268464171846,16.7563023509229,14.9413524099699,14.7915552989154,16.7129926133164,17.5184306953783,13.2446860974054,16.9864450057913,17.0768470460824,17.4632277088788,17.4933529548548,18.4993674004975,18.4081547994894
"1881","sp|Q8WYJ6|SEPT1_HUMAN",15.2727002884863,15.1701861340228,14.9330382715709,14.126470132006,15.79281329444,15.0540401860705,10.3586400438616,16.0405292334328,16.2680049321174,17.3107883527133,17.0532720578011,18.4578509028914,18.3275866936682
"1882","sp|O75494|SRS10_HUMAN;sp|Q8WXF0|SRS12_HUMAN",16.8563030446285,16.8503565577837,16.851813345987,16.5785700318989,17.4794917245833,17.3802713708246,16.1410052658991,17.8013525070854,17.7642312417093,16.9230066471983,17.2350620521339,18.5466359747158,18.4947231907759
"1883","sp|Q9ULC5|ACSL5_HUMAN",16.813972018847,16.9647859448795,17.0881765202821,16.8107685660418,17.907890367394,17.9381932265011,16.0223385985916,15.6912578948445,15.8331931462598,16.6999520474493,16.8607924699356,15.7232298258009,15.2492851578057
"1884","sp|P63151|2ABA_HUMAN;sp|Q9Y2T4|2ABG_HUMAN",16.5031734839693,16.3481526261614,16.6983925210797,17.119520964452,17.687495575414,17.9520415447969,16.1291834731886,19.2425161809566,18.8315440340596,17.8760734247329,18.0977318328744,19.8465924804621,19.4478647077961
"1885","sp|P42858|HD_HUMAN",15.6012535428469,15.6256770683264,15.7036030693383,15.71306935891,16.4498076890048,16.4985236809021,14.8575391166821,17.7340561803555,17.9433126205777,16.7804033908723,16.9077797545485,17.5626428511461,17.4035907327701
"1886","sp|Q8WW12|PCNP_HUMAN",17.93812232981,17.7451590016605,17.0757111568329,16.9134014750151,17.870357022492,17.8679265598322,16.6482628346208,17.5856713140855,17.7616768881981,17.8986368656983,17.3258259337115,18.157618404072,18.1035383524548
"1887","sp|P61225|RAP2B_HUMAN",18.0076642869711,17.8604475367562,17.6326437273812,17.7921571706625,15.800619646981,16.3960308255091,19.2856287876591,17.5427903033338,16.2338401818433,13.1535672245749,13.2557940689708,16.8471080392488,16.722988330238
"1888","sp|Q9BQS8|FYCO1_HUMAN",12.4887140407139,13.3326675013106,14.4941504774714,13.3640325968696,16.6323069109439,16.5019431920425,14.5957307863637,14.4660741295729,14.965003794672,14.8658443481985,15.297813766957,15.4199425303941,15.6050309688649
"1889","sp|Q9BRG1|VPS25_HUMAN",17.157932521515,16.3728202278172,15.6543420214897,15.6881665000522,16.8594231597958,16.8584452113835,15.9832086894612,17.4881286271631,17.3878394886373,15.7928527539083,15.8612605126993,17.7381708130398,18.0837537732304
"1890","sp|Q02153|GCYB1_HUMAN",14.9445288016073,14.8693744738813,15.5640655049301,15.3223914837762,17.2951016959869,16.8758284433857,14.3463907504989,15.676692591484,15.1906193557393,16.3863793564557,16.419471846271,15.9079470359004,15.830075083696
"1891","sp|Q92804|RBP56_HUMAN",17.266216468576,16.8064604602141,15.6906879287414,16.2524514906706,18.897965551541,15.7807116037266,16.9373901433003,18.0042098844379,17.9859842214985,18.6744437259543,17.4736433017089,17.8498333954928,18.9650748453093
"1892","sp|Q9Y6M9|NDUB9_HUMAN",16.0124154915852,15.864693127751,16.0703152043344,16.6863823759733,17.2748021665368,17.276804386818,16.0269499390866,17.9967260756238,17.9515721574342,18.3637872427725,18.326127318787,18.9377506133339,18.7914417982603
"1893","sp|P54802|ANAG_HUMAN",15.0264476073989,15.0577432412103,13.4546430739806,12.9043082901552,14.5778188635708,14.9487956405487,11.6416641567387,17.0178129525256,16.8866262251778,15.2596603684915,15.4167895149933,15.9549794329431,15.9997491868789
"1894","sp|Q07507|DERM_HUMAN",19.6238669934568,19.7288267806538,20.7967053159291,20.3703413251835,20.9843066889712,21.0133588260947,21.2833708384081,16.831535449151,16.9055189761018,17.8477928201057,17.9870385017244,19.4055159825985,19.2621985651775
"1895","sp|P01593|KV101_HUMAN;sp|P01608|KV116_HUMAN;sp|P01607|KV115_HUMAN;sp|P01610|KV118_HUMAN",20.7205229895379,20.8795465740968,21.4446711458956,21.8239159565986,21.4636547124049,20.9477490028406,17.5391309475487,19.4902940396821,19.6255959051696,20.7801634692477,20.7846585958838,21.6552182918266,21.6163185158326
"1896","sp|O60234|GMFG_HUMAN",18.4887982379287,19.0671002413814,18.4118413228533,18.22527907416,19.1932703368399,19.225162738326,17.3655140616369,19.3725402590683,19.7234007467056,20.2114507287965,20.3061655423192,20.138281551052,19.6998158246851
"1897","sp|P09234|RU1C_HUMAN",14.2493983057384,8.8478034872953,15.5161807125277,14.8977762207665,16.7311068596928,17.0010292414476,14.073473159009,18.0202058377371,17.9853173763408,17.5586928133285,16.1654678801205,19.0205548639508,18.4154010472198
"1898","sp|Q9NZ45|CISD1_HUMAN",18.3653881806137,18.2405043821548,17.763204460193,17.3372266745686,18.2428367153895,18.3941984403716,16.4356999799204,18.5889554168213,18.4179971553127,19.2248008005789,19.5096260190684,19.553218091906,19.3979536725626
"1899","sp|P62495|ERF1_HUMAN",17.6888171489062,17.7703425346406,17.9207260477222,17.7741227983847,18.8881990720655,18.4913089132725,16.4153357909764,17.8388261423354,17.650751479788,19.2628399606112,19.4034946078868,18.5916484004728,18.9205497484149
"1900","sp|O94919|ENDD1_HUMAN",18.0552961656783,18.3557616481298,18.6121742337266,18.139916290078,18.3308777863634,18.3765301868262,17.5723907595452,17.1193568285866,17.3721152117689,17.6276650822793,17.6738514723122,18.0573611973199,18.0699134928721
"1901","sp|Q9H845|ACAD9_HUMAN",17.2490031301506,16.8759206276976,16.2945136707928,16.046965114664,17.0871547314671,17.0291017862423,15.1905126636594,17.7461834324636,17.5867824407495,17.3756124812231,17.1030101018267,17.5201720167722,17.3910720132905
