"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2
"1697","sp|P13284|GILT_HUMAN",17.9328473976724,18.2143670055494,15.4352113875536,15.5661589946975,16.3982727321607,16.2802250912693,16.2784765598757,17.1223309170752,16.9510911585989,15.7005486212854,15.449687923393,16.3721631593696,16.0903036229696
"1698","sp|O75882|ATRN_HUMAN",18.1260681056859,17.7432699292011,18.3514284452193,18.3471728636786,17.5059303920459,17.1405656079609,18.8443191233798,17.2470908664276,16.3441966818194,17.1677159852969,16.7702435819607,16.0824236455431,16.3522440855049
"1699","sp|P10620|MGST1_HUMAN",18.5052103707228,18.7406655660328,17.4355704533704,18.4244504517176,18.1180979068303,18.0019957684417,17.8953349645622,18.1054061103852,18.0060247248328,18.1750702901446,18.6000165265729,18.1093467819305,18.1926448991885
"1700","sp|Q96CV9|OPTN_HUMAN",17.0363110351072,16.7743959816569,16.7000071757026,16.8890944954545,17.2612691374834,17.1841059864761,17.4386330153871,16.3649292899155,16.4486620043878,17.0827187393407,17.1770033702768,15.2696633317848,15.5115006848406
"1701","sp|Q9Y315|DEOC_HUMAN",18.8011768971263,18.8167041072671,18.8566185003892,18.6651401581768,18.7939172412617,18.6823256175063,19.2183698990456,18.43175071163,18.485329105451,18.2358454547495,18.7139845850022,18.4075536267628,17.8458667090812
"1702","sp|P24534|EF1B_HUMAN",19.2240901562229,19.1786225421596,20.0858997895809,19.8564478271537,20.0755846212153,20.1670934137734,19.2884544129144,20.1961517972333,20.2175620557524,20.5397978637529,20.8203419509808,20.1684800352349,20.4288942490625
"1703","sp|P20645|MPRD_HUMAN",17.8053833760013,17.7820369883277,17.3155386879541,17.4425028694831,17.4967072537182,17.5645820444168,17.0388355907623,18.7038775188283,18.6132831130398,18.2904081013247,17.9007226797957,18.6439830245048,18.920191600541
"1704","sp|Q9UEY8|ADDG_HUMAN",19.3790859634179,19.1281633249654,19.630916282545,19.8704428058602,20.0154088719744,19.3275002686266,19.9075685806371,18.6157831878649,18.9854867586342,18.771528622741,18.4910504123131,18.2358454547495,18.5110109506718
"1705","sp|O43169|CYB5B_HUMAN",16.114873379948,16.0243078381819,16.8216961884766,15.9571151653751,16.0882811500794,16.2068804983442,14.793885285444,14.0778975427021,15.2154410584996,15.1727349468835,14.8317501540613,15.9016724654571,15.8031436082919
"1706","sp|Q8N8S7|ENAH_HUMAN",15.4280393909669,15.3119204615878,15.3362125149803,16.0383298740553,15.8984994879078,15.538868988992,15.0755115074438,15.2890581947877,15.6539502576128,16.4113368928722,16.3393026827787,14.3093449115063,13.9684373820515
"1707","sp|P25685|DNJB1_HUMAN",18.4030207272424,17.4677572966542,18.8167041072671,18.3541237929129,18.3035724610476,17.4015705662417,17.6716395133286,17.4631686326985,18.2069764299316,17.5575569258092,17.6977560442643,18.3491211032611,17.5546517181636
"1708","sp|O15212|PFD6_HUMAN",18.0873995848589,17.9390794210998,18.288085412408,17.7936064224844,18.8308504726525,18.5874947548782,17.9121731955493,18.5110109506718,18.7372792367219,17.4267097992091,17.5742475771909,17.8248148855395,17.9400805389941
"1709","sp|Q9Y5X1|SNX9_HUMAN",17.7394000814627,17.2953931826826,17.8279444249815,17.9225378439179,17.4677572966542,17.6513918754639,17.7130688529343,17.768734523741,18.1630940181236,18.5409314791639,18.6686420274482,17.5374310929451,17.7741348438488
"1710","sp|Q9UNX3|RL26L_HUMAN;sp|Q2PPJ7|RGPA2_HUMAN",16.7633605015099,15.0826527155063,15.7483130546813,16.7580555777987,16.8192481422815,17.2116693510456,15.7666724724732,16.7192609629057,16.3872393941518,18.0526563115475,18.0159803623749,17.8778149565999,18.0586398310682
"1711","sp|P61254|RL26_HUMAN",5.68249217776937,13.9763234741517,2.37084439791121,12.5733250378153,15.7413801848088,15.3044661559082,10.3824919607792,12.0942246120047,12.6911462374816,15.225188673422,14.985603832943,14.4879441828195,15.1757087200992
"1712","sp|P43405|KSYK_HUMAN",16.0553336998635,16.2480272965284,16.1390174023076,16.2637024982764,16.1232573665074,15.4971578170154,16.6043963757376,17.4015705662417,17.7006043069783,15.934211255564,16.1090289768762,17.0519998734249,17.1141520320811
"1713","sp|O00499|BIN1_HUMAN",16.8084479595772,16.5797867526895,16.3498305316609,16.5973288993638,17.175101821819,17.1907111983766,16.9139232391022,16.3414929820022,15.1958688019592,17.0454853182774,16.7968507479881,15.7835251360719,15.9836879613964
"1714","sp|Q9NUJ1|ABHDA_HUMAN",17.9479985329349,17.7179754969774,16.5560315276884,16.7984171568897,17.077411517782,17.3435034403046,16.5480030727212,17.0085865539638,16.7556707399355,16.7861440904134,17.2753664052222,17.1677159852969,17.1698406961077
"1715","sp|P28676|GRAN_HUMAN",19.3852481123345,19.5726692441347,18.7470240576563,19.3219137770122,17.8053833760013,18.2091949552932,19.4059174181728,19.9749889249117,19.9047237595317,18.0635254771776,17.8903825989166,19.8255429558333,19.3140191536519
"1716","sp|P12821|ACE_HUMAN",17.1068019575895,16.7110435208061,17.8099967216764,18.0981299546139,17.6775185256526,18.6418461826577,18.1683553328201,17.0795105657239,17.1657504428884,15.6716514951632,16.1123027193592,16.4707906866628,16.1956439045737
"1717","sp|Q9UIQ6|LCAP_HUMAN",17.4437952778779,17.6284923435138,18.1260681056859,18.0884880584197,18.2664825269482,17.9516113033354,17.7394000814627,17.9625202050528,17.9969722693328,18.2251750186865,18.2456458657061,17.3435034403046,17.1298116215729
"1718","sp|P15927|RFA2_HUMAN",15.9368260078861,15.6255481241318,15.4774995286241,15.9232624339821,16.4149105206573,15.7531602885355,17.9516113033354,16.4692424989005,16.3281427764194,16.4882485654247,16.0946568235802,16.1632883647954,16.80498804076
"1719","sp|P49959|MRE11_HUMAN",16.3846779824394,16.3441966818194,16.0243078381819,16.2269068755905,16.7145324925568,16.5201933944765,14.9226332483414,17.2512030797057,17.1820779432138,16.7145324925568,16.7192609629057,17.4583651551566,17.5688868014845
"1720","sp|Q9Y333|LSM2_HUMAN",19.8243009079509,19.8096894282297,19.7255060737862,19.6840857174421,19.2625862395149,19.6981724555273,18.903852228533,19.9910778786523,20.1385212435713,20.4823253943778,20.0208467762922,19.7055049696652,19.9843756946839
"1721","sp|Q02818|NUCB1_HUMAN",17.8296104800637,18.2749993449559,17.4471686975558,17.6103412893294,17.1841059864761,17.1192914908231,17.171708599778,18.5744343872334,18.7314566473634,16.9595699274077,16.299881494621,18.3160147557067,18.4127100552232
"1722","sp|Q70UQ0|IKIP_HUMAN",17.7287768218592,18.011255363866,17.6213662290133,17.4401582281536,17.6376205137475,17.6628810263741,18.1888616682508,17.4755780146625,17.6585658435091,18.8629072652746,18.6965865613612,16.8952261217579,16.904497887395
"1723","sp|O15258|RER1_HUMAN",17.9831608930125,17.5589608500657,18.6686420274482,18.2326907905067,18.2431838329526,18.3185931234671,18.2358454547495,18.4793701243816,17.4808737359905,19.3140191536519,19.5642674782044,18.147751425997,18.4054419531625
"1724","sp|O95470|SGPL1_HUMAN",16.591412252638,16.5814199539533,16.1295555817871,16.1692998321535,15.376373455409,15.5537737266047,15.771408262638,17.703543991696,17.4900482016389,16.6629507710093,16.3312834420435,17.9969722693328,17.4267097992091
"1725","sp|P40394|ADH7_HUMAN",13.8966331826119,14.0288632928345,11.5565775518922,8.07540118007042,11.9331661267971,11.7294264638205,13.0320038914182,12.8857577947699,13.2298406474453,7.63578877031508,7.86973340965314,17.0363110351072,17.9789148842221
"1726","sp|Q96IJ6|GMPPA_HUMAN",16.9271471132541,16.6229618637831,16.4934457112748,16.9533546639974,16.5131081953948,16.9573303349771,17.4148665473552,16.2784765598757,16.4797117386847,17.552509656886,17.5862072648126,17.5645820444168,17.669853172014
"1727","sp|P53367|ARFP1_HUMAN",17.8363474401685,17.6335439073503,17.7151215379579,17.6079852324578,17.4044162890226,17.6741818636639,17.6775185256526,17.5790671359897,17.2007273800046,17.019034180168,17.6249451733792,16.5234084083591,16.7760356187503
"1728","sp|P51553|IDH3G_HUMAN",16.7604315431571,16.3745361057913,13.3455592312285,14.6562261200166,16.0243078381819,16.114873379948,14.6214659514653,15.1787317180084,15.6426353763781,14.2805447378806,14.1377704611318,18.1888616682508,18.0208308172182
"1729","sp|O60220|TIM8A_HUMAN",16.4227256446826,16.3817615142159,16.9062944484784,16.5939627992381,15.7448845622587,16.0779500248013,16.1169584167699,17.4457192470267,17.31991446092,16.8162749439037,16.7456672965432,17.7410596873,17.5622784271793
"1730","sp|Q08170|SRSF4_HUMAN",14.2734928457421,14.7403338350641,7.93260125470305,-3.38811477567925,14.0984873981318,13.995538870524,12.9204049127724,14.0873004698959,13.9276062710233,14.8640603179929,14.750824532994,12.2762105016207,13.0202585386898
"1731","sp|P57740|NU107_HUMAN",15.7835251360719,15.7079120575725,14.9621411076848,14.717048076444,15.6508695995798,15.5468310443911,14.8993795469235,16.9062944484784,16.6043963757376,16.2661181568787,16.0677270314755,16.092154873826,16.271615619765
"1732","sp|Q6L8Q7|PDE12_HUMAN",15.3646846679406,14.793885285444,14.5732196757663,15.6632075246283,14.3609082270547,14.2540288731848,16.4692424989005,16.4300116625433,15.9208048790937,15.5537737266047,15.6903703431062,15.3069444664331,15.2477161879969
