"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2
"2149","sp|Q9UI30|TR112_HUMAN",108388.787250918,117954.447187395,199896.4522,109709.01730175,310548.188911577,196903.15535596,19256.9716029555,747682.362788575,649765.921830764,776510.177188345,1113930.97061412,534972.778746101,623444.595000324
"2150","sp|Q8N3V7|SYNPO_HUMAN",187104.214533129,173512.463387113,531870.4723,473338.068290093,937600.956003593,929264.978021354,45718.3591005911,141270.562001949,198292.392471323,640120.257489193,894005.414357299,214352.818751185,183590.679280026
"2151","sp|Q8WU79|SMAP2_HUMAN",69680.0332189464,65155.4201750302,279657.8363,244328.229182897,193589.163276957,174659.461438609,45092.698296087,239239.814915816,252951.252628683,333231.216269457,304038.313119321,670355.618592989,641337.661231757
"2152","sp|P05089|ARGI1_HUMAN",34266.0460239132,44336.1068506393,15251.68384,21717.2782042912,10431.8053183795,9086.93275129542,27484.7624358097,115737.543986537,86305.1160629809,13567.2678432694,11188.8103104923,10944.136067629,15383.9814276048
"2153","sp|Q14011|CIRBP_HUMAN",50333.8593978445,52471.1888216483,129813.214,121209.723715534,90604.4195828271,77497.2466737457,18340.4816219581,87163.5808624875,93206.2225622358,199919.686939871,148052.053829965,223649.292793437,161971.801157579
"2154","sp|Q13428|TCOF_HUMAN",14047.8984194644,23008.8101193063,12052.51236,17528.2822205211,101126.638808121,85181.447452983,2858.07411739333,67207.2604177313,60775.3410118145,177171.230579121,225408.086809285,95697.4181419177,92437.14730901
"2155","sp|Q96J01|THOC3_HUMAN",18453.8854670829,21814.193964797,31624.88215,24304.0925920957,26942.6101731881,31888.6377107653,14971.7887654498,276546.219627617,234800.273164671,91723.1121603894,81439.2134310648,157439.391726481,113474.786172823
"2156","sp|P31937|3HIDH_HUMAN",55735.4956290294,60826.6693687471,43180.31684,52757.2222661055,139199.950342944,118813.696929505,6754.25490449472,112401.789144949,136506.756763371,307524.607492384,311637.087949898,105235.803549553,115896.958051483
"2157","sp|Q13123|RED_HUMAN",19010.613590222,25231.1683687534,22547.34407,22321.4517456427,53665.54129737,47556.9095950785,6448.32073941082,85803.4018246759,86552.1476117549,133325.193511808,134599.157834978,60023.8072634701,67778.4749972843
"2158","sp|P25815|S100P_HUMAN",50620.1076992023,44937.9065265284,70932.18915,62393.1483085308,19569.3807342817,28513.487149639,20479.542271743,1056888.95489107,1137602.87012578,126220.460577259,110848.051571244,404056.659289844,275519.053042635
"2159","sp|P46734|MP2K3_HUMAN;sp|P52564|MP2K6_HUMAN",23260.9315216375,35616.3493742946,53550.95037,37162.4801062217,54197.2047089929,46326.189716302,18779.3086992971,156029.774317251,108806.847924945,148517.489580109,129880.605615539,132566.159700938,130078.508896761
"2160","sp|Q9NZN5|ARHGC_HUMAN",20991.3121552598,23912.6526160871,87165.0479,77051.9396378368,111749.908455218,116767.822410226,20616.4919393576,167410.286468493,178699.503878755,168813.497139503,193143.362502737,122725.181767526,157323.602721025
"2161","sp|P53990|IST1_HUMAN",20146.5828381446,27120.8365277242,39923.04361,41068.8452037094,42586.4309236721,56515.4131709915,9456.47584053957,142579.620623603,174177.155954543,162672.679225819,139307.104226527,80902.8217343487,58964.9894644968
"2162","sp|Q5VZK9|LR16A_HUMAN",16272.5791241059,21302.3518116948,56154.33635,42969.7738204145,65024.4933840638,71283.8362834144,15254.1510712634,119778.127870473,102325.817161069,81405.1227600681,90643.574367124,79161.6991989755,98618.5453173864
"2163","sp|Q14376|GALE_HUMAN",111441.57414544,143505.882630952,182751.2755,114633.248214302,213915.790866386,226798.301772883,52369.8720350353,434279.406189469,355807.772597911,393226.70289236,323363.942088746,229101.605514237,295305.737290603
"2164","sp|P15586|GNS_HUMAN",33284.2908792734,36053.4024037991,38551.33261,13865.3617402887,60720.0375208569,36591.8383532208,2108.92010846382,155995.106904727,137976.826318635,117424.251617137,60758.9049426383,36608.276864368,63868.6712386878
"2165","sp|P01700|LV102_HUMAN",28185.8394730512,25829.2252096887,162304.4655,135175.557337536,88976.3697278729,72531.2565710517,43621.6045828132,19004.3212049213,25228.0321746223,155185.151072249,270392.878279229,41277.5351472976,33499.1434165785
"2166","sp|P30533|AMRP_HUMAN",5390.52822248291,4852.06519020151,8034.712185,17013.9589382857,11192.250447896,7069.7922590451,3645.45086569759,52250.1792318094,41374.7078332686,29336.8715538194,23038.8770811884,26570.6970120095,16711.9888701777
"2167","sp|P18428|LBP_HUMAN",225696.332600157,322280.318739562,1515750.5,1693808.95987012,499373.017106176,448516.913858544,434559.530614068,316250.636758522,199519.310947554,1137275.25512139,1047261.33671078,1027960.19999641,1059350.96832355
"2168","sp|Q8IXM6|NRM_HUMAN",22477.3198419499,31519.2221552718,74725.15683,85833.2455120018,168095.294796163,158041.621759882,30594.8644116651,156302.101443435,172951.870674255,370545.965430344,297563.100600652,80859.0761550897,89832.3175055251
"2169","sp|Q14839|CHD4_HUMAN;sp|Q8TDI0|CHD5_HUMAN",16398.7760685308,19407.8927540006,40133.87253,45596.8693062441,98124.4654725003,145524.155865465,22299.2706450067,162572.58325329,81394.1619539575,244234.58077688,151415.463848594,310638.410220086,320888.84302368
"2170","sp|Q07021|C1QBP_HUMAN",62769.1576832531,64864.4401776417,53413.77533,65766.7115579127,171368.567529744,144240.129352091,14237.9831644086,366614.523618861,502144.666061713,143692.418279608,186401.466284428,260993.54295894,324406.679319747
"2171","sp|P30038|AL4A1_HUMAN",52401.8813495459,51953.7055641406,86460.92266,95242.2889743532,150894.30979262,157110.485177926,8858.89256295932,97724.5355023065,104030.348001259,319150.453607464,298670.787530546,143688.296279207,156356.191363817
"2172","sp|P61601|NCALD_HUMAN;sp|P84074|HPCA_HUMAN",75161.7621593365,89039.1351479823,329579.8838,271109.250468504,509191.186245493,516278.914880102,36726.9472932182,230807.479068699,204483.080183592,171840.02502694,195000.869483687,131499.647457915,135933.683660461
"2173","sp|Q96T51|RUFY1_HUMAN",60171.2156102602,74490.5737557677,142322.2712,114819.051051634,169045.671690501,174091.857259017,15317.1906383851,330417.507453432,359146.921193235,236367.251333924,267045.521527514,249371.217777121,262105.501554081
"2174","sp|P36269|GGT5_HUMAN",23410.3152237529,29567.8352317887,89469.038,83233.4809940614,65406.923321072,64474.5918313051,31322.1268474771,58370.9779882905,53179.8525289361,513513.0779699,440785.832937422,89150.0767417635,167539.42176949
"2175","sp|Q9BYD3|RM04_HUMAN",20631.6791734249,24288.2849260476,13817.11513,10859.7434783937,32986.152370518,32030.787650212,112.994948176582,230813.625111894,229025.206549723,260185.668921644,307073.399706195,110704.554844043,144671.153931819
"2176","sp|Q8IXJ6|SIR2_HUMAN",10640.8541034304,14451.4813097251,23358.80117,19918.8978774661,47605.7994136511,37651.4491110228,6544.32393509716,50759.5481373268,55796.0389343037,47822.814210479,48281.1270601009,29283.012035956,43299.5806233817
"2177","sp|Q96RP9|EFGM_HUMAN",9705.25092419443,12266.6707440784,17749.43269,21225.9870378718,82248.7887917031,92446.3535950522,10307.9411059388,4919.4438324443,2722.1452442949,259451.857597112,274064.874806974,50384.4712895227,57172.1449299843
"2178","sp|Q92621|NU205_HUMAN",17021.42954534,25863.5882883824,12332.98678,12909.04234674,52088.9813730255,49947.6120967531,4151.86810209277,154848.308274225,153562.374152212,163565.070730768,144029.166743341,76184.288129074,83586.3548927915
"2179","sp|Q06265|EXOS9_HUMAN",30368.6644615404,27565.4201669754,35610.86567,34110.4129449839,41899.4215206857,48371.9172298884,15321.9587881141,128652.811854674,171758.263777637,139780.888079743,137334.082985144,97907.0221370845,118789.294037945
"2180","sp|Q9H6S3|ES8L2_HUMAN",40430.640109684,34481.4578584026,183851.4744,162710.005395641,178338.21296287,215665.739878818,22151.1324493307,90813.0420807303,96456.899987113,173433.408650761,479704.57568998,102126.20857895,113968.568506363
"2181","sp|O15160|RPAC1_HUMAN",12993.8102105242,22231.4377783905,55826.24279,38703.3606239409,36152.2722209121,31671.7271946782,22560.3239305847,268914.184011058,305894.662153446,161286.582237818,128818.165044616,220775.111758983,293565.855566476
"2182","sp|P31645|SC6A4_HUMAN",3213.8523727575,4089.11452830459,190908.7431,235235.778115252,94875.2181911417,99217.5819829425,4.72166493772663e-06,5415.52417111988,3572.95578786547,6567.56932315061,1117.20492960223,5880.99963958825,1726.46444936793
"2183","sp|Q12913|PTPRJ_HUMAN",30008.5024755225,38595.9372452617,33507.57378,24904.6437248746,47809.428727575,51050.1370585793,8146.91709342625,153382.137937728,141948.126050997,155700.035822199,133799.514108544,70942.2201245835,72225.5456221575
"2184","sp|O95721|SNP29_HUMAN",35434.0296063037,51371.5330519018,60427.98596,51290.3304633936,45601.598573948,40875.3337863429,22358.8456196553,119768.336551837,140327.278204715,246652.123890298,232622.125155987,119866.898434077,88471.2572639535
"2185","sp|P48163|MAOX_HUMAN",3861.76024861648,5321.58974248507,9505.909187,8372.34385023852,862.44992270232,6859.3261540226,1717.35835425732,45773.0443625542,43277.6265214467,3588.24680062041,5563.91539259579,181753.444856947,140973.582175403
"2186","sp|Q96D15|RCN3_HUMAN",3911.83904248422,5897.2766149558,15756.339,14295.1611253897,9777.67696576258,19478.4721952716,14384.7094217316,197951.912696463,275710.264037171,194019.196930247,200975.585731107,99088.3839182242,86989.7714551456
"2187","sp|O43324|MCA3_HUMAN",36126.9771675842,37997.8619035221,25300.85045,20644.8030327659,10460.981223431,3343.25220657375,1868.73336740107,80150.4830191351,46295.2559526467,22017.8600685783,22063.7038643901,125766.660773392,157177.280570257
"2188","sp|Q8NHP6|MSPD2_HUMAN",4947.51229432166,6679.9685103224,24393.51504,29033.7840688268,39273.513112293,49783.5290726679,3729.78599630978,49242.2461762474,48612.0017314419,63350.1749928675,70610.1286113829,79902.5301466331,60978.388179232
"2189","sp|P33991|MCM4_HUMAN",32534.783862634,24540.3256205495,86476.78527,89163.3483618819,62698.3104297513,82525.3380700188,17568.4455403726,381652.896399786,240743.55105337,610249.370983418,807792.290990084,226827.979679392,275138.856664558
"2190","sp|P14735|IDE_HUMAN",64253.120930119,71685.4008558881,190153.2284,158153.549161254,194769.604708239,195364.910865167,58942.3495961301,450585.810280675,340625.112169133,582415.623632557,599836.59751583,315299.522834687,191872.707294944
"2191","sp|Q9NRF8|PYRG2_HUMAN",9174.13382411539,8432.01334840589,13846.9825,13882.2835085341,37967.1308441829,36618.9239059275,4440.68746696496,62113.6854546445,56605.1748306065,19590.0968731127,30810.100153436,15408.1517553837,17263.6578989662
"2192","sp|P51532|SMCA4_HUMAN;sp|P51531|SMCA2_HUMAN",11829.7340605276,20132.2023812928,38275.17274,34444.0619163608,80193.114258331,76283.1213493473,9213.20394849719,179492.690647796,154032.489290522,246174.822545657,164622.319589499,253658.16445186,152833.131744096
"2193","sp|Q9UIV8|SPB13_HUMAN",1334.68966398859,1488.17904021538,6138.681737,632.374272593025,5608.55299208862,3819.66301870001,3884.30002188162,455613.43400594,361600.621114311,15750.0751969497,38982.5534013155,168886.924901874,133190.542855278
"2194","sp|O94901|SUN1_HUMAN",18713.7197449601,13467.7719819732,88670.54111,80293.3270117875,99825.6488527404,70910.6958926188,13392.7148151053,132868.088057152,121541.432296106,135310.941202442,156542.077577352,155246.605438859,197680.44522689
"2195","sp|Q6P996|PDXD1_HUMAN",11199.0376344094,7397.05919442692,25288.96559,17696.2264494533,30204.1084140338,30219.4470980189,6881.62862483074,54010.2866996333,51756.3274627295,123420.492461383,114533.128481126,150437.219316624,174275.218764553
"2196","sp|Q9BYJ9|YTHD1_HUMAN",7075.07498268404,6565.11207268714,25344.81808,17914.6366985608,42665.3534540505,28523.3845034959,1898.83634079505,129526.006589182,132303.940421001,189740.227845126,114226.490848529,114363.489569645,100352.389570253
"2197","sp|O14618|CCS_HUMAN",171128.750537921,188707.114755771,441330.7039,341291.284851599,347956.516860984,348079.655130345,229584.805928576,280879.992080248,276525.341982443,619032.999299398,505723.222670669,295147.236354899,285511.426524284
"2198","sp|Q8IU85|KCC1D_HUMAN",9267.61080432934,9491.71198849351,12526.0287,9382.84808408025,33123.5454064241,38359.3478807202,4254.44306354922,42410.3304241712,34770.7400242184,83254.2689927793,71184.6062638104,23808.9565019389,35446.2295777286
"2199","sp|Q96PU5|NED4L_HUMAN",6166.165967383,13552.1451796216,15636.04189,15631.8245752008,24874.0130039737,23132.1125714255,2359.62021019271,99611.3382506049,110369.109823116,9030.19146850324,7661.43519397482,54929.6676622055,52625.4322890945
"2200","sp|Q5K4L6|S27A3_HUMAN",23217.922033673,42672.6971869624,98478.5574,39961.2682478808,92721.9394968651,103123.888469514,3693.08085481733,241218.189623294,274860.488927283,120131.444489801,104198.568711968,122413.322700786,118716.239942423
"2201","sp|P03956|MMP1_HUMAN",12888.263109859,13685.5498335631,13836.44025,15631.8906577623,35834.2702630866,50179.4686123304,55754.2215594657,59715.9471670055,31751.6108151954,123160.17451325,72813.444850357,113173.787767296,98979.6843782632
"2202","sp|P98172|EFNB1_HUMAN",15724.6622023512,15818.8558988456,108414.7403,89184.9976272956,180003.540727333,151718.453689588,14798.7885155592,84478.5401930192,77800.969266262,22098.1979550131,33751.0917762269,19766.9891325127,35766.4315392784
"2203","sp|P01714|LV301_HUMAN",392295.541384143,537530.73443721,1344900.954,1453849.03781733,619687.395727983,599947.810287344,691805.261053497,461137.126991724,442825.765572755,1328156.58858474,1239627.49131007,923151.900167662,765047.334312186
"2204","sp|Q92625|ANS1A_HUMAN",24852.9736904715,34097.6440472577,64083.79509,46947.8647240741,72830.1304297365,65304.496669598,2318.83802670732,154462.811749095,187932.675692907,112294.581352386,100680.249947454,84276.5711536018,97979.2038195094
"2205","sp|O14949|QCR8_HUMAN",16022.9568325417,12909.7944792399,23884.88182,12895.982129777,28078.8668410667,44160.2115192318,374.214120339366,54360.9935779932,46261.4341526956,69961.5652515437,71169.0807073027,72826.6799426744,73911.4206811711
"2206","sp|Q9H2G2|SLK_HUMAN",4369.87794322826,7511.79938398373,23257.28752,15607.8921505667,14920.2782126302,16976.6005727882,11204.1629105194,6373.22199104961,4564.92597235672,6332.50280181632,7054.34818138425,56091.2921364305,32965.930028135
"2207","sp|Q9NYB0|TE2IP_HUMAN",17370.7406154101,13847.1173191306,31388.65319,27773.0162213783,77950.5264376327,65734.7265806112,11601.1355208759,113314.076923443,105487.147873581,231330.789693937,237657.259805779,105474.441514878,173954.273101774
"2208","sp|O15305|PMM2_HUMAN",10536.8117663891,7168.56648115624,10742.43814,15945.3565543183,31344.3196607068,22874.8000445053,4461.59133954672,41931.4987027188,94269.346961164,102703.329622757,84337.3630790539,121930.50470832,107613.554676484
"2209","sp|P61586|RHOA_HUMAN",51792.593150861,47878.7391246354,44555.39197,45199.7604759817,170574.833979394,45920.4832677317,4147.91638205844,112369.42464299,123506.273598882,152798.709366381,86655.5371773628,285636.585749877,272348.946564812
"2210","sp|P62745|RHOB_HUMAN;sp|P08134|RHOC_HUMAN",63895.7390413453,74582.8642978895,68187.63703,46059.1062059754,124836.597382703,43689.3182330443,7265.72301211124,91120.5644331003,75930.2618570374,107747.691551143,128786.811096817,156780.881032791,97004.2946045406
"2211","sp|Q86TU7|SETD3_HUMAN",4044.61897348404,6403.84970640424,1200.522449,2824.38449562282,34200.9919941777,42986.9476275494,287.818061030974,226789.217929003,167896.669326341,88368.9273927215,89407.0961203016,48773.8287115799,49904.9869145311
"2212","sp|P48651|PTSS1_HUMAN",10849.2363357647,14442.254466916,12915.51552,15176.2041124173,58653.0468929816,66057.8754127541,4225.12404612718,143992.171404531,175930.699948493,115665.804097508,217530.547342248,222636.130734056,232044.661534651
"2213","sp|Q9NRH3|TBG2_HUMAN",3574.48521837326,4790.70180956714,6373.698914,10634.0091578689,6030.37212534716,8616.18891104863,5339.07235218784,46731.010541475,38836.6874973702,55730.5147380952,46943.8149083885,23944.0276998261,34121.446921077
"2214","sp|O95487|SC24B_HUMAN",43017.9882079443,77321.8992404132,132112.7863,90825.7963220658,203348.324461599,182677.207956438,13739.8686145991,494840.482304755,553008.569380063,647197.622250702,658927.732461147,1078586.67561156,1141162.79477545
"2215","sp|Q00013|EM55_HUMAN",215114.59638455,214934.524217904,274507.2764,217319.589269487,241382.498100941,241048.584334716,135475.89155178,213535.839117613,230610.494956291,375361.149717407,381451.319879364,75964.3338532669,93524.2226526158
"2216","sp|P05165|PCCA_HUMAN",27218.8860536358,19022.3136238237,46425.16327,34247.4198095949,53430.7685513092,47654.9747365771,4896.49654674491,90890.7242102575,86748.4625771294,188788.059643375,178879.999303202,199450.006220576,189686.061655194
"2217","sp|O75477|ERLN1_HUMAN",1750.94394010413,2665.12321725883,12274.33855,6323.54434294448,1776.05149524407,1662.21983500712,4296.85456800833,19268.620900947,4.34327933754895,9175.03401950508,11636.3697873374,24629.6227623021,25620.1430286836
"2218","sp|O60925|PFD1_HUMAN",55632.5532766494,55578.8555491035,74668.60308,39813.5390105267,116814.70359188,130650.87522703,14379.9924642938,228384.199251427,242817.948238916,433673.02731143,355851.725761355,201263.398364292,124689.216604439
"2219","sp|Q13951|PEBB_HUMAN",2985.00255534038,3354.27108314901,2419.360469,2204.20387082513,6461.08215126435,7463.24559245649,531.455503617372,7232.95512556628,5734.78753484034,48426.0523511704,30111.7403564393,12452.3752330011,12850.4754356108
"2220","sp|Q14409|GLPK3_HUMAN",9718.76150523249,12018.8110411694,22567.45796,9374.59511137665,58153.5778547476,56418.6697737711,869.191241697772,135820.104942837,127356.920115206,107193.467287894,88081.7303899884,120939.945542324,128414.678526813
"2221","sp|O00273|DFFA_HUMAN",38101.7917682317,42165.8080278826,127527.4364,119349.524250061,189965.9319968,181861.009290852,18479.7707376211,207042.982709759,205861.550325976,394184.462989209,474038.365396153,174438.255875381,216398.096062923
