"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2
"567","sp|P25398|RS12_HUMAN",20.704831325793,20.8026992589585,20.556278207357,20.1680602879937,20.2566433963633,20.4618000982615,20.0013921729216,21.2824628611799,21.4762822752982,21.2741272776061,21.3860820036495,21.1646234748922,21.0975406384309
"568","sp|P17844|DDX5_HUMAN",20.1722284790879,20.3861928684831,20.5945020477173,20.3090003393082,19.8140953810526,19.6332607077806,21.2609845539414,19.9963640792857,20.0501464645102,19.7617319149067,19.613838851777,19.5800796711057,19.9031245460602
"569","sp|P01833|PIGR_HUMAN",18.9936037606537,18.9473108314778,21.2228472269497,21.1963815621054,20.7543206985789,20.8973068987823,19.8480782924369,18.3601508607703,18.235766738387,20.6025630261178,20.4915590110637,18.4282178404789,18.6088036783173
"570","sp|Q96I99|SUCB2_HUMAN",21.494650209187,21.4818100514401,21.140587215978,21.0648107508836,21.2442150552667,20.9302632652787,21.1929878110337,20.5345916598495,20.4829084980287,20.9901801626122,20.9499018530413,20.8809703770838,20.7973001787083
"571","sp|P00492|HPRT_HUMAN;sp|Q9NRG1|PRDC1_HUMAN",21.1594574723,21.1154880143229,20.5616844979763,20.624549989387,20.0051125162898,20.1049371456935,21.9574765428028,20.7650775362972,20.665897846281,19.9864288480772,19.6433976407905,19.8320918858861,19.9233671914134
"572","sp|Q14240|IF4A2_HUMAN",18.7330051309843,18.9745513270894,18.6662549891435,18.6680597284962,18.9382734178565,19.0071182178045,18.8302678797824,19.4033616796256,19.4373668825737,18.5601709196675,18.4160534015944,18.8503446861513,18.7048413644881
"573","sp|P22897|MRC1_HUMAN",20.1429030874816,20.2671866068708,19.7405369555801,19.8679989588228,19.4841406538678,20.1722814612104,19.3359302346958,19.6327350794611,19.4116916759707,19.5546262893266,19.4379514573875,19.6953494957786,19.820906879632
"574","sp|O95336|6PGL_HUMAN",22.0780113728754,22.2522655704068,22.0889015886667,21.9758745347031,21.9114207168169,21.9965720374726,22.5101822479868,21.6098012689292,21.5682680336471,21.6378732329272,21.8532374011617,21.4490421127663,21.5025119659655
"575","sp|P31930|QCR1_HUMAN",20.6265158931581,20.3170410867491,20.0240276651896,20.1659291740831,20.4352611095614,20.3681870264299,19.9329647772028,20.6629206840418,20.6186902587176,20.7168869373959,20.7708723659151,20.8430551529785,21.0420203378231
"576","sp|Q9HDC9|APMAP_HUMAN",19.9395826205163,20.2248863867143,19.6239442664636,19.3709007295934,19.7950949609732,19.9248168177004,19.7729184612852,20.700540304465,20.7628177856783,20.0478133300841,20.417561923199,19.6761426509939,19.6941982075713
"577","sp|P30044|PRDX5_HUMAN",22.7189207107791,22.6627099821834,22.5644279090334,22.633320363002,22.3164816912386,22.1528645222528,22.9740124230171,21.1220076082328,21.5406908192802,21.4511339545134,21.4427166940876,21.9999988250857,21.9782980478179
"578","sp|P06756|ITAV_HUMAN",19.5311106005958,19.246201778296,19.4782881244729,19.7213059686925,19.8265324180964,19.9177785347275,18.7879174449922,19.7212378831822,19.6361829023786,20.5635083282091,20.6270157186376,18.8979225038693,18.9459543296974
"579","sp|P04632|CPNS1_HUMAN",19.812126461101,19.7568671542051,20.8063230986275,20.8545631673777,20.5278745744696,20.5020511359607,20.3357516781136,20.2334212416731,20.2681225256308,20.2618350177065,20.2498442577204,19.5882385299752,19.5823673938695
"580","sp|P26639|SYTC_HUMAN",18.4057221793286,18.6086985703048,18.7720298456798,18.9217389701395,18.7932234488854,18.764695807862,18.3797688069141,18.5376545354684,18.5455306671164,19.7944285714323,19.7251157525933,18.7867589993734,18.6917809187865
"581","sp|P55809|SCOT1_HUMAN;sp|Q9BYC2|SCOT2_HUMAN",19.1239213668014,18.8220602636254,18.8370661946614,18.5812147519687,18.8517636262046,18.7936815838589,19.5369161726164,20.2688606996762,20.0558416915067,19.4575727401305,19.5585107041372,19.4016015240387,19.3612056222416
