"","x"
"1","sp|Q9P258|RCC2_HUMAN"
"2","sp|P00338|LDHA_HUMAN;sp|Q6ZMR3|LDH6A_HUMAN"
"3","sp|P62191|PRS4_HUMAN"
"4","sp|P28066|PSA5_HUMAN"
"5","sp|Q06210|GFPT1_HUMAN;sp|O94808|GFPT2_HUMAN"
"6","sp|P14314|GLU2B_HUMAN"
"7","sp|P20700|LMNB1_HUMAN"
"8","sp|P33993|MCM7_HUMAN"
"9","sp|P13639|EF2_HUMAN"
"10","sp|P60842|IF4A1_HUMAN"
"11","sp|Q15637|SF01_HUMAN"
"12","sp|P63244|GBLP_HUMAN"
"13","sp|Q15084|PDIA6_HUMAN"
"14","sp|P07237|PDIA1_HUMAN"
"15","sp|P07195|LDHB_HUMAN;sp|Q6ZMR3|LDH6A_HUMAN;sp|P07864|LDHC_HUMAN;sp|Q9BYZ2|LDH6B_HUMAN"
"16","sp|Q7L1Q6|BZW1_HUMAN"
"17","sp|Q8WTW3|COG1_HUMAN"
"18","sp|Q8TDZ2|MICA1_HUMAN"
"19","sp|Q6FI81|CPIN1_HUMAN"
"20","sp|P36578|RL4_HUMAN"
"21","sp|P23396|RS3_HUMAN"
"22","sp|P78417|GSTO1_HUMAN"
"23","sp|O00182|LEG9_HUMAN;sp|Q6DKI2|LEG9C_HUMAN"
"24","sp|Q08211|DHX9_HUMAN"
"25","sp|P62269|RS18_HUMAN"
"26","sp|Q14683|SMC1A_HUMAN"
"27","sp|Q92520|FAM3C_HUMAN"
"28","sp|O00567|NOP56_HUMAN"
"29","sp|P48637|GSHB_HUMAN"
"30","sp|Q9UMS4|PRP19_HUMAN"
"31","sp|P55327|TPD52_HUMAN"
"32","sp|Q9H9B4|SFXN1_HUMAN"
"33","sp|P55036|PSMD4_HUMAN"
"34","sp|P46060|RAGP1_HUMAN"
"35","sp|Q9UL46|PSME2_HUMAN"
"36","sp|Q9UKK3|PARP4_HUMAN"
"37","sp|P60174|TPIS_HUMAN"
"38","sp|Q14974|IMB1_HUMAN"
"39","sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN"
"40","sp|Q15008|PSMD6_HUMAN"
"41","sp|P16615|AT2A2_HUMAN;sp|O14983|AT2A1_HUMAN"
"42","sp|O15143|ARC1B_HUMAN"
"43","sp|Q9UJ70|NAGK_HUMAN"
"44","sp|P52907|CAZA1_HUMAN;sp|Q6P3V2|Z585A_HUMAN"
"45","sp|P38646|GRP75_HUMAN"
"46","sp|P30101|PDIA3_HUMAN"
"47","sp|P35606|COPB2_HUMAN"
"48","sp|P55210|CASP7_HUMAN"
"49","sp|P61981|1433G_HUMAN"
"50","sp|P13010|XRCC5_HUMAN"
"51","sp|P29692|EF1D_HUMAN"
"52","sp|P35232|PHB_HUMAN"
"53","sp|P36405|ARL3_HUMAN"
"54","sp|Q8TBC4|UBA3_HUMAN"
"55","sp|O75643|U520_HUMAN"
"56","sp|Q9Y5M8|SRPRB_HUMAN"
"57","sp|Q15393|SF3B3_HUMAN"
"58","sp|O43242|PSMD3_HUMAN"
"59","sp|P63208|SKP1_HUMAN"
"60","sp|O60701|UGDH_HUMAN"
"61","sp|P24557|THAS_HUMAN"
"62","sp|Q15293|RCN1_HUMAN"
"63","sp|P07814|SYEP_HUMAN"
"64","sp|O00754|MA2B1_HUMAN"
"65","sp|Q15029|U5S1_HUMAN"
"66","sp|O00231|PSD11_HUMAN"
"67","sp|Q8WYA6|CTBL1_HUMAN"
"68","sp|P13693|TCTP_HUMAN"
"69","sp|P60900|PSA6_HUMAN"
"70","sp|Q9UNH7|SNX6_HUMAN;sp|Q86XE0|SNX32_HUMAN"
"71","sp|O43809|CPSF5_HUMAN"
"72","sp|Q7L5N1|CSN6_HUMAN"
"73","sp|P22830|HEMH_HUMAN"
"74","sp|P14866|HNRPL_HUMAN"
"75","sp|P11498|PYC_HUMAN"
"76","sp|P06576|ATPB_HUMAN"
"77","sp|P39019|RS19_HUMAN"
"78","sp|O95232|LC7L3_HUMAN"
"79","sp|Q5VYK3|ECM29_HUMAN"
"80","sp|Q14697|GANAB_HUMAN"
"81","sp|P35998|PRS7_HUMAN"
"82","sp|Q6IS14|IF5AL_HUMAN"
"83","sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN"
"84","sp|P08865|RSSA_HUMAN"
"85","sp|B5ME19|EIFCL_HUMAN"
"86","sp|Q15046|SYK_HUMAN"
"87","sp|O75531|BAF_HUMAN"
"88","sp|Q92608|DOCK2_HUMAN"
"89","sp|P17987|TCPA_HUMAN"
"90","sp|P52566|GDIR2_HUMAN"
"91","sp|Q16851|UGPA_HUMAN"
"92","sp|Q14134|TRI29_HUMAN"
"93","sp|Q13895|BYST_HUMAN"
"94","sp|Q00325|MPCP_HUMAN"
"95","sp|P08575|PTPRC_HUMAN"
"96","sp|Q86X55|CARM1_HUMAN"
"97","sp|Q08378|GOGA3_HUMAN"
"98","sp|E9PAV3|NACAM_HUMAN"
"99","sp|Q9Y5K5|UCHL5_HUMAN"
"100","sp|O43674|NDUB5_HUMAN"
"101","sp|P62195|PRS8_HUMAN;sp|Q8NB90|SPAT5_HUMAN"
"102","sp|P63104|1433Z_HUMAN"
"103","sp|P31153|METK2_HUMAN;sp|Q00266|METK1_HUMAN"
"104","sp|Q9H299|SH3L3_HUMAN"
"105","sp|P49792|RBP2_HUMAN"
"106","sp|P50395|GDIB_HUMAN"
"107","sp|P62888|RL30_HUMAN"
"108","sp|P31930|QCR1_HUMAN"
"109","sp|P10606|COX5B_HUMAN"
"110","sp|P62753|RS6_HUMAN"
"111","sp|Q13724|MOGS_HUMAN"
"112","sp|O00487|PSDE_HUMAN"
"113","sp|Q99832|TCPH_HUMAN"
"114","sp|Q07955|SRSF1_HUMAN"
