"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"583","T","TI-G",0.004,109,24,29,162,1176
"675","T","AI-G",0.004,109,24,29,162,1176
"582","T","TI-G",0.003,103,16,30,149,1108
"674","T","AI-G",0.003,103,16,30,149,1108
"584","T","TI-G",0.005,95,19,29,143,1253
"676","T","AI-G",0.005,95,19,29,143,1253
"585","T","TI-G",0.006,86,24,27,137,1326
"586","T","TI-G",0.007,90,23,24,137,1374
"677","T","AI-G",0.006,86,24,27,137,1326
"678","T","AI-G",0.007,90,23,24,137,1374
"581","T","TI-G",0.002,94,18,23,135,982
"673","T","AI-G",0.002,94,18,23,135,982
"578","T","TI-G",8e-04,91,21,21,133,721
"670","T","AI-G",8e-04,91,21,21,133,721
"589","T","TI-G",0.01,88,18,26,132,1493
"681","T","AI-G",0.01,88,18,26,132,1493
"592","T","TI-G",0.04,88,21,22,131,1991
"684","T","AI-G",0.04,88,21,22,131,1991
"591","T","TI-G",0.03,88,19,23,130,1881
"683","T","AI-G",0.03,88,19,23,130,1881
"587","T","TI-G",0.008,81,23,25,129,1433
"679","T","AI-G",0.008,81,23,25,129,1433
"590","T","TI-G",0.02,84,16,27,127,1725
"593","T","TI-G",0.05,87,21,19,127,2058
"682","T","AI-G",0.02,84,16,27,127,1725
"685","T","AI-G",0.05,87,21,19,127,2058
"579","T","TI-G",9e-04,86,18,22,126,766
"671","T","AI-G",9e-04,86,18,22,126,766
"576","T","TI-G",6e-04,80,24,21,125,645
"668","T","AI-G",6e-04,80,24,21,125,645
"580","T","TI-G",0.001,85,18,21,124,782
"672","T","AI-G",0.001,85,18,21,124,782
"594","T","TI-G",0.06,79,24,18,121,2113
"686","T","AI-G",0.06,79,24,18,121,2113
"405","T","None",0.01,74,28,18,120,942
"577","T","TI-G",7e-04,83,18,19,120,682
"588","T","TI-G",0.009,76,20,24,120,1457
"669","T","AI-G",7e-04,83,18,19,120,682
"680","T","AI-G",0.009,76,20,24,120,1457
"404","T","None",0.009,71,24,18,113,902
"595","T","TI-G",0.07,75,20,16,111,2173
"687","T","AI-G",0.07,75,20,16,111,2173
"406","T","None",0.02,72,19,19,110,1215
"574","T","TI-G",4e-04,74,22,14,110,559
"575","T","TI-G",5e-04,77,22,11,110,604
"666","T","AI-G",4e-04,74,22,14,110,559
"667","T","AI-G",5e-04,77,22,11,110,604
"407","T","None",0.03,78,13,18,109,1341
"409","T","None",0.05,75,13,19,107,1553
"573","T","TI-G",3e-04,73,21,10,104,514
"665","T","AI-G",3e-04,73,21,10,104,514
"414","T","None",0.1,65,19,19,103,1808
"403","T","None",0.008,66,18,18,102,852
"410","T","None",0.06,67,17,17,101,1617
"408","T","None",0.04,67,14,19,100,1457
"596","T","TI-G",0.08,73,14,13,100,2213
"688","T","AI-G",0.08,73,14,13,100,2213
"597","T","TI-G",0.09,68,18,13,99,2253
"689","T","AI-G",0.09,68,18,13,99,2253
"400","T","None",0.005,56,22,16,94,680
"401","T","None",0.006,55,19,20,94,728
"399","T","None",0.004,66,13,14,93,618
"402","T","None",0.007,55,20,17,92,785
"411","T","None",0.07,65,13,14,92,1675
"572","T","TI-G",2e-04,67,16,9,92,446
"664","T","AI-G",2e-04,67,16,9,92,446
"413","T","None",0.09,58,15,17,90,1767
"598","T","TI-G",0.1,59,16,14,89,2285
"690","T","AI-G",0.1,59,16,14,89,2285
"412","T","None",0.08,57,13,18,88,1723
"569","T","TI-G",8e-05,61,14,11,86,317
"661","T","AI-G",8e-05,61,14,11,86,317
"398","T","None",0.003,56,15,14,85,540
"567","T","TI-G",6e-05,62,13,10,85,286
"659","T","AI-G",6e-05,62,13,10,85,286
"570","T","TI-G",9e-05,60,13,11,84,333
"662","T","AI-G",9e-05,60,13,11,84,333
"346","QM","Quantile",6e-04,65,2,16,83,921
"100","QM","RLR-G",8e-06,47,12,22,81,693
"571","T","TI-G",1e-04,56,14,11,81,339
"663","T","AI-G",1e-04,56,14,11,81,339
"99","QM","RLR-G",7e-06,47,12,21,80,689
"101","QM","RLR-G",9e-06,46,13,21,80,699
"347","QM","Quantile",7e-04,65,3,12,80,932
"568","T","TI-G",7e-05,58,13,9,80,301
"660","T","AI-G",7e-05,58,13,9,80,301
"335","QM","Quantile",4e-05,52,8,18,78,742
"344","QM","Quantile",4e-04,58,3,17,78,880
"348","QM","Quantile",8e-04,63,2,13,78,941
"350","QM","Quantile",0.001,60,2,15,77,962
"96","QM","RLR-G",4e-06,44,12,20,76,663
"102","QM","RLR-G",1e-05,43,13,20,76,702
"341","QM","Quantile",1e-04,51,7,18,76,796
"345","QM","Quantile",5e-04,58,2,16,76,905
"97","QM","RLR-G",5e-06,45,10,20,75,671
"339","QM","Quantile",8e-05,51,7,17,75,779
"60","QM","Loess-G",5e-05,44,9,21,74,627
"64","QM","Loess-G",9e-05,44,12,18,74,662
"98","QM","RLR-G",6e-06,44,10,20,74,678
"337","QM","Quantile",6e-05,49,9,16,74,760
"62","QM","Loess-G",7e-05,45,9,19,73,641
"65","QM","Loess-G",1e-04,42,12,19,73,667
"95","QM","RLR-G",3e-06,42,11,20,73,654
"336","QM","Quantile",5e-05,47,9,17,73,752
"340","QM","Quantile",9e-05,48,8,17,73,787
"59","QM","Loess-G",4e-05,41,10,21,72,614
"94","QM","RLR-G",2e-06,41,11,20,72,638
"107","QM","RLR-G",6e-05,44,11,17,72,804
"349","QM","Quantile",9e-04,56,2,14,72,953
"106","QM","RLR-G",5e-05,43,11,17,71,798
"110","QM","RLR-G",9e-05,48,7,16,71,824
"334","QM","Quantile",3e-05,46,7,18,71,722
"338","QM","Quantile",7e-05,50,6,15,71,768
"397","T","None",0.002,45,12,14,71,433
"61","QM","Loess-G",6e-05,42,10,18,70,633
"76","QM","Loess-G",0.003,51,3,16,70,928
"333","QM","Quantile",2e-05,48,5,17,70,698
"55","QM","Loess-G",9e-06,45,6,18,69,546
"56","QM","Loess-G",1e-05,45,6,18,69,546
"104","QM","RLR-G",3e-05,41,12,16,69,763
"326","QM","Quantile",4e-06,43,7,19,69,615
"63","QM","Loess-G",8e-05,40,9,19,68,650
"103","QM","RLR-G",2e-05,39,11,18,68,743
"105","QM","RLR-G",4e-05,40,11,17,68,784
"109","QM","RLR-G",8e-05,45,7,16,68,816
"565","T","TI-G",4e-05,50,9,9,68,233
"657","T","AI-G",4e-05,50,9,9,68,233
"51","QM","Loess-G",5e-06,40,10,17,67,524
"57","QM","Loess-G",2e-05,41,8,18,67,576
"108","QM","RLR-G",7e-05,42,8,17,67,811
"323","QM","Quantile",1e-06,45,6,16,67,550
"328","QM","Quantile",6e-06,39,8,20,67,634
"561","T","TI-G",9e-06,58,0,9,67,107
"653","T","AI-G",9e-06,58,0,9,67,107
"70","QM","Loess-G",6e-04,38,10,18,66,793
"343","QM","Quantile",3e-04,47,2,16,65,857
"562","T","TI-G",1e-05,59,0,6,65,117
"654","T","AI-G",1e-05,59,0,6,65,117
"49","QM","Loess-G",3e-06,42,7,15,64,506
"66","QM","Loess-G",2e-04,35,10,19,64,708
"52","QM","Loess-G",6e-06,38,8,17,63,531
"69","QM","Loess-G",5e-04,38,10,15,63,767
"330","QM","Quantile",8e-06,37,8,18,63,650
"67","QM","Loess-G",3e-04,36,10,16,62,727
"111","QM","RLR-G",1e-04,41,5,16,62,833
"112","QM","RLR-G",2e-04,41,5,16,62,880
"563","T","TI-G",2e-05,54,0,8,62,165
"566","T","TI-G",5e-05,46,6,10,62,254
"655","T","AI-G",2e-05,54,0,8,62,165
"658","T","AI-G",5e-05,46,6,10,62,254
"50","QM","Loess-G",4e-06,38,6,17,61,515
"75","QM","Loess-G",0.002,39,7,15,61,893
"114","QM","RLR-G",4e-04,39,4,18,61,932
"115","QM","RLR-G",5e-04,40,3,18,61,947
"325","QM","Quantile",3e-06,35,7,19,61,604
"327","QM","Quantile",5e-06,37,6,18,61,621
"342","QM","Quantile",2e-04,42,3,16,61,832
"558","T","TI-G",6e-06,54,1,6,61,84
"564","T","TI-G",3e-05,57,0,4,61,198
"650","T","AI-G",6e-06,54,1,6,61,84
"656","T","AI-G",3e-05,57,0,4,61,198
"53","QM","Loess-G",7e-06,36,7,17,60,539
"71","QM","Loess-G",7e-04,35,9,16,60,804
"68","QM","Loess-G",4e-04,36,9,14,59,745
"48","QM","Loess-G",2e-06,35,7,16,58,489
"58","QM","Loess-G",3e-05,34,7,17,58,592
"72","QM","Loess-G",8e-04,34,9,15,58,814
"329","QM","Quantile",7e-06,32,8,18,58,643
"331","QM","Quantile",9e-06,34,7,17,58,659
"332","QM","Quantile",1e-05,33,8,17,58,665
"47","QM","Loess-G",1e-06,36,4,17,57,469
"54","QM","Loess-G",8e-06,35,6,16,57,543
"74","QM","Loess-G",0.001,31,8,18,57,831
"396","T","None",0.001,33,11,13,57,286
"559","T","TI-G",7e-06,53,0,4,57,94
"651","T","AI-G",7e-06,53,0,4,57,94
"77","QM","Loess-G",0.004,41,2,13,56,953
"162","QM","VSN-G",6e-04,25,12,18,55,472
"560","T","TI-G",8e-06,51,0,4,55,98
"652","T","AI-G",8e-06,51,0,4,55,98
"113","QM","RLR-G",3e-04,35,3,16,54,911
"324","QM","Quantile",2e-06,29,8,17,54,581
"449","T","Loess-G",0.008,24,12,18,54,514
"73","QM","Loess-G",9e-04,30,6,17,53,824
"79","QM","Loess-G",0.006,40,2,11,53,1001
"158","QM","VSN-G",2e-04,26,9,17,52,400
"159","QM","VSN-G",3e-04,25,9,18,52,432
"160","QM","VSN-G",4e-04,24,11,17,52,446
"163","QM","VSN-G",7e-04,23,10,19,52,486
"351","QM","Quantile",0.002,39,2,11,52,1041
"357","QM","Quantile",0.008,39,1,12,52,1195
"168","QM","VSN-G",0.003,21,12,18,51,603
"172","QM","VSN-G",0.007,26,10,15,51,682
"174","QM","VSN-G",0.009,27,7,17,51,702
"360","QM","Quantile",0.02,41,3,7,51,1321
"394","T","None",8e-04,32,12,7,51,244
"78","QM","Loess-G",0.005,35,2,13,50,986
"116","QM","RLR-G",6e-04,29,3,18,50,961
"161","QM","VSN-G",5e-04,21,11,18,50,466
"164","QM","VSN-G",8e-04,21,10,19,50,496
"93","QM","RLR-G",1e-06,20,11,18,49,614
"175","QM","VSN-G",0.01,26,6,17,49,717
"176","QM","VSN-G",0.02,28,4,17,49,806
"358","QM","Quantile",0.009,38,1,10,49,1212
"85","QM","Loess-G",0.03,35,3,10,48,1234
"557","T","TI-G",5e-06,43,1,4,48,77
"649","T","AI-G",5e-06,43,1,4,48,77
"393","T","None",7e-04,31,11,5,47,225
"395","T","None",9e-04,32,8,7,47,263
"448","T","Loess-G",0.007,17,12,18,47,484
"183","QM","VSN-G",0.09,22,5,18,45,1088
"359","QM","Quantile",0.01,36,1,8,45,1228
"556","T","TI-G",4e-06,42,1,2,45,75
"648","T","AI-G",4e-06,42,1,2,45,75
"173","QM","VSN-G",0.008,23,7,14,44,695
