"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",0,"RLR-G",1e-06,0,0,0,0,0
"2",0,"RLR-G",2e-06,0,0,0,0,0
"3",0,"RLR-G",3e-06,0,0,0,0,0
"4",1,"RLR-G",4e-06,0,0,3,3,1
"5",1,"RLR-G",5e-06,0,0,3,3,1
"6",1,"RLR-G",6e-06,0,0,3,3,1
"7",1,"RLR-G",7e-06,0,0,3,3,1
"8",1,"RLR-G",8e-06,0,0,3,3,1
"9",1,"RLR-G",9e-06,0,0,3,3,1
"10",1,"RLR-G",1e-05,0,0,3,3,1
"11",1,"RLR-G",2e-05,0,0,3,3,1
"12",6,"RLR-G",3e-05,0,0,0,0,6
"13",7,"RLR-G",4e-05,0,0,0,0,7
"14",12,"RLR-G",5e-05,0,0,0,0,12
"15",15,"RLR-G",6e-05,0,0,0,0,15
"16",24,"RLR-G",7e-05,1,0,1,2,24
"17",28,"RLR-G",8e-05,1,0,3,4,28
"18",35,"RLR-G",9e-05,1,0,4,5,35
"19",40,"RLR-G",1e-04,1,0,2,3,40
"20",57,"RLR-G",2e-04,0,0,0,0,57
"21",75,"RLR-G",3e-04,0,0,0,0,75
"22",85,"RLR-G",4e-04,0,0,0,0,85
"23",101,"RLR-G",5e-04,0,0,4,4,101
"24",107,"RLR-G",6e-04,0,2,5,7,107
"25",118,"RLR-G",7e-04,0,0,4,4,118
"26",122,"RLR-G",8e-04,0,0,6,6,122
"27",155,"RLR-G",9e-04,0,2,10,12,155
"28",173,"RLR-G",0.001,0,2,0,2,173
"29",288,"RLR-G",0.002,6,5,13,24,288
"30",352,"RLR-G",0.003,9,7,13,29,352
"31",405,"RLR-G",0.004,18,5,11,34,405
"32",439,"RLR-G",0.005,16,6,13,35,439
"33",483,"RLR-G",0.006,21,7,16,44,483
"34",510,"RLR-G",0.007,18,9,10,37,510
"35",536,"RLR-G",0.008,16,4,14,34,536
"36",568,"RLR-G",0.009,11,5,14,30,568
"37",585,"RLR-G",0.01,6,6,16,28,585
"38",757,"RLR-G",0.02,0,6,14,20,757
"39",864,"RLR-G",0.03,10,7,12,29,864
"40",963,"RLR-G",0.04,12,7,8,27,963
"41",1043,"RLR-G",0.05,0,4,4,8,1043
"42",1100,"RLR-G",0.06,0,1,3,4,1100
"43",1159,"RLR-G",0.07,0,1,5,6,1159
"44",1205,"RLR-G",0.08,6,1,7,14,1205
"45",1252,"RLR-G",0.09,4,1,5,10,1252
"46",1300,"RLR-G",0.1,0,1,6,7,1300
