"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",0,"VSN-G",1e-06,0,0,0,0,0
"2",0,"VSN-G",2e-06,0,0,0,0,0
"3",0,"VSN-G",3e-06,0,0,0,0,0
"4",1,"VSN-G",4e-06,0,0,3,3,1
"5",1,"VSN-G",5e-06,0,0,3,3,1
"6",1,"VSN-G",6e-06,0,0,3,3,1
"7",1,"VSN-G",7e-06,0,0,3,3,1
"8",1,"VSN-G",8e-06,0,0,3,3,1
"9",1,"VSN-G",9e-06,0,0,3,3,1
"10",3,"VSN-G",1e-05,0,0,2,2,3
"11",3,"VSN-G",2e-05,0,0,2,2,3
"12",8,"VSN-G",3e-05,0,0,0,0,8
"13",9,"VSN-G",4e-05,0,0,0,0,9
"14",10,"VSN-G",5e-05,0,0,0,0,10
"15",23,"VSN-G",6e-05,0,0,0,0,23
"16",23,"VSN-G",7e-05,0,0,0,0,23
"17",25,"VSN-G",8e-05,0,0,0,0,25
"18",28,"VSN-G",9e-05,0,0,0,0,28
"19",31,"VSN-G",1e-04,0,0,0,0,31
"20",61,"VSN-G",2e-04,0,0,0,0,61
"21",78,"VSN-G",3e-04,0,0,0,0,78
"22",87,"VSN-G",4e-04,0,0,0,0,87
"23",113,"VSN-G",5e-04,0,0,0,0,113
"24",132,"VSN-G",6e-04,0,0,0,0,132
"25",150,"VSN-G",7e-04,0,0,0,0,150
"26",172,"VSN-G",8e-04,0,0,7,7,172
"27",187,"VSN-G",9e-04,0,0,5,5,187
"28",189,"VSN-G",0.001,0,0,5,5,189
"29",305,"VSN-G",0.002,0,3,9,12,305
"30",383,"VSN-G",0.003,2,2,16,20,383
"31",439,"VSN-G",0.004,0,4,17,21,439
"32",483,"VSN-G",0.005,0,3,14,17,483
"33",513,"VSN-G",0.006,2,3,17,22,513
"34",537,"VSN-G",0.007,0,2,16,18,537
"35",564,"VSN-G",0.008,0,2,17,19,564
"36",604,"VSN-G",0.009,0,2,16,18,604
"37",629,"VSN-G",0.01,0,3,9,12,629
"38",810,"VSN-G",0.02,11,0,16,27,810
"39",925,"VSN-G",0.03,3,0,17,20,925
"40",1000,"VSN-G",0.04,0,0,17,17,1000
"41",1071,"VSN-G",0.05,0,0,11,11,1071
"42",1137,"VSN-G",0.06,0,0,7,7,1137
"43",1184,"VSN-G",0.07,0,0,13,13,1184
"44",1239,"VSN-G",0.08,0,0,9,9,1239
"45",1289,"VSN-G",0.09,0,0,11,11,1289
"46",1332,"VSN-G",0.1,0,0,10,10,1332
