"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1","QPROTmodel","Loess-G",1e-06,0,0,0,0,1
"2","QPROTmodel","Loess-G",2e-06,0,0,0,0,1
"3","QPROTmodel","Loess-G",3e-06,0,0,0,0,1
"4","QPROTmodel","Loess-G",4e-06,0,0,0,0,1
"5","QPROTmodel","Loess-G",5e-06,0,0,0,0,1
"6","QPROTmodel","Loess-G",6e-06,0,0,0,0,1
"7","QPROTmodel","Loess-G",7e-06,0,0,0,0,1
"8","QPROTmodel","Loess-G",8e-06,0,0,0,0,1
"9","QPROTmodel","Loess-G",9e-06,0,0,0,0,1
"10","QPROTmodel","Loess-G",1e-05,0,0,0,0,1
"11","QPROTmodel","Loess-G",2e-05,0,0,0,0,1
"12","QPROTmodel","Loess-G",3e-05,16,3,3,22,2
"13","QPROTmodel","Loess-G",4e-05,16,3,3,22,2
"14","QPROTmodel","Loess-G",5e-05,16,3,3,22,2
"15","QPROTmodel","Loess-G",6e-05,16,3,3,22,2
"16","QPROTmodel","Loess-G",7e-05,16,3,3,22,2
"17","QPROTmodel","Loess-G",8e-05,0,0,0,0,3
"18","QPROTmodel","Loess-G",9e-05,0,0,0,0,3
"19","QPROTmodel","Loess-G",1e-04,0,0,0,0,3
"20","QPROTmodel","Loess-G",2e-04,0,0,0,0,4
"21","QPROTmodel","Loess-G",3e-04,0,0,0,0,5
"22","QPROTmodel","Loess-G",4e-04,0,0,0,0,5
"23","QPROTmodel","Loess-G",5e-04,0,0,0,0,5
"24","QPROTmodel","Loess-G",6e-04,0,0,0,0,5
"25","QPROTmodel","Loess-G",7e-04,0,0,0,0,7
"26","QPROTmodel","Loess-G",8e-04,0,0,0,0,8
"27","QPROTmodel","Loess-G",9e-04,0,0,0,0,10
"28","QPROTmodel","Loess-G",0.001,0,0,0,0,10
"29","QPROTmodel","Loess-G",0.002,0,0,0,0,19
"30","QPROTmodel","Loess-G",0.003,0,0,0,0,23
"31","QPROTmodel","Loess-G",0.004,0,0,0,0,25
"32","QPROTmodel","Loess-G",0.005,0,0,0,0,25
"33","QPROTmodel","Loess-G",0.006,0,0,0,0,25
"34","QPROTmodel","Loess-G",0.007,0,0,0,0,29
"35","QPROTmodel","Loess-G",0.008,0,0,0,0,31
"36","QPROTmodel","Loess-G",0.009,0,0,0,0,33
"37","QPROTmodel","Loess-G",0.01,3,1,0,4,35
"38","QPROTmodel","Loess-G",0.02,24,3,4,31,59
"39","QPROTmodel","Loess-G",0.03,33,5,5,43,77
"40","QPROTmodel","Loess-G",0.04,32,4,4,40,92
"41","QPROTmodel","Loess-G",0.05,34,5,7,46,105
"42","QPROTmodel","Loess-G",0.06,29,1,7,37,118
"43","QPROTmodel","Loess-G",0.07,24,1,7,32,134
"44","QPROTmodel","Loess-G",0.08,25,1,7,33,144
"45","QPROTmodel","Loess-G",0.09,22,1,9,32,151
"46","QPROTmodel","Loess-G",0.1,28,1,6,35,162
