"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1","QPROTmodel","RLR-G",1e-06,0,0,0,0,4
"2","QPROTmodel","RLR-G",2e-06,0,0,0,0,4
"3","QPROTmodel","RLR-G",3e-06,0,0,0,0,4
"4","QPROTmodel","RLR-G",4e-06,0,0,0,0,4
"5","QPROTmodel","RLR-G",5e-06,0,0,0,0,5
"6","QPROTmodel","RLR-G",6e-06,0,0,0,0,5
"7","QPROTmodel","RLR-G",7e-06,0,0,0,0,5
"8","QPROTmodel","RLR-G",8e-06,0,0,0,0,5
"9","QPROTmodel","RLR-G",9e-06,0,0,0,0,5
"10","QPROTmodel","RLR-G",1e-05,0,0,0,0,6
"11","QPROTmodel","RLR-G",2e-05,0,0,2,2,9
"12","QPROTmodel","RLR-G",3e-05,7,1,2,10,10
"13","QPROTmodel","RLR-G",4e-05,0,1,2,3,11
"14","QPROTmodel","RLR-G",5e-05,0,1,2,3,11
"15","QPROTmodel","RLR-G",6e-05,0,1,2,3,11
"16","QPROTmodel","RLR-G",7e-05,0,1,2,3,13
"17","QPROTmodel","RLR-G",8e-05,0,0,7,7,14
"18","QPROTmodel","RLR-G",9e-05,0,0,0,0,16
"19","QPROTmodel","RLR-G",1e-04,0,0,0,0,17
"20","QPROTmodel","RLR-G",2e-04,0,0,0,0,21
"21","QPROTmodel","RLR-G",3e-04,0,0,0,0,25
"22","QPROTmodel","RLR-G",4e-04,0,0,0,0,27
"23","QPROTmodel","RLR-G",5e-04,0,0,0,0,31
"24","QPROTmodel","RLR-G",6e-04,0,0,0,0,36
"25","QPROTmodel","RLR-G",7e-04,15,2,2,19,38
"26","QPROTmodel","RLR-G",8e-04,12,2,1,15,40
"27","QPROTmodel","RLR-G",9e-04,6,0,0,6,42
"28","QPROTmodel","RLR-G",0.001,1,0,0,1,44
"29","QPROTmodel","RLR-G",0.002,12,0,2,14,63
"30","QPROTmodel","RLR-G",0.003,31,1,5,37,78
"31","QPROTmodel","RLR-G",0.004,30,1,5,36,88
"32","QPROTmodel","RLR-G",0.005,30,1,5,36,92
"33","QPROTmodel","RLR-G",0.006,28,2,5,35,101
"34","QPROTmodel","RLR-G",0.007,27,2,9,38,106
"35","QPROTmodel","RLR-G",0.008,30,3,9,42,107
"36","QPROTmodel","RLR-G",0.009,30,4,9,43,110
"37","QPROTmodel","RLR-G",0.01,32,2,9,43,114
"38","QPROTmodel","RLR-G",0.02,30,1,8,39,160
"39","QPROTmodel","RLR-G",0.03,24,1,9,34,187
"40","QPROTmodel","RLR-G",0.04,27,1,7,35,208
"41","QPROTmodel","RLR-G",0.05,24,5,9,38,229
"42","QPROTmodel","RLR-G",0.06,23,6,11,40,262
"43","QPROTmodel","RLR-G",0.07,22,7,9,38,285
"44","QPROTmodel","RLR-G",0.08,20,7,11,38,312
"45","QPROTmodel","RLR-G",0.09,20,7,10,37,338
"46","QPROTmodel","RLR-G",0.1,20,8,9,37,358
