"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1","QPROTmodel","VSN-G",1e-06,10,1,2,13,13
"2","QPROTmodel","VSN-G",2e-06,0,0,0,0,15
"3","QPROTmodel","VSN-G",3e-06,0,0,0,0,18
"4","QPROTmodel","VSN-G",4e-06,0,0,0,0,19
"5","QPROTmodel","VSN-G",5e-06,0,0,0,0,20
"6","QPROTmodel","VSN-G",6e-06,0,0,0,0,22
"7","QPROTmodel","VSN-G",7e-06,0,0,0,0,23
"8","QPROTmodel","VSN-G",8e-06,0,0,0,0,25
"9","QPROTmodel","VSN-G",9e-06,0,0,0,0,25
"10","QPROTmodel","VSN-G",1e-05,0,0,0,0,28
"11","QPROTmodel","VSN-G",2e-05,0,4,4,8,34
"12","QPROTmodel","VSN-G",3e-05,0,0,4,4,42
"13","QPROTmodel","VSN-G",4e-05,28,0,7,35,45
"14","QPROTmodel","VSN-G",5e-05,28,0,7,35,47
"15","QPROTmodel","VSN-G",6e-05,32,4,9,45,52
"16","QPROTmodel","VSN-G",7e-05,37,5,11,53,57
"17","QPROTmodel","VSN-G",8e-05,41,5,12,58,59
"18","QPROTmodel","VSN-G",9e-05,33,5,12,50,60
"19","QPROTmodel","VSN-G",1e-04,33,5,12,50,60
"20","QPROTmodel","VSN-G",2e-04,41,8,11,60,69
"21","QPROTmodel","VSN-G",3e-04,41,7,11,59,78
"22","QPROTmodel","VSN-G",4e-04,43,7,10,60,87
"23","QPROTmodel","VSN-G",5e-04,38,3,9,50,94
"24","QPROTmodel","VSN-G",6e-04,38,8,9,55,99
"25","QPROTmodel","VSN-G",7e-04,39,6,10,55,106
"26","QPROTmodel","VSN-G",8e-04,42,7,13,62,110
"27","QPROTmodel","VSN-G",9e-04,41,7,13,61,111
"28","QPROTmodel","VSN-G",0.001,43,10,14,67,115
"29","QPROTmodel","VSN-G",0.002,35,3,13,51,137
"30","QPROTmodel","VSN-G",0.003,38,4,13,55,145
"31","QPROTmodel","VSN-G",0.004,37,8,14,59,163
"32","QPROTmodel","VSN-G",0.005,33,5,12,50,173
"33","QPROTmodel","VSN-G",0.006,35,3,14,52,185
"34","QPROTmodel","VSN-G",0.007,36,11,13,60,188
"35","QPROTmodel","VSN-G",0.008,37,6,13,56,201
"36","QPROTmodel","VSN-G",0.009,29,6,13,48,207
"37","QPROTmodel","VSN-G",0.01,31,7,13,51,211
"38","QPROTmodel","VSN-G",0.02,36,12,14,62,273
"39","QPROTmodel","VSN-G",0.03,33,9,15,57,304
"40","QPROTmodel","VSN-G",0.04,41,8,16,65,348
"41","QPROTmodel","VSN-G",0.05,42,8,15,65,375
"42","QPROTmodel","VSN-G",0.06,40,7,15,62,403
"43","QPROTmodel","VSN-G",0.07,36,10,16,62,421
"44","QPROTmodel","VSN-G",0.08,31,8,16,55,445
"45","QPROTmodel","VSN-G",0.09,41,8,16,65,473
"46","QPROTmodel","VSN-G",0.1,42,11,19,72,498
