"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"LogFC","Zstatistic"
"sp|Q13813|SPTN1_HUMAN",29.1554535359701,28.6081051339875,28.8641882204684,28.9134734660318,29.1472746859941,29.0283613171677,29.1970637622387,29.2493309768308,29.2090807478747,29.1993484654353,29.0939218711684,29.0812251015495,28.2934197405239,28.634567761899,28.4465658518993,28.6046643312859,28.6232150268397,28.5710415080049,29.1445303013579,29.0939076724129,29.1659497770886,29.1895166068126,29.0674266004741,29.0559129718886,28.9052303328293,28.9878378988104,28.9225451114505,28.9512652896786,29.3014060891733,29.3416285508729,28.5722793210651,28.5427396307695,"-0.0111439091537939","-0.0799732073975606"
"sp|Q15149|PLEC_HUMAN;sp|P58107|EPIPL_HUMAN",28.8925073605035,28.7862874487851,27.1077697354141,27.0951805605519,28.8477844605255,28.7422052391256,27.6962807127041,27.7087516496305,27.2702400204031,27.282179001394,27.3624786810462,27.2832879566623,27.7308173742066,27.7319348456849,28.1538946800815,28.1266986315657,28.3098084254668,28.2734675479405,27.2515735009185,27.2024886515948,27.1291668329435,27.0834327199944,27.2763496410882,27.2535241811389,28.4272724578885,28.5086053699775,27.250148183392,27.2756629757296,27.249004976019,27.2422463921005,28.5171911167819,28.4975029080909,"-0.58371249166909","-2.005377105994"
"sp|Q14204|DYHC1_HUMAN",27.113002938613,27.17880130996,27.0082889833493,26.9914008513187,27.9249829268689,27.8146481621822,26.9252847897344,26.9665457829164,26.9267973423815,26.9437603859371,27.5768033618146,27.5039008783358,27.0570301124978,27.162560715794,27.8525007791029,27.8956793235802,27.9719728398275,27.9570101682803,26.9843556551172,26.9146355143367,27.0889625321669,27.0732669849798,27.2340422306303,27.2259738681938,27.9775334013812,28.0672911430691,26.824758841861,26.8492139854796,27.1279156249003,27.0967466629367,27.7113213784088,27.6564135467624,"-0.00595529113398522","-0.0300729549407416"
"sp|Q01082|SPTB2_HUMAN",28.4983444166705,28.5639973641693,29.2861734328358,29.2472137815307,29.1263305091901,29.0419350329521,29.4087424058411,29.4582189000738,29.4601514077768,29.4340505144382,29.1179501046612,29.0244375030426,28.877191041613,28.8994324631776,29.0562615030009,29.026221320698,29.0784076444773,29.0131043283918,29.1059886400288,29.0677176167047,29.2755606035869,29.2921914670708,29.1629371977622,29.1841412545694,28.887838171917,28.9983380424093,29.2303115667679,29.2655341711726,29.2013937643107,29.2089554171141,28.8455245698466,28.8891334178898,"0.169861796832204","1.68586431741484"
"sp|Q09666|AHNK_HUMAN",28.9750248256554,29.0154161422467,25.1571124425874,25.1402805527517,26.4232582137142,26.3144901876829,25.702046099429,25.7159110222888,25.1758034449287,25.1669289888966,25.5517536494759,25.5197846218966,26.8743509699391,26.8499405071085,28.6481864616708,28.6046643312859,28.4311417054208,28.3605988199252,24.7864948535576,24.8463186334058,24.7174028637715,24.7827010673263,24.8047682319667,24.8258897572436,27.7956610851984,27.8934074765593,25.0198376454755,25.0429531252971,25.2949653357952,25.2449552482787,26.3353143631049,26.4143418968615,"-0.727066673135665","-1.17963204769945"
"sp|P35579|MYH9_HUMAN",30.4295583835579,30.374969523017,25.556714646455,25.4833201755071,27.8635715000634,27.6783325088449,26.2111146440361,26.1809892725563,25.9449534370465,25.9392966193836,26.472641800328,26.4104906477768,28.6059425346344,28.5979839216347,28.9192987373405,28.8691338429663,29.0784076444773,29.0056951204327,26.1277856594149,26.1057432620925,25.8053052890266,25.7682441373437,26.0716816933288,26.0963041110198,27.9006648748629,27.9255768376748,25.8014916064688,25.745479341843,25.9124306250655,26.0140036073976,27.1160309736595,27.1297579250759,"-1.01295327805379","-1.59922327543361"
"sp|P46821|MAP1B_HUMAN",27.4722562784271,27.5650078184125,28.177335352655,28.1619294710088,28.8562987325849,28.8849622909325,28.0402533556464,28.0529810658592,28.231646609506,28.2672754587003,28.343104841932,28.1905796826048,27.461654184078,27.5117549774067,26.6436395731178,26.3671331821319,26.4654655151653,26.4606301262423,27.8556000361411,27.8888921553182,28.1862179380575,28.1939851126571,28.0832028249653,28.1063972211281,27.8314860830974,27.8715759532236,28.1479692674027,28.1001591342582,28.4370921836664,28.4370536221358,27.8372878528151,27.8096451569023,"-0.380977965988607","-1.35011734422865"
"sp|Q01484|ANK2_HUMAN",24.8711298872002,25.4299212557585,26.9958464538678,26.999366179991,26.4507603459578,26.3644245191175,27.2663116335146,27.2856110333467,27.3619916246575,27.3282390918175,26.4868506001932,26.3843031382048,25.9310117736513,25.8884211693367,24.5024157445673,24.2513698595404,24.4912532702496,24.2861572199664,26.8354927279716,26.8192839569535,26.9268773884181,26.9111040839342,26.6471267399908,26.6493140770129,26.2085134572379,26.3005494314644,27.0956230285673,27.0421972874063,27.4564781646316,27.4887082329931,25.7079311125698,25.9153320670841,"0.204093773390177","0.485678817207807"
"sp|Q00610|CLH1_HUMAN",28.1817969275321,28.2557834816233,28.684315909723,28.6812983053451,27.5268083545077,27.4997355370153,28.7522064588729,28.741737182923,28.771587750848,28.8249294183738,28.667197119351,28.5577411825015,28.547364447602,28.5496231909211,28.5299340121856,28.5496117947442,28.5942153673825,28.6360465962586,28.8338027833124,28.8180658890701,28.588682001921,28.5667678193504,28.5949382997499,28.5892006735458,28.4430474215654,28.4720430057407,28.6706237802748,28.610474672949,28.6635291471364,28.6559968489895,28.4810437267386,28.4743598459463,"0.491162987403642","4.48402901412993"
"sp|P21333|FLNA_HUMAN",30.4050922797157,30.1870903432666,25.6718937796761,25.5882888116008,28.5126287668256,28.4256889479031,26.5680762867817,26.5713575403017,25.6592698034607,25.629058034013,27.252969048936,27.1694293427081,28.8032920016284,28.7393421639764,30.2979033811148,30.2907554040581,30.457332862042,30.3556471474868,26.4110489933326,26.4358012884626,25.7367347991438,25.8220642704333,26.4107559422916,26.4098254737332,28.9506461632831,28.9719501652153,25.8147156754081,25.7965779466305,26.13198990481,26.1383331472985,28.2618206633106,28.3274185848003,"-0.670610084834606","-0.796721269679638"
