"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"LogFC","Zstatistic"
"sp|Q13813|SPTN1_HUMAN",28.1585331005941,27.6790269852499,29.305222697131,29.3586362473073,29.0624130062398,29.028276088578,29.4851877401555,29.5238627420309,29.6039945240996,29.5821829647184,28.8973641830296,28.9552867586576,27.7895379211916,28.0950218937006,26.8082557048709,26.9135949473771,26.9482751685514,26.9351363777571,29.3218822613261,29.3020102380349,29.4857091792183,29.503961981715,29.2849338036627,29.2569518836472,28.4804827329923,28.4821693805586,29.3797978279163,29.4196503728284,29.7061341008437,29.6890020302699,28.2704937911605,28.222621962796,"-0.0378405432636555","-0.090398731726534"
"sp|Q15149|PLEC_HUMAN;sp|P58107|EPIPL_HUMAN",27.921231677726,27.8401589974149,27.439816832792,27.4272081791524,28.7612618374787,28.7372453074882,27.9261518417735,27.9256921491811,27.5573194461014,27.5602652305128,27.2070544914955,27.181333926224,27.2566044022342,27.2432072247345,26.5745177579695,26.534099612489,26.6975227190478,26.696249383139,27.3805862876207,27.3546028308151,27.3671995878598,27.3144262190308,27.443409262845,27.4063462049024,28.02039618811,28.0265279464291,27.5998917398154,27.6343446767355,27.5409008948352,27.490679167009,28.2171475917266,28.1789034425195,"-0.586728727643526","-2.83121816246893"
"sp|Q14204|DYHC1_HUMAN",26.3154626213139,26.3866232706184,27.3341701295664,27.3169786599014,27.8333739309151,27.7939197844126,27.1252825384203,27.1557911876465,27.1948043127696,27.2033850508027,27.4162793702002,27.3989944200217,26.6183849570868,26.7059219154612,26.3338244261892,26.3506844366334,26.4272368521136,26.442213380115,27.1065620048691,27.058248365933,27.3253845666626,27.3038583383552,27.3999122886493,27.3780602342872,27.5874865651852,27.6069506031532,27.1471905391397,27.180008043587,27.4131639872131,27.3383342546914,27.4367777221816,27.3660614259244,"-0.0428401426535255","-0.216360218316565"
"sp|Q01082|SPTB2_HUMAN",27.5655202616104,27.6391403009782,29.7534125223183,29.7131576444442,29.0413525541733,29.0420811211419,29.7050886089015,29.7405654216443,29.8690402852786,29.8297187695361,28.9208223353151,28.8992547846213,28.3425432108935,28.3449830106843,27.2952079680334,27.2483209696569,27.3124841464677,27.2900306254796,29.282355093094,29.2750440170835,29.5997223727806,29.6107094026412,29.3831376189217,29.3886147131851,28.4637406761941,28.4921527626297,29.7073617859123,29.7545072481909,29.6006193153597,29.5500704621596,28.5351001005134,28.557392977638,"0.150987932992947","0.368946403552872"
"sp|Q09666|AHNK_HUMAN",27.9957008486146,28.0473658205364,25.3685950821367,25.3511555215448,26.323571460712,26.2684681317907,25.8548159079011,25.8586614110323,25.3469350977114,25.3299987235257,25.4396228034732,25.4416485131182,26.4453581316912,26.4109362219738,26.9692825674663,26.9135949473771,26.7945987067278,26.7661958961852,24.8531875575759,24.9292702418499,24.8593248712329,24.9231583255507,24.9027959868496,24.9143357024713,27.412424635454,27.4416356885813,25.2267923813743,25.2560135813712,25.4799266235801,25.3997869223568,26.1044340696758,26.1658150941642,"-0.710538158169245","-1.76446102943053"
"sp|P35579|MYH9_HUMAN",29.3084247292692,29.2769012984697,25.7928132413782,25.7153797030619,27.7716262672838,27.6552925145997,26.3835042324927,26.3409945920817,26.158538345568,26.1442328338191,26.3384346467912,26.3202638279312,28.0855880987424,28.0604968194995,27.1858156811348,27.1235881478874,27.3124841464677,27.2840822872077,26.2282306405853,26.2255204591186,25.9904098617147,25.9473265287151,26.2049438542298,26.218295031049,27.5134960901299,27.4722195876351,26.0583437474054,26.0042258773597,26.1310792794052,26.2047570356463,26.8603517529315,26.8571189123135,"-0.949842117963249","-2.22536319899289"
"sp|P46821|MAP1B_HUMAN",26.6396056310445,26.7358094496204,28.5757295181996,28.5603086564903,28.7698232741758,28.8824337892066,28.2834668617759,28.2827806215472,28.5721726355753,28.5991599368429,28.1643686875823,28.0765037337394,27.0016442379855,27.0354324567706,25.3685845676068,25.1373549131169,25.2221822414358,25.2412116934725,28.0000187465679,28.0613047215641,28.466641790011,28.4689576077764,28.2729711761725,28.2820174674276,27.4469078906795,27.4208801823752,28.5554099970314,28.5128031804136,28.794277655193,28.741767573456,27.5587558746479,27.5141436610411,"-0.402319737462645","-0.80013166105397"
"sp|Q01484|ANK2_HUMAN",24.293679990486,24.8059222392982,27.3209564741802,27.3254389829345,26.351217775934,26.3192373741214,27.4795162832367,27.4867560712254,27.6541684973238,27.6088389977328,26.3523039526422,26.29442966481,25.5519545122909,25.5037611751394,23.6601656108615,23.4594076196811,23.6442186805984,23.4973922578622,26.9539103649707,26.9600825852305,27.1568073270297,27.1352818492763,26.7965112589592,26.786018271808,25.8849014041501,25.9274538065029,27.4354430121646,27.3856090170749,27.7597675320807,27.7487412761817,25.4970544743776,25.6836745141492,"0.215989079978719","0.347463338067674"
"sp|Q00610|CLH1_HUMAN",27.2798627337492,27.3604272927126,29.1141821124207,29.1120060032979,27.4330260261429,27.473669874275,29.0230544419909,28.9972836807173,29.142153731253,29.1872933087269,28.4807661375425,28.4387718017139,28.030097202147,28.0148576999475,26.8748382628514,26.8698831114883,26.9250725306259,26.9873223828145,29.0032104685586,29.0179944682789,28.8852609253219,28.8565175223148,28.7991254095787,28.7777421637363,28.0355811024637,27.9917659548291,29.1116733096195,29.056537358018,29.0331675117665,28.9710334262871,28.1821433238922,28.1565371250297,"0.455807180577475","1.26887987517262"
