"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"994","sp|P29692|EF1D_HUMAN",43154349.8972318,12071657.2808166,4855828.18941874,5336346.79527663,12044033.3101551,9969927.3721619,7210363.33442551,8188323.13678798,5219109.80839519,5266088.95337667,19937540.087899,26803872.742242,28825339.2676145,33276354.1008278,71839371.1047847,77612279.5594459,73048083.7510984,72613922.7098506,14230015.7548583,12691021.4957599,9830835.65666058,10115891.7299544,14643270.0161726,13939357.3626233,46772237.7146879,53366256.4885591,6320488.20167779,8741387.25397229,15975126.2959015,11966722.8023573,32736001.3311359,25642236.938857
"995","sp|Q16643|DREB_HUMAN",10864179.1025147,14075665.8936289,23528694.7723654,23068144.8079281,7400685.61206526,7694686.43594894,29028934.131625,28375377.206691,27185870.7851963,26717723.5127453,20277108.897182,20722817.9130549,13537779.1448541,12465754.9417962,25389805.1301842,23737798.2695114,26889747.3650697,28377854.8521255,23115424.6534318,23578582.0421224,23143449.7355175,22994614.0364543,21183930.6233963,21003220.8909797,21557574.5845475,22131825.4333823,27034167.3576713,25086583.9685917,25357972.6575412,23774222.8399329,16059170.4643308,16723198.0036024
"996","sp|P30040|ERP29_HUMAN",74482748.1399338,76375257.4846721,27060206.1828517,25127050.2643734,20756638.497641,21587940.1342833,23147747.4763867,24483896.9040591,31069566.6116529,27372569.6772734,26486367.1240702,25800203.4985898,33430026.0515785,33997513.477626,81286740.455551,76993032.6480673,69740788.6206353,67884280.2344963,23917115.6818745,24179735.6919215,29359119.0930564,30399659.2346345,26650751.4294341,26465942.0195753,51584196.3273101,48904194.9092481,24280687.3490196,24547731.3296482,20547697.7956863,20792642.4098926,34743397.6391772,35994692.845849
"997","sp|Q8TB36|GDAP1_HUMAN",5200073.45465732,14745220.962089,21674651.28186,20547036.0857502,3667774.55742027,11501512.1418577,19980954.6620276,24159606.8788398,28123314.6053755,28027415.8418014,15183576.7579377,18479321.9566558,13629872.8805334,14011096.4635065,4848821.51845438,4268199.70951117,3769463.92726217,3812174.69429848,22113310.8678784,24246530.5418992,23540194.5881263,25333049.3621954,28212700.2311591,20155557.2675769,12371760.4162072,15498715.15,19587255.5160906,21254742.9805491,30515526.4183971,27528047.4988696,9848684.94998103,10132025.9067211
"998","sp|P63241|IF5A1_HUMAN",14981479.8886322,4648475.72233123,3183730.61809202,3584267.71641498,2605035.40777618,3165912.31268991,3264268.46832704,3021928.70877241,4186988.10232037,4079553.78739579,5530120.60832235,6081054.82918706,8047555.32313033,12774823.2461382,32672152.3380665,39425386.6911015,47740086.2310328,48270174.674939,6620707.70812429,5600722.63295379,7634064.39484806,7590838.253787,9359717.85652097,9208691.54424198,5571680.32966765,5278031.41970277,6186331.77508521,5005134.71082351,4414473.06527156,4719473.28758715,11924704.4266286,7734478.89987801
"999","sp|Q86T65|DAAM2_HUMAN",878567.618046579,1271760.67479908,6224288.86098221,6302771.80544484,719589.656273977,729871.975203398,4623210.96869783,4671364.54599215,1133957.28958121,1331208.51911527,7907102.27330301,7970314.5819442,2516658.41263535,2469188.19847354,6200990.78998597,5889770.19471624,2950848.40251843,2938838.04980891,8818601.31286994,9418073.84685341,6494507.98654765,6400135.47455754,8085465.16505946,7510149.25906678,413103.077190239,498055.34685891,3441487.40690967,3120569.11186381,245841.763138567,266112.963445504,2190212.35891213,2504656.85233296
"1000","sp|P25789|PSA4_HUMAN",18590229.6761725,16474519.161211,4988259.86731198,4580014.17862325,4279073.2409503,4657592.45698424,4474106.83888795,4173210.60790354,4998937.78740055,5523912.11442907,6936905.67535172,8383590.15285983,8289278.80711382,11229481.724428,20469300.2599935,30136683.0204231,27608724.5673443,27404104.9307291,8417755.79864858,8148971.69727742,7416682.16904289,7818578.83131927,8606834.26238133,7769028.98939155,15423888.6222978,13738930.0015165,5037073.41157654,5338331.19978788,6290639.54941283,6101494.52074945,15904755.3637122,14494183.8632193
"1001","sp|Q13363|CTBP1_HUMAN",4950562.5804595,1102051.35913083,6091857.18308897,5966623.97582112,3118528.90948229,2890238.60449967,8746380.15394415,9323338.22505562,8157806.87725188,8637142.35297348,4899492.81965401,5453072.45916944,4689536.80121623,4710896.99853838,6175280.36279025,6556442.16795754,6948339.17193781,6226523.29848121,8551370.9700557,8883715.04703194,7442374.60923765,7758570.54056416,6889785.19127534,6839554.85473758,4993506.23897837,5268792.36959236,7509490.93268648,7364319.39889446,9810602.73239794,9259293.97629972,4415331.54531764,4753117.49502908
"1002","sp|P21912|SDHB_HUMAN",7626493.1315916,3621714.15947084,13772894.5008968,13067746.8766223,18228826.1650817,18260556.0598893,16286363.0452753,16619863.7924905,14463418.9399074,13751769.4550895,9798985.63930803,8855905.09104911,6593990.93771625,5705233.46658181,10653236.2668915,9927620.59690534,9251587.13159402,9630547.78780338,12225788.1837515,11755893.5960723,13224828.4202957,13121220.4388807,11324128.8125068,10737072.5631017,11146333.8742476,11625924.7422106,13704820.9521528,13890423.5816546,17979130.2005218,19192650.4700226,10466159.0614455,11894001.1000848
