"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"622","sp|Q8NF91|SYNE1_HUMAN",22.0694889747649,19.519545412679,21.2071498894764,21.2286363766958,19.6503549228436,19.9448365292089,21.7901505022154,21.6358237555117,21.716399178304,21.7172462107033,20.2107213081716,20.9304151291001,20.1329194460599,20.9813231232831,19.2176641164593,18.6955315256029,18.9162416000658,18.7565008568289,20.6760432585195,20.7494841528043,20.9220890880085,20.9555386825091,20.7852427286629,20.5988829271811,19.5356794435936,19.6422571185076,21.6111165633878,21.4307114713068,21.9123563855849,21.8204826912902,20.1611281973766,21.0781855949952
"623","sp|Q8N1G4|LRC47_HUMAN",22.7755216353151,22.5483691445464,22.7656881250664,22.9045103279179,22.8442612050468,22.8652395447744,23.0801932826318,23.1154064349638,22.8095134155328,22.8749013169047,22.6236348502376,22.7399261949523,22.0835240702482,22.1113048730797,23.0538210558455,23.0480824765338,22.9562196728035,22.9392795911235,22.7375681931722,22.7806429155275,22.8240513905903,22.7902752698323,22.7979646505304,22.7126427581775,22.6583436863563,22.6647827650956,22.8359508308397,22.9237158439714,23.1743160633062,23.2538293375953,22.9473754027688,22.923639397125
"624","sp|P48426|PI42A_HUMAN",22.622959192082,22.9174169593982,23.9641452299625,23.9555719892063,24.2552606278444,24.4280998167377,23.3219273406563,23.1977087914314,22.9601698171596,22.9973585214326,23.6653564695528,23.6105539885995,22.8624766829429,22.9394488596652,22.7626645917069,22.6464759017267,22.5743434051014,22.6274415478493,22.4809481197775,22.4896062231494,23.4229529187429,23.341710048829,24.082890375678,23.9867099398522,22.5180067679513,22.5137006902516,23.2984523894716,23.2617588685598,22.3858218250215,22.5101901553734,22.599540604586,22.6950515103119
"625","sp|P62495|ERF1_HUMAN",22.9137109515063,22.6890497747176,23.4320787288313,23.3945616486543,21.5225995616029,21.4823524705699,22.0225962521613,21.9617739352557,22.9407761390872,22.8236250815674,22.1875356259152,21.8876000639625,23.6110425811617,23.5722320668152,23.8407610781007,23.8859982543028,23.9907627050028,23.9797542875725,22.2551416642339,22.1849780685315,23.1022845238926,23.153779731699,23.5691243256028,23.5981962450504,22.184762654744,22.1919467099387,23.1906160255837,23.1832360481363,21.0808980071955,21.019926137108,23.6758169607689,23.6345917634735
"626","sp|Q96CX2|KCD12_HUMAN",24.9766911786118,24.9668328050615,22.0342885709845,22.083750664153,23.0921063690784,23.026580381813,22.5940569640134,22.6690840168008,22.7893319395464,22.8722413524261,23.4601473533776,23.3811852433046,24.2453237173982,24.304503431269,23.9518121010337,23.8755195491149,23.9368083003517,24.021645230663,22.7510595934038,22.6902990273858,22.8208117426989,22.9171648314336,22.773958536807,22.7844552171892,23.6832085355635,23.6349157149617,22.727893812626,22.6869047866179,22.9318713347175,22.8400879481988,23.1601098173687,23.0361201426421
"627","sp|Q15233|NONO_HUMAN",23.7287810366538,23.859973953846,21.6041280438799,21.7349250250363,22.5514542505244,22.6604807291949,21.7425561689088,21.6798228522528,21.3740120759585,21.3397418270529,23.3192569971638,23.3076376942278,23.0530582858377,23.1764626517922,24.2580645917057,24.6673849532362,24.2520672099063,24.389046228152,22.2553858304566,22.1438179338664,22.4210030712626,22.0574410972508,22.0282604749303,22.2852433124974,23.8279090939838,23.6843344933856,21.4451931428412,21.3880948798758,22.1450360818769,22.2704500083938,22.6788455346051,22.6287524262362
"628","sp|P35606|COPB2_HUMAN",23.4551873009959,24.1000492103048,21.7479527835173,21.9837497001825,22.3690894758842,22.3755371832181,22.6111005343684,22.2789827072744,21.7419775144343,22.1057985589642,22.7079181264293,22.5812628858809,23.3457451052334,23.0000871661979,23.2813970384753,23.1018928599564,23.3372879649095,23.261332918019,21.7138356205139,21.6104023849513,21.8623315914864,21.4127800302919,21.9139803976283,21.9677108371039,23.9125671868834,23.9881173231057,22.5559983480439,21.828658295969,21.7533974740117,22.135602324428,23.2643044792424,23.3382792727598
"629","sp|Q9Y2Q0|AT8A1_HUMAN",17.911890820955,20.3013454618501,23.1703043918052,23.1691730250539,21.6861047640634,21.884641819066,22.6049665014235,22.6213050124238,22.4863376967691,22.515831230605,22.7053195117867,22.7479240715107,21.2680440054518,21.0145101913563,19.104726655241,18.9471879977648,18.825382017439,18.7996517591794,23.0167258307665,23.101704165947,22.7123394318966,22.6721885135762,22.7063999822668,22.7058236927959,21.9161539313296,22.0013540475123,22.6646052725516,22.6499187622682,23.0597370538688,22.9559833328905,21.4651436373672,21.4487858110468
"630","sp|Q9UBT2|SAE2_HUMAN",20.4672408224249,18.4491796592796,18.8887216416513,18.9266641340887,20.6559818623051,20.6964612628287,18.9888916529937,19.22260736099,19.8101916470416,19.4416947848213,20.7744704845522,20.6160599054244,20.4628623729851,21.1569678361891,22.5542856036982,22.5187277871182,22.7305970492532,22.6561048833816,20.6689225959905,20.6978649813681,20.5145407744144,20.7531708388982,20.4967940809476,20.7192291254029,20.9894687703385,21.5242304680893,19.282077374528,19.2631730089701,20.8768620331505,20.1070039667636,20.9592062974678,20.5306998678335
"631","sp|O43747|AP1G1_HUMAN",21.7960871334723,21.5823677614654,22.1085028616161,22.0648550690809,21.5550040007768,21.4638557085792,22.0741265131832,22.204451451525,22.3650035183133,22.4336395590434,22.023488389231,21.9689802792408,22.3322513093745,22.4516259262391,22.5710862128852,22.6066840831104,22.5628499461857,22.6678757210116,22.4830539517651,22.3118350279526,22.56212079036,22.3518837619264,22.5148258594673,22.4495630650421,21.7023379178542,21.7382448835565,22.2981648451188,22.197272405314,21.8375960861469,21.7947135696848,22.5578907168988,22.3508824654122
"632","sp|ANT3_HUMAN|",23.6747349301699,23.8058111394225,22.481708840922,22.5179818807286,22.6018658534251,22.5180411269201,21.1327203371263,21.1090616007502,19.9281642499801,20.060777751101,22.6181570028581,22.4544130011754,23.9387017301455,23.9972101876089,22.5298164636255,22.3694316246832,22.5275827673251,22.3486408392217,20.3388316765896,20.4171713791182,19.569312507722,19.5613164403432,20.0955516087149,19.8360070157794,22.1194276973439,22.0186175951709,20.7430128361851,20.9788507414671,22.1551914748427,22.1526855467015,21.3806900473669,21.5439339352538
"633","sp|Q9H2X9|S12A5_HUMAN;sp|Q9Y666|S12A7_HUMAN",23.2120814974202,23.3567541240309,23.8599201892335,23.8232841813035,19.9085113458244,20.2481623737223,23.9037796915045,23.8802163659244,23.5680156916005,23.6078380490295,21.9816601294325,21.9340621693275,22.099244609194,21.8924019237435,19.3227438570189,19.2786097914459,18.4963954231256,18.9370349142991,22.9438437787523,22.9228382038649,23.4217727960311,23.4168088952115,22.9831751656714,22.9101629822817,20.1428821439732,20.1628917647126,23.980995769495,23.8672355796394,22.5682315359905,22.2777262781812,21.9636544506307,22.0096541110367
"634","sp|Q9NQX3|GEPH_HUMAN",21.137750239301,21.0982829026094,22.4726752234282,22.5740454898887,21.1066638326569,20.9403949595391,22.4194557719627,22.349859897357,22.9566530096453,22.9651334976054,21.5762778127079,21.8292292110908,21.6904471292658,21.8943560234089,21.5296751428515,21.6940082930685,21.6805801989258,21.606009227711,22.3891040773378,22.3652700471263,22.9151790229484,22.962256497587,22.5341417518057,22.5763685629097,21.5032474509047,21.4414803163339,22.8472059849046,22.8473972336492,22.3512550866189,22.6047071634324,21.5867644731797,21.7202965733977
"635","sp|O94979|SC31A_HUMAN",23.4291088847516,22.7230706239225,21.3953276263935,21.3512636721086,21.6238759432613,21.4227762445246,21.360261077193,21.3207640745089,21.2685437428896,21.3602776552024,21.9111515841053,22.0083537176539,22.6253692948123,22.7590220716897,22.5357038634696,22.4084390671482,22.6848810857339,22.6115853741412,21.3184904896608,21.4576583511513,21.280933649563,21.4264704827295,21.260577117858,21.2691427512204,22.8010163673079,22.8115330283545,21.3468325239046,21.5558359360449,21.7818055095239,21.8356275919747,22.2664918644612,22.2812863398067
